tail,date,source,dbFlags,flags,ownOp,registration,file
N582MM,2025-07-20,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-20_adsb-lol_trace_full.json.gz
N582MM,2025-07-20,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-20_airplanes-live_trace_full.json.gz
N582MM,2025-07-21,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-21_adsb-lol_trace_full.json.gz
N582MM,2025-07-21,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-21_airplanes-live_trace_full.json.gz
N582MM,2025-07-22,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-22_adsb-lol_trace_full.json.gz
N582MM,2025-07-22,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-22_airplanes-live_trace_full.json.gz
N582MM,2025-07-23,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-23_adsb-lol_trace_full.json.gz
N582MM,2025-07-23,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-23_airplanes-live_trace_full.json.gz
N582MM,2025-07-24,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-24_adsb-lol_trace_full.json.gz
N582MM,2025-07-24,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-24_airplanes-live_trace_full.json.gz
N582MM,2025-07-25,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-25_adsb-lol_trace_full.json.gz
N582MM,2025-07-25,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-25_airplanes-live_trace_full.json.gz
N582MM,2025-07-26,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-26_adsb-lol_trace_full.json.gz
N582MM,2025-07-26,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-26_airplanes-live_trace_full.json.gz
N582MM,2025-07-27,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-27_adsb-lol_trace_full.json.gz
N582MM,2025-07-27,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-27_airplanes-live_trace_full.json.gz
N582MM,2025-07-28,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-28_adsb-lol_trace_full.json.gz
N582MM,2025-07-28,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-28_airplanes-live_trace_full.json.gz
N582MM,2025-07-29,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-29_adsb-lol_trace_full.json.gz
N582MM,2025-07-29,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-29_airplanes-live_trace_full.json.gz
N582MM,2025-07-30,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-30_adsb-lol_trace_full.json.gz
N582MM,2025-07-30,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-30_airplanes-live_trace_full.json.gz
N582MM,2025-07-31,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-07-31_adsb-lol_trace_full.json.gz
N582MM,2025-07-31,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-07-31_airplanes-live_trace_full.json.gz
N582MM,2025-08-01,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-01_adsb-lol_trace_full.json.gz
N582MM,2025-08-01,adsbexchange-samples,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-01_adsbexchange-samples_trace_full.json
N582MM,2025-08-01,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-01_airplanes-live_trace_full.json.gz
N582MM,2025-08-02,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-02_adsb-lol_trace_full.json.gz
N582MM,2025-08-02,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-02_airplanes-live_trace_full.json.gz
N582MM,2025-08-03,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-03_adsb-lol_trace_full.json.gz
N582MM,2025-08-03,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-03_airplanes-live_trace_full.json.gz
N582MM,2025-08-04,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-04_adsb-lol_trace_full.json.gz
N582MM,2025-08-04,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-04_airplanes-live_trace_full.json.gz
N582MM,2025-08-05,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-05_adsb-lol_trace_full.json.gz
N582MM,2025-08-05,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-05_airplanes-live_trace_full.json.gz
N582MM,2025-08-06,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-06_adsb-lol_trace_full.json.gz
N582MM,2025-08-06,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-06_airplanes-live_trace_full.json.gz
N582MM,2025-08-07,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-07_adsb-lol_trace_full.json.gz
N582MM,2025-08-07,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-07_airplanes-live_trace_full.json.gz
N582MM,2025-08-08,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-08_adsb-lol_trace_full.json.gz
N582MM,2025-08-08,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-08_airplanes-live_trace_full.json.gz
N582MM,2025-08-09,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-09_adsb-lol_trace_full.json.gz
N582MM,2025-08-09,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-09_airplanes-live_trace_full.json.gz
N582MM,2025-08-10,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-10_adsb-lol_trace_full.json.gz
N582MM,2025-08-10,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-10_airplanes-live_trace_full.json.gz
N582MM,2025-08-11,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-11_airplanes-live_trace_full.json.gz
N582MM,2025-08-12,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-12_airplanes-live_trace_full.json.gz
N582MM,2025-08-13,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-13_airplanes-live_trace_full.json.gz
N582MM,2025-08-14,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-14_airplanes-live_trace_full.json.gz
N582MM,2025-08-15,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-15_airplanes-live_trace_full.json.gz
N582MM,2025-08-16,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-16_adsb-lol_trace_full.json.gz
