kirk_tail,adelson_tail,airport,airport_name,field_type,municipality,region,kirk_first_local,kirk_last_local,adelson_first_local,adelson_last_local,tier,minutes_heard_together,minutes_apart,kirk_previous_stop,adelson_next_stops,adelson_next_abroad,timezone_method
N582MM,N885LS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2024-04-14 13:44,2024-04-14 13:45,2024-04-14 14:59,2024-04-14 15:56,SAME_FIELD_WITHIN_3H,0,75,KSDL 2024-04-14 11:03 (89 min heard),KLGB (US) 2024-04-20 18:14Z | KLGB (US) 2024-04-20 23:16Z | KEWR (US) 2024-04-23 19:03Z,,state_table_APPROXIMATE
N102DZ,N885LS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2024-04-14 14:57,2024-04-14 15:04,2024-04-14 14:59,2024-04-14 15:56,HEARD_TOGETHER,4,0,KMSP 2024-04-14 11:55 (90 min heard),KLGB (US) 2024-04-20 18:14Z | KLGB (US) 2024-04-20 23:16Z | KEWR (US) 2024-04-23 19:03Z,,state_table_APPROXIMATE
N102DZ,N889LS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2024-04-23 14:17,2024-04-23 14:33,2024-04-23 11:09,2024-04-23 13:48,SAME_FIELD_WITHIN_3H,0,30,KVNY 2024-04-20 02:24 (7 min heard),KLAS (US) 2024-04-23 23:47Z | KVNY (US) 2024-04-24 00:34Z | KVNY (US) 2024-04-24 05:59Z,,state_table_APPROXIMATE
N102DZ,N338LS,KSFO,San Francisco International Airport,large_airport,San Francisco,US-CA,2024-05-06 10:35,2024-05-06 10:37,2024-05-06 09:25,2024-05-06 09:25,SAME_FIELD_WITHIN_3H,0,70,KLAS 2024-05-06 09:13 (9 min heard),KLAX (US) 2024-05-17 03:16Z | KLAS (US) 2024-05-17 05:26Z | KSBA (US) 2024-05-21 16:52Z,,state_table_APPROXIMATE
N582MM,N889LS,KDAL,Dallas Love Field,large_airport,Dallas,US-TX,2024-09-11 20:38,2024-09-11 20:38,2024-09-11 22:02,2024-09-11 22:03,SAME_FIELD_WITHIN_3H,0,83,KDAL 2024-09-11 13:48 (3 min heard),KLAS (US) 2024-09-12 05:29Z | KVNY (US) 2024-09-13 04:44Z | KVNY (US) 2024-09-16 19:14Z,,state_table_APPROXIMATE
N872RA,N889LS,KDAL,Dallas Love Field,large_airport,Dallas,US-TX,2024-09-17 12:51,2024-09-17 12:51,2024-09-17 10:33,2024-09-17 10:38,SAME_FIELD_WITHIN_3H,0,133,KSNA 2024-09-16 19:07 (0 min heard),KDAL (US) 2024-09-20 02:40Z | PANC (US) 2024-09-21 07:11Z | PANC (US) 2024-09-26 20:03Z,,state_table_APPROXIMATE
N872RA,N336LS,KLAX,Los Angeles International Airport,large_airport,Los Angeles,US-CA,2024-10-19 13:48,2024-10-19 14:45,2024-10-19 13:33,2024-10-19 16:57,HEARD_TOGETHER,57,0,KCRQ 2024-10-17 10:27 (6 min heard),KSFO (US) 2024-10-21 14:59Z | KSFO (US) 2024-10-22 22:31Z | KLAX (US) 2024-10-22 23:47Z,,state_table_APPROXIMATE
N582MM,N889LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2024-11-26 13:54,2024-11-26 14:00,2024-11-26 13:26,2024-11-26 13:26,SAME_FIELD_WITHIN_3H,0,28,KSAN 2024-11-26 10:38 (124 min heard),KDAL (US) 2024-11-26 23:31Z | KDAL (US) 2024-11-27 17:37Z | KLAS (US) 2024-11-27 20:33Z,,state_table_APPROXIMATE
N79SC,N889LS,KDAL,Dallas Love Field,large_airport,Dallas,US-TX,2024-12-18 11:26,2024-12-18 11:27,2024-12-18 09:11,2024-12-18 09:13,SAME_FIELD_WITHIN_3H,0,134,KSDL 2024-12-17 11:17 (74 min heard),KDAL (US) 2024-12-20 05:06Z | KLAS (US) 2024-12-20 07:35Z | KDAL (US) 2024-12-25 18:05Z,,state_table_APPROXIMATE
N582MM,N108MS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2024-12-20 14:20,2024-12-20 15:17,2024-12-20 13:27,2024-12-20 13:36,SAME_FIELD_WITHIN_3H,0,44,KCOE 2024-12-20 12:30 (1 min heard),KLAS (US) 2025-01-03 04:50Z | KLAX (US) 2025-01-15 19:35Z | KIAD (US) 2025-01-16 12:01Z,,state_table_APPROXIMATE
N872RA,N338LS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2024-12-22 09:01,2024-12-22 10:18,2024-12-22 13:03,2024-12-22 14:45,SAME_FIELD_WITHIN_3H,0,165,KSNA 2024-12-20 19:20 (0 min heard),KLAS (US) 2025-01-07 19:50Z | KBUR (US) 2025-01-07 20:48Z | KBUR (US) 2025-01-08 15:51Z,,state_table_APPROXIMATE
N582MM,N336LS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2024-12-29 16:10,2024-12-29 16:52,2024-12-29 17:12,2024-12-29 18:22,SAME_FIELD_WITHIN_3H,0,21,KSDL 2024-12-29 15:13 (44 min heard),KLAS (US) 2024-12-30 03:08Z | KTEB (US) 2025-01-19 03:41Z | KTEB (US) 2025-01-19 18:02Z,,state_table_APPROXIMATE
N560TW,N889LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2025-01-21 11:30,2025-01-21 11:32,2025-01-21 13:11,2025-01-21 13:19,SAME_FIELD_WITHIN_3H,0,99,KABQ 2025-01-21 09:57 (71 min heard),PANC (US) 2025-01-31 11:52Z | KLAS (US) 2025-02-03 02:57Z | KDAL (US) 2025-02-10 22:20Z,,state_table_APPROXIMATE
N582MM,N108MS,KIAD,Washington Dulles International Airport,large_airport,Dulles,US-VA,2025-02-12 20:36,2025-02-12 20:40,2025-02-12 18:32,2025-02-12 21:57,HEARD_TOGETHER,4,0,KPHX 2025-02-12 14:26 (35 min heard),KVNY (US) 2025-02-13 08:34Z | KVNY (US) 2025-02-18 01:28Z | KVNY (US) 2025-02-25 05:39Z,,state_table_APPROXIMATE
N582MM,N108MS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2025-02-17 16:15,2025-02-17 16:18,2025-02-17 17:28,2025-02-17 17:38,SAME_FIELD_WITHIN_3H,0,70,KPHX 2025-02-14 10:43 (42 min heard),KVNY (US) 2025-02-25 05:39Z | KVNY (US) 2025-02-26 06:22Z | KLAS (US) 2025-03-18 17:04Z,,state_table_APPROXIMATE
