kirk_tail,adelson_tail,airport,airport_name,field_type,municipality,region,kirk_first_local,kirk_last_local,adelson_first_local,adelson_last_local,tier,minutes_heard_together,minutes_apart,kirk_previous_stop,adelson_next_stops,adelson_next_abroad,timezone_method
N79SC,N108MS,KDAL,Dallas Love Field,large_airport,Dallas,US-TX,2025-10-22 18:47,2025-10-22 18:49,2025-10-22 19:17,2025-10-22 19:20,SAME_FIELD_WITHIN_3H,0,29,KSAT 2025-10-22 16:18 (97 min heard),KDAL (US) 2025-10-23 05:16Z | KLAS (US) 2025-10-23 07:51Z | KLAS (US) 2025-11-03 04:38Z,,state_table_APPROXIMATE
N872RA,N338LS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2025-11-13 17:09,2025-11-13 19:41,2025-11-13 18:24,2025-11-13 18:26,HEARD_TOGETHER,3,0,KMRY 2025-11-13 15:54 (17 min heard),KVNY (US) 2025-11-14 22:02Z | KDAB (US) 2025-11-15 02:19Z | KVNY (US) 2025-11-17 03:52Z,,state_table_APPROXIMATE
N872RA,N889LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2025-11-15 18:01,2025-11-15 18:06,2025-11-15 18:19,2025-11-15 18:22,SAME_FIELD_WITHIN_3H,0,14,KOXR 2025-11-15 16:52 (10 min heard),PANC (US) 2025-11-16 07:06Z | RJBB (JP) 2025-11-16 16:29Z | WSSL (SG) 2025-11-17 00:07Z,RJBB JP,state_table_APPROXIMATE
N79SC,N337LS,KTEB,Teterboro Airport,medium_airport,Teterboro,US-NJ,2025-12-08 16:02,2025-12-08 18:18,2025-12-08 19:10,2025-12-08 19:35,SAME_FIELD_WITHIN_3H,0,52,KBNA 2025-12-07 18:43 (41 min heard),KLAS (US) 2025-12-09 20:22Z | KLAS (US) 2025-12-26 18:21Z | KSLC (US) 2025-12-26 20:01Z,,state_table_APPROXIMATE
N40JD,N336LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-01-18 11:08,2026-01-18 12:04,2026-01-18 11:22,2026-01-18 12:40,HEARD_TOGETHER,42,0,KSDL 2026-01-18 11:17 (1 min heard),KLAS (US) 2026-01-24 16:41Z | KLAS (US) 2026-01-25 20:13Z | KLAS (US) 2026-01-26 15:55Z,,state_table_APPROXIMATE
N40JD,N339LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-01-18 11:08,2026-01-18 12:04,2026-01-18 13:45,2026-01-18 13:51,SAME_FIELD_WITHIN_3H,0,101,KSDL 2026-01-18 11:17 (1 min heard),KDAL (US) 2026-01-19 00:00Z | KTEB (US) 2026-01-19 16:48Z | KDAL (US) 2026-01-19 23:20Z,,state_table_APPROXIMATE
N560TW,N336LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-01-28 10:03,2026-01-28 10:05,2026-01-28 07:20,2026-01-28 07:26,SAME_FIELD_WITHIN_3H,0,157,KSDL 2026-01-28 10:07 (6 min heard),KFLL (US) 2026-01-28 19:10Z | KLAS (US) 2026-01-29 01:10Z | KLAS (US) 2026-01-29 14:56Z,,state_table_APPROXIMATE
N560TW,N885LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-02-12 14:29,2026-02-12 15:42,2026-02-12 12:17,2026-02-12 12:30,SAME_FIELD_WITHIN_3H,0,120,KSDL 2026-02-12 11:45 (1 min heard),KLAS (US) 2026-02-15 22:27Z | KLAS (US) 2026-02-17 17:50Z | KLAS (US) 2026-02-18 13:18Z,,state_table_APPROXIMATE
N560TW,N337LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-02-17 13:18,2026-02-17 13:19,2026-02-17 11:20,2026-02-17 11:21,SAME_FIELD_WITHIN_3H,0,118,KSDL 2026-02-17 10:51 (75 min heard),KLAS (US) 2026-02-20 20:11Z | KVCV (US) 2026-02-20 21:39Z | KLAS (US) 2026-02-20 23:30Z,,state_table_APPROXIMATE
N560TW,N885LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-02-17 13:18,2026-02-17 13:19,2026-02-17 09:50,2026-02-17 12:51,SAME_FIELD_WITHIN_3H,0,28,KSDL 2026-02-17 10:51 (75 min heard),KLAS (US) 2026-02-18 13:18Z | KEWR (US) 2026-02-18 19:00Z | KLAS (US) 2026-02-20 03:22Z,,state_table_APPROXIMATE
N560TW,N889LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-02-17 13:18,2026-02-17 13:19,2026-02-17 09:07,2026-02-17 13:49,HEARD_TOGETHER,0,0,KSDL 2026-02-17 10:51 (75 min heard),KLAS (US) 2026-02-18 16:05Z | KDAL (US) 2026-02-18 21:26Z | KDAL (US) 2026-02-19 04:48Z,,state_table_APPROXIMATE
N872RA,N336LS,KLAX,Los Angeles International Airport,large_airport,Los Angeles,US-CA,2026-03-01 15:27,2026-03-01 16:38,2026-03-01 17:55,2026-03-01 17:59,SAME_FIELD_WITHIN_3H,0,76,KGUC 2026-03-01 13:13 (83 min heard),KLAX (US) 2026-03-02 05:02Z | KLAS (US) 2026-03-02 05:57Z | KLAS (US) 2026-03-06 17:22Z,,state_table_APPROXIMATE
N872RA,N339LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-03-07 09:47,2026-03-07 10:43,2026-03-07 13:40,2026-03-07 13:41,SAME_FIELD_WITHIN_3H,0,177,KSNA 2026-03-07 08:32 (23 min heard),KLAS (US) 2026-03-16 17:38Z | KLAS (US) 2026-03-16 20:58Z | KLAS (US) 2026-03-18 17:46Z,,state_table_APPROXIMATE
N102DZ,N108MS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-04-21 15:55,2026-04-21 16:06,2026-04-21 14:44,2026-04-21 14:50,SAME_FIELD_WITHIN_3H,0,66,KMDW 2026-04-20 13:34 (135 min heard),KLAS (US) 2026-04-24 16:20Z | KLAS (US) 2026-04-27 05:55Z | KLAS (US) 2026-04-29 16:12Z,,state_table_APPROXIMATE
N102DZ,N337LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-04-21 15:55,2026-04-21 16:06,2026-04-21 12:56,2026-04-21 13:01,SAME_FIELD_WITHIN_3H,0,174,KMDW 2026-04-20 13:34 (135 min heard),KVNY (US) 2026-04-21 20:50Z | KSJC (US) 2026-04-21 21:56Z | KLAS (US) 2026-04-21 23:28Z,,state_table_APPROXIMATE
N102DZ,N337LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-04-21 15:55,2026-04-21 16:06,2026-04-21 16:28,2026-04-21 16:29,SAME_FIELD_WITHIN_3H,0,22,KMDW 2026-04-20 13:34 (135 min heard),KLAS (US) 2026-05-06 01:18Z | LGAV (GR) 2026-05-06 13:53Z | LGAV (GR) 2026-05-07 18:06Z,LGAV GR,state_table_APPROXIMATE
N102DZ,N339LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-04-21 15:55,2026-04-21 16:06,2026-04-21 12:59,2026-04-21 13:06,SAME_FIELD_WITHIN_3H,0,169,KMDW 2026-04-20 13:34 (135 min heard),KIAD (US) 2026-04-22 00:06Z | KLAS (US) 2026-04-22 20:41Z | KLAS (US) 2026-05-01 16:04Z,,state_table_APPROXIMATE
N872RA,N885LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-04-23 09:50,2026-04-23 10:28,2026-04-23 12:06,2026-04-23 12:10,SAME_FIELD_WITHIN_3H,0,98,KVNY 2026-04-22 14:39 (94 min heard),KVCV (US) 2026-04-23 20:09Z | KLAS (US) 2026-04-23 21:12Z | KLAS (US) 2026-05-04 14:08Z,,state_table_APPROXIMATE
N102DZ,N889LS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2026-04-29 17:41,2026-04-29 17:45,2026-04-29 17:53,2026-04-29 18:45,SAME_FIELD_WITHIN_3H,0,8,KPBI 2026-04-26 12:24 (97 min heard),KLAS (US) 2026-05-05 05:11Z | KDAL (US) 2026-05-05 07:13Z | KLAS (US) 2026-05-06 02:58Z,,state_table_APPROXIMATE
N560TW,N108MS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2026-05-03 10:20,2026-05-03 10:47,2026-05-03 10:54,2026-05-03 11:02,SAME_FIELD_WITHIN_3H,0,8,KSDL 2026-05-03 08:59 (9 min heard),KMRY (US) 2026-05-03 18:50Z | KLAX (US) 2026-05-04 00:48Z | KVNY (US) 2026-05-04 02:02Z,,state_table_APPROXIMATE
N560TW,N804MS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-05-05 12:55,2026-05-05 13:22,2026-05-05 09:47,2026-05-05 11:14,SAME_FIELD_WITHIN_3H,0,101,KSDL 2026-05-05 10:04 (5 min heard),KLAS (US) 2026-05-09 16:17Z | KBOS (US) 2026-05-14 17:41Z | KEWR (US) 2026-05-14 19:59Z,,state_table_APPROXIMATE
N872RA,N339LS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2026-05-28 09:26,2026-05-28 10:42,2026-05-28 10:03,2026-05-28 10:11,HEARD_TOGETHER,8,0,KSNA 2026-05-27 21:41 (2 min heard),KAPC (US) 2026-06-01 00:15Z | KVNY (US) 2026-06-01 01:09Z | KLAS (US) 2026-06-01 01:56Z,,state_table_APPROXIMATE
N102DZ,N338LS,KIAD,Washington Dulles International Airport,large_airport,Dulles,US-VA,2026-06-13 16:05,2026-06-13 16:59,2026-06-13 16:31,2026-06-13 16:37,HEARD_TOGETHER,6,0,KBCT 2026-06-12 13:28 (6 min heard),KIAD (US) 2026-06-14 20:06Z | KLAS (US) 2026-06-15 00:50Z | KLAS (US) 2026-06-22 14:03Z,,state_table_APPROXIMATE
N102DZ,N336LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-06-18 11:39,2026-06-18 11:44,2026-06-18 11:55,2026-06-18 12:02,SAME_FIELD_WITHIN_3H,0,10,KSDL 2026-06-18 07:27 (7 min heard),KDTW (US) 2026-06-18 22:13Z | KLAS (US) 2026-06-19 15:19Z | KLAS (US) 2026-06-19 23:05Z,,state_table_APPROXIMATE
N102DZ,N336LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-06-20 12:36,2026-06-20 12:41,2026-06-20 10:52,2026-06-20 10:54,SAME_FIELD_WITHIN_3H,0,102,KLAS 2026-06-18 11:39 (6 min heard),KLAS (US) 2026-06-24 01:25Z | KLAX (US) 2026-06-24 02:36Z | KLAS (US) 2026-06-24 05:57Z,,state_table_APPROXIMATE
N872RA,N336LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-06-23 21:21,2026-06-23 22:53,2026-06-23 18:25,2026-06-23 18:44,SAME_FIELD_WITHIN_3H,0,157,KAPA 2026-06-21 12:43 (146 min heard),KLAX (US) 2026-06-24 02:36Z | KLAS (US) 2026-06-24 05:57Z | KLAS (US) 2026-07-10 17:34Z,,state_table_APPROXIMATE
N872RA,N336LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-06-23 21:21,2026-06-23 22:53,2026-06-23 22:57,2026-06-23 23:02,SAME_FIELD_WITHIN_3H,0,4,KAPA 2026-06-21 12:43 (146 min heard),KLAS (US) 2026-07-10 17:34Z | KLAS (US) 2026-07-10 22:29Z | KLAS (US) 2026-07-12 21:32Z,,state_table_APPROXIMATE
N102DZ,N336LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-07-10 06:54,2026-07-10 09:06,2026-07-10 10:34,2026-07-10 11:34,SAME_FIELD_WITHIN_3H,0,88,KSDL 2026-07-09 16:01 (14 min heard),KLAS (US) 2026-07-10 22:29Z | KLAS (US) 2026-07-12 21:32Z | KBED (US) 2026-07-13 02:30Z,,state_table_APPROXIMATE
N872RA,N108MS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2026-07-31 16:26,2026-07-31 17:28,2026-07-31 14:31,2026-07-31 14:37,SAME_FIELD_WITHIN_3H,0,110,KRNO 2026-07-31 10:07 (54 min heard),KLAS (US) 2026-07-31 22:32Z | KLAS (US) 2026-09-01 18:12Z | KLAX (US) 2026-09-02 12:54Z,,state_table_APPROXIMATE
N102DZ,N339LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-08-23 18:39,2026-08-23 20:40,2026-08-23 19:13,2026-08-23 20:41,HEARD_TOGETHER,87,0,KSDL 2026-08-21 21:15 (14 min heard),KLAS (US) 2026-08-30 15:49Z | KLAX (US) 2026-08-30 21:34Z | KLAS (US) 2026-08-30 22:33Z,,state_table_APPROXIMATE
N102DZ,N889LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2026-08-23 18:39,2026-08-23 20:40,2026-08-23 18:52,2026-08-23 19:03,HEARD_TOGETHER,11,0,KSDL 2026-08-21 21:15 (14 min heard),PANC (US) 2026-08-24 06:45Z | VMMC (MO) 2026-08-26 13:35Z | RJBB (JP) 2026-08-28 13:31Z,VMMC MO,state_table_APPROXIMATE
