adelson_tail,tel_aviv_first_heard_utc,previous_field,previous_country,previous_last_heard_utc,hours_previous_to_tel_aviv,kirk_side_jets_at_previous_field_6h
N108MS,2024-01-03T20:05:40.360000+00:00,LGKO,GR,2024-01-03T18:58:35.750000+00:00,1.1,
N108MS,2024-01-13T02:22:35.250000+00:00,LEMD,ES,2024-01-09T12:14:27.060000+00:00,86.1,
N108MS,2024-09-18T21:30:43.930000+00:00,LMML,MT,2024-09-16T10:27:34.640000+00:00,59.1,
N108MS,2025-01-27T10:32:14.130000+00:00,KLAX,US,2025-01-22T20:50:21.620000+00:00,109.7,
N108MS,2025-01-28T11:42:40.220000+00:00,LLBG,IL,2025-01-27T10:39:00.210000+00:00,25.1,
N108MS,2025-02-01T12:04:20.180000+00:00,LLBG,IL,2025-01-28T11:49:34.610000+00:00,96.2,
N108MS,2025-02-04T22:16:38.090000+00:00,LLBG,IL,2025-02-01T12:07:40.400000+00:00,82.1,
N108MS,2025-04-18T15:40:20.790000+00:00,KLAX,US,2025-04-18T00:01:24.980000+00:00,15.6,
N108MS,2025-04-19T10:52:52.740000+00:00,LLBG,IL,2025-04-18T15:44:10.300000+00:00,19.1,
N108MS,2025-04-23T14:35:50.020000+00:00,LLBG,IL,2025-04-19T11:01:26.340000+00:00,99.6,
N108MS,2025-04-24T17:41:43.140000+00:00,LLBG,IL,2025-04-23T14:42:43.150000+00:00,27.0,
N108MS,2025-08-22T21:09:37.780000+00:00,KLAX,US,2025-08-22T05:40:18.290000+00:00,15.5,
N108MS,2025-08-26T07:40:44.120000+00:00,LLBG,IL,2025-08-22T21:14:00.300000+00:00,82.4,
N108MS,2025-09-11T19:10:24.780000+00:00,LIRN,IT,2025-09-11T14:49:46.190000+00:00,4.3,
N108MS,2025-09-12T23:58:12.630000+00:00,LFMN,FR,2025-09-12T20:40:34.810000+00:00,3.3,
N108MS,2025-09-15T09:37:59.380000+00:00,LLBG,IL,2025-09-13T00:24:40.400000+00:00,57.2,
N108MS,2026-01-26T06:56:20.810000+00:00,KDAB,US,2026-01-25T19:32:25.700000+00:00,11.4,
N108MS,2026-01-29T06:54:26.260000+00:00,LLBG,IL,2026-01-26T07:01:14.120000+00:00,71.9,
N108MS,2026-02-02T11:51:26.680000+00:00,LLBG,IL,2026-01-29T07:08:29.160000+00:00,100.7,
N108MS,2026-02-03T15:03:52.280000+00:00,LLBG,IL,2026-02-02T11:55:29.040000+00:00,27.1,
N108MS,2026-09-03T04:37:52.480000+00:00,KLAX,US,2026-09-02T13:09:43.990000+00:00,15.5,
N108MS,2026-09-03T07:48:22+00:00,LLBG,IL,2026-09-03T04:41:27.340000+00:00,3.1,
N108MS,2026-09-15T04:18:22.420000+00:00,LLBG,IL,2026-09-03T08:01:01.040000+00:00,284.3,
N108MS,2026-09-15T23:08:11.600000+00:00,LLBG,IL,2026-09-15T04:21:11.810000+00:00,18.8,
N885LS,2023-12-02T21:42:41.150000+00:00,KIAD,US,2023-11-14T22:12:10.550000+00:00,431.5,
N889LS,2023-03-23T16:05:25.820000+00:00,EPKK,PL,2023-03-21T09:32:15.100000+00:00,54.6,
N889LS,2023-03-26T09:46:45.820000+00:00,LLBG,IL,2023-03-23T17:09:29.260000+00:00,64.6,
N889LS,2023-03-28T08:07:14.880000+00:00,LLBG,IL,2023-03-26T10:09:50.070000+00:00,46.0,
N889LS,2023-03-29T20:34:22.720000+00:00,LLBG,IL,2023-03-28T08:07:45.360000+00:00,36.4,
N889LS,2023-11-07T07:11:44.230000+00:00,LDDU,HR,2023-10-25T15:23:10.790000+00:00,303.8,
N889LS,2023-11-09T16:04:52.190000+00:00,LGSR,GR,2023-11-09T14:40:31.830000+00:00,1.4,
N889LS,2025-10-20T09:15:18.850000+00:00,KBED,US,2025-10-19T22:54:06.430000+00:00,10.4,
N889LS,2025-10-24T20:07:34.130000+00:00,LLBG,IL,2025-10-20T09:17:18.170000+00:00,106.8,
N336LS,2023-02-12T18:40:53.890000+00:00,LLBG,IL,2023-02-12T15:16:13.760000+00:00,3.4,
N336LS,2023-02-13T14:38:02.870000+00:00,LLBG,IL,2023-02-12T18:52:27.680000+00:00,19.8,
N336LS,2023-02-18T10:54:29.090000+00:00,LLBG,IL,2023-02-13T14:42:48.820000+00:00,116.2,
N336LS,2023-02-22T19:20:19.590000+00:00,LLBG,IL,2023-02-18T11:12:53.400000+00:00,104.1,
N336LS,2023-02-25T22:41:48.180000+00:00,LLBG,IL,2023-02-22T19:30:24.150000+00:00,75.2,
N336LS,2023-02-26T13:02:12.590000+00:00,LLBG,IL,2023-02-25T22:49:03.070000+00:00,14.2,
N337LS,2026-05-07T19:39:00.950000+00:00,LGAV,GR,2026-05-07T18:11:34.590000+00:00,1.5,
N337LS,2026-05-11T15:07:01.860000+00:00,KDTW,US,2026-05-08T09:38:18.390000+00:00,77.5,
N337LS,2026-05-21T07:50:18.770000+00:00,LIMJ,IT,2026-05-21T04:50:30.030000+00:00,3.0,
N337LS,2026-05-24T06:02:04.040000+00:00,LGAV,GR,2026-05-24T04:20:10.770000+00:00,1.7,
N337LS,2026-06-05T04:34:20.800000+00:00,LLBG,IL,2026-05-24T07:19:45.210000+00:00,285.2,
N337LS,2026-06-07T14:31:50.400000+00:00,LLBG,IL,2026-06-05T06:13:40.490000+00:00,56.3,
N337LS,2026-06-17T18:21:31.820000+00:00,LCLK,CY,2026-06-16T12:24:45.420000+00:00,29.9,
N337LS,2026-06-23T03:42:14.470000+00:00,LLBG,IL,2026-06-17T20:44:08.250000+00:00,127.0,
