tail,source,field,before,after,last_day_before,first_day_after,bracket_days
N339LS,airplanes-live,flags,not_in_header,LADD,2023-09-26,2023-10-04,8
N339LS,airplanes-live,ownOp,,LAS VEGAS SANDS CORP,2023-09-26,2023-10-04,8
N339LS,airplanes-live,registration,,N339LS,2023-09-26,2023-10-04,8
N339LS,airplanes-live,summary,first held 2023-02-09 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2026-09-15 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,245
N40JD,adsb-lol,ownOp,JDT AVIATION LLC,NUP AVIATION LLC,2024-07-25,2024-10-25,92
N40JD,adsb-lol,summary,first held 2023-03-15 flags=none ownOp=JDT AVIATION LLC,last held 2025-09-28 flags=none ownOp=NUP AVIATION LLC,,,86
N40JD,adsbexchange-samples,ownOp,JDT AVIATION LLC,NUP AVIATION LLC,2024-06-01,2025-01-01,214
N40JD,adsbexchange-samples,summary,first held 2022-06-01 flags=none ownOp=JDT AVIATION LLC,last held 2026-04-01 flags=none ownOp=NUP AVIATION LLC,,,11
N40JD,airplanes-live,ownOp,JDT AVIATION LLC,,2023-02-19,2023-03-15,24
N40JD,airplanes-live,flags,none,not_in_header,2023-08-28,2023-09-29,32
N40JD,airplanes-live,registration,N40JD,,2023-08-28,2023-09-29,32
N40JD,airplanes-live,flags,not_in_header,none,2023-10-01,2023-10-14,13
N40JD,airplanes-live,ownOp,,JDT AVIATION LLC,2023-10-01,2023-10-14,13
N40JD,airplanes-live,registration,,N40JD,2023-10-01,2023-10-14,13
N40JD,airplanes-live,ownOp,JDT AVIATION LLC,NUP AVIATION LLC,2024-08-12,2024-10-25,74
N40JD,airplanes-live,summary,first held 2023-02-16 flags=none ownOp=JDT AVIATION LLC,last held 2026-08-25 flags=none ownOp=NUP AVIATION LLC,,,242
N560TW,adsb-lol,summary,first held 2023-02-28 flags=none ownOp=T W LEWIS-AVIATION LLC,last held 2025-10-09 flags=none ownOp=T W LEWIS-AVIATION LLC,,,167
N560TW,adsbexchange-samples,flags,not_in_header,none,2022-04-01,2022-05-01,30
N560TW,adsbexchange-samples,summary,first held 2022-01-01 flags=not_in_header ownOp=T W LEWIS-AVIATION LLC,last held 2026-08-01 flags=none ownOp=T W LEWIS-AVIATION LLC,,,23
N560TW,airplanes-live,ownOp,T W LEWIS-AVIATION LLC,,2023-03-09,2023-03-11,2
N560TW,airplanes-live,flags,none,not_in_header,2023-09-03,2023-09-12,9
N560TW,airplanes-live,registration,N560TW,,2023-09-03,2023-09-12,9
N560TW,airplanes-live,flags,not_in_header,none,2023-10-02,2023-10-10,8
N560TW,airplanes-live,ownOp,,T W LEWIS-AVIATION LLC,2023-10-02,2023-10-10,8
N560TW,airplanes-live,registration,,N560TW,2023-10-02,2023-10-10,8
N560TW,airplanes-live,summary,first held 2023-02-15 flags=none ownOp=T W LEWIS-AVIATION LLC,last held 2026-09-09 flags=none ownOp=T W LEWIS-AVIATION LLC,,,462
N582MM,adsb-lol,ownOp,WILDHORSE LLC,"TK ENTERPRISES LLC, JRO AVIATION LLC, DOJA CONTRACTING LLC",2023-06-21,2023-06-25,4
N582MM,adsb-lol,ownOp,"TK ENTERPRISES LLC, JRO AVIATION LLC, DOJA CONTRACTING LLC","DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",2024-02-11,2024-03-07,25
N582MM,adsb-lol,summary,first held 2023-03-08 flags=none ownOp=WILDHORSE LLC,"last held 2025-10-11 flags=none ownOp=DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",,,435
N582MM,adsbexchange-samples,flags,not_in_header,none,2022-04-01,2023-06-01,426
N582MM,adsbexchange-samples,ownOp,WILDHORSE LLC,"TK ENTERPRISES LLC, JRO AVIATION LLC, DOJA CONTRACTING LLC",2023-09-01,2024-01-01,122
N582MM,adsbexchange-samples,ownOp,"TK ENTERPRISES LLC, JRO AVIATION LLC, DOJA CONTRACTING LLC","DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",2024-01-01,2024-06-01,152
N582MM,adsbexchange-samples,summary,first held 2022-04-01 flags=not_in_header ownOp=WILDHORSE LLC,"last held 2025-12-01 flags=none ownOp=DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",,,23
N582MM,airplanes-live,ownOp,WILDHORSE LLC,,2023-03-08,2023-03-21,13
N582MM,airplanes-live,flags,none,not_in_header,2023-09-04,2023-09-13,9
N582MM,airplanes-live,registration,N582MM,,2023-09-04,2023-09-13,9
N582MM,airplanes-live,flags,not_in_header,none,2023-09-29,2023-10-06,7
N582MM,airplanes-live,ownOp,,TK ENTERPRISES LLC,2023-09-29,2023-10-06,7
N582MM,airplanes-live,registration,,N582MM,2023-09-29,2023-10-06,7
N582MM,airplanes-live,ownOp,TK ENTERPRISES LLC,DOJA CONTRACTING LLC,2024-01-29,2024-02-06,8
N582MM,airplanes-live,summary,first held 2023-02-06 flags=none ownOp=WILDHORSE LLC,last held 2025-12-05 flags=none ownOp=DOJA CONTRACTING LLC,,,705
N79SC,adsb-lol,summary,first held 2023-09-06 flags=none ownOp=D E MAGARIN ASSET MANAGEMENT LLC,last held 2023-09-12 flags=none ownOp=D E MAGARIN ASSET MANAGEMENT LLC,,,4
N79SC,airplanes-live,flags,none,not_in_header,2023-09-02,2023-09-14,12
N79SC,airplanes-live,registration,N79SC,,2023-09-02,2023-09-14,12
N79SC,airplanes-live,flags,not_in_header,none,2023-10-03,2023-10-04,1
N79SC,airplanes-live,ownOp,,D E MAGARIN ASSET MANAGEMENT LLC,2023-10-03,2023-10-04,1
N79SC,airplanes-live,registration,,N79SC,2023-10-03,2023-10-04,1
N79SC,airplanes-live,ownOp,D E MAGARIN ASSET MANAGEMENT LLC,FIRST STATE BANK,2026-01-30,2026-04-20,80
N79SC,airplanes-live,ownOp,FIRST STATE BANK,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,2026-04-28,2026-04-30,2
N79SC,airplanes-live,flags,none,LADD,2026-05-01,2026-06-01,31
N79SC,airplanes-live,ownOp,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,BANK OF UTAH TRUSTEE,2026-07-13,2026-08-11,29
N79SC,airplanes-live,summary,first held 2023-05-22 flags=none ownOp=,last held 2026-08-11 flags=LADD ownOp=BANK OF UTAH TRUSTEE,,,580
N804MS,adsb-lol,summary,first held 2023-09-09 flags=LADD ownOp=INTERFACE OPERATIONS LLC,last held 2023-09-12 flags=LADD ownOp=INTERFACE OPERATIONS LLC,,,4
N804MS,airplanes-live,flags,LADD,none,2023-02-08,2023-03-18,38
N804MS,airplanes-live,ownOp,INTERFACE OPERATIONS LLC,,2023-02-08,2023-03-18,38
N804MS,airplanes-live,flags,none,LADD,2023-08-28,2024-02-21,177
N804MS,airplanes-live,ownOp,,INTERFACE OPERATIONS LLC,2023-08-28,2024-02-21,177
