tail,day,year,era,airport,airport_name,is_kilg,lat,lon,first,last,gpts,sources,match_class,w2_in_radius,w2_mi,w2_gap,w2_event,w2_arr,w2_city,w2_state,w2_class,w2_charlie,w2_erika,w2_certainty,na_events_within_0d,w0_mi,w0_gap,w0_event,na_events_within_1d,w1_mi,w1_gap,w1_event,na_events_within_2d,w2_mi,w2_gap,w2_event,na_events_within_3d,w3_mi,w3_gap,w3_event,na_events_within_7d,w7_mi,w7_gap,w7_event
SU-BTT,2025-09-10,2025,DAY_OF,KPVU,Provo Municipal Airport,no,40.22999,-111.72913,2025-09-10T13:07:53.660000Z,2025-09-10T13:13:16.090000Z,58,"adsb-lol,airplanes-live",SAME_AIRPORT,yes,5.0,0,20250910_orem,KPVU,Orem,UT,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,1,5.0,0,20250910_orem,2,5.0,0,20250910_orem,2,5.0,0,20250910_orem,2,5.0,0,20250910_orem,2,5.0,0,20250910_orem
SU-BTT,2025-09-11,2025,POST_DEATH,KILG,Wilmington Airport,yes,39.67057,-75.60369,2025-09-11T11:55:35.470000Z,2025-09-11T11:55:36.850000Z,2,"adsb-lol,airplanes-live",FAR_GT250MI,no,1567.7,0,20250911_woodland_park,KCOS,Woodland Park,CO,TPUSA_NO_KIRK,no_scheduled_not_held,unknown,SCHEDULED_NOT_HELD,1,1567.7,0,20250911_woodland_park,2,1567.7,0,20250911_woodland_park,2,1567.7,0,20250911_woodland_park,2,1567.7,0,20250911_woodland_park,3,1550.8,7,20250918_fort_collins
SU-BND,2025-09-12,2025,POST_DEATH,KPVU,Provo Municipal Airport,no,40.22969,-111.72791,2025-09-12T13:37:35.890000Z,2025-09-12T16:48:52.550000Z,226,"adsb-lol,airplanes-live",SAME_AIRPORT,yes,5.0,2,20250910_orem,KPVU,Orem,UT,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,1,364.9,1,20250911_woodland_park,2,5.0,2,20250910_orem,2,5.0,2,20250910_orem,4,5.0,2,20250910_orem
SU-BND,2025-09-12,2025,POST_DEATH,KPVU,Provo Municipal Airport,no,40.2298,-111.72768,2025-09-12T19:03:36.640000Z,2025-09-12T19:20:23.770000Z,34,"adsb-lol,airplanes-live",SAME_AIRPORT,yes,4.9,2,20250910_orem,KPVU,Orem,UT,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,1,364.9,1,20250911_woodland_park,2,4.9,2,20250910_orem,2,4.9,2,20250910_orem,4,4.9,2,20250910_orem
SU-BND,2025-09-12,2025,POST_DEATH,KPVU,Provo Municipal Airport,no,40.22979,-111.72768,2025-09-12T20:29:23.180000Z,2025-09-12T22:17:03.880000Z,300,"adsb-lol,airplanes-live",SAME_AIRPORT,yes,4.9,2,20250910_orem,KPVU,Orem,UT,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,1,364.9,1,20250911_woodland_park,2,4.9,2,20250910_orem,2,4.9,2,20250910_orem,4,4.9,2,20250910_orem
T7-ELL,2025-10-02,2025,POST_DEATH,KIAD,Washington Dulles International Airport,no,38.96159,-77.45752,2025-10-02T00:32:52.960000Z,2025-10-02T00:38:28.020000Z,91,"adsb-lol,airplanes-live",FAR_GT250MI,no,1808.6,2,20250930_logan,KLGU,Logan,UT,TPUSA_NO_KIRK,no_deceased,unknown,AFTER_DEATH,0,,,,0,,,,1,1808.6,2,20250930_logan,1,1808.6,2,20250930_logan,4,424.1,7,20250925_hanover
T7-ELL,2025-10-10,2025,POST_DEATH,KIAD,Washington Dulles International Airport,no,38.95574,-77.45582,2025-10-10T17:22:22.450000Z,2025-10-10T18:15:07.530000Z,262,airplanes-live,FAR_GT250MI,no,1158.4,1,20251009_grand_forks,KGFK,Grand Forks,ND,TPUSA_NO_KIRK,no_deceased,unknown,AFTER_DEATH,0,,,,1,1158.4,1,20251009_grand_forks,1,1158.4,1,20251009_grand_forks,2,1158.4,1,20251009_grand_forks,3,1123.3,6,20251016_norman
T7-ELL,2025-10-10,2025,POST_DEATH,KIAD,Washington Dulles International Airport,no,38.94479,-77.45598,2025-10-10T18:00:17.320000Z,2025-10-10T18:15:07.060000Z,146,adsb-lol,FAR_GT250MI,no,1158.8,1,20251009_grand_forks,KGFK,Grand Forks,ND,TPUSA_NO_KIRK,no_deceased,unknown,AFTER_DEATH,0,,,,1,1158.8,1,20251009_grand_forks,1,1158.8,1,20251009_grand_forks,2,1158.8,1,20251009_grand_forks,3,1123.2,6,20251016_norman
T7-ELL,2025-10-10,2025,POST_DEATH,KORD,Chicago O'Hare International Airport,no,41.96841,-87.92666,2025-10-10T22:36:31.850000Z,2025-10-10T22:45:31.910000Z,121,"adsb-lol,airplanes-live",FAR_GT250MI,no,607.3,1,20251009_grand_forks,KGFK,Grand Forks,ND,TPUSA_NO_KIRK,no_deceased,unknown,AFTER_DEATH,0,,,,1,607.3,1,20251009_grand_forks,1,607.3,1,20251009_grand_forks,2,607.3,1,20251009_grand_forks,3,607.3,1,20251009_grand_forks
SU-BTV,2025-10-11,2025,POST_DEATH,KILG,Wilmington Airport,yes,39.67348,-75.60165,2025-10-11T15:09:53.730000Z,2025-10-11T15:10:32.740000Z,5,"adsb-lol,airplanes-live",FAR_GT250MI,no,1207.8,2,20251009_grand_forks,KGFK,Grand Forks,ND,TPUSA_NO_KIRK,no_deceased,unknown,AFTER_DEATH,0,,,,0,,,,1,1207.8,2,20251009_grand_forks,1,1207.8,2,20251009_grand_forks,3,1207.8,2,20251009_grand_forks
T7-ELL,2025-10-11,2025,POST_DEATH,KORD,Chicago O'Hare International Airport,no,41.98393,-87.91879,2025-10-11T19:48:05.760000Z,2025-10-11T19:48:06.850000Z,3,"adsb-lol,airplanes-live",FAR_GT250MI,no,606.8,2,20251009_grand_forks,KGFK,Grand Forks,ND,TPUSA_NO_KIRK,no_deceased,unknown,AFTER_DEATH,0,,,,0,,,,1,606.8,2,20251009_grand_forks,1,606.8,2,20251009_grand_forks,3,606.8,2,20251009_grand_forks
SU-BTV,2025-10-12,2025,POST_DEATH,KILG,Wilmington Airport,yes,39.67177,-75.60354,2025-10-12T11:57:39.040000Z,2025-10-12T11:57:39.040000Z,1,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,1,1207.8,3,20251009_grand_forks,3,1207.8,3,20251009_grand_forks
T7-ELL,2026-05-02,2026,POST_DEATH,MMUN,Cancún International Airport,no,21.03947,-86.86368,2026-05-02T17:31:30.490000Z,2026-05-02T17:35:31.010000Z,41,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
T7-ELL,2026-05-02,2026,POST_DEATH,MMUN,Cancún International Airport,no,21.03246,-86.8673,2026-05-02T21:23:32.450000Z,2026-05-02T21:33:49.470000Z,24,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
SU-BND,2026-05-13,2026,POST_DEATH,KPVU,Provo Municipal Airport,no,40.22968,-111.72755,2026-05-13T23:12:54.180000Z,2026-05-13T23:59:05.070000Z,42,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
SU-BND,2026-05-14,2026,POST_DEATH,KPVU,Provo Municipal Airport,no,40.22968,-111.72755,2026-05-14T00:00:14.870000Z,2026-05-14T00:00:14.870000Z,1,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
SU-BND,2026-05-20,2026,POST_DEATH,KPVU,Provo Municipal Airport,no,40.20894,-111.72333,2026-05-20T13:46:33.770000Z,2026-05-20T18:14:01.450000Z,1019,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
SU-BND,2026-06-02,2026,POST_DEATH,KPVU,Provo Municipal Airport,no,40.2304,-111.73196,2026-06-02T17:04:34.080000Z,2026-06-02T17:06:38.520000Z,9,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
SU-BND,2026-06-02,2026,POST_DEATH,KPVU,Provo Municipal Airport,no,40.22651,-111.72657,2026-06-02T18:15:58.640000Z,2026-06-02T18:23:59.040000Z,160,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
SU-BND,2026-06-04,2026,POST_DEATH,KPVU,Provo Municipal Airport,no,40.22725,-111.72828,2026-06-04T21:16:57.740000Z,2026-06-04T22:12:34.090000Z,168,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
