slug,date,group,attendee_class,city,state,airport,su_in_radius,su_just_outside,su_just_outside_tails,cov_following_pct,ac_days_needed,ac_days_held,control_verdict
20230327_fort_worth,2023-03-27,CHARLIE_ONLY,CHARLIE_ONLY,Fort Worth,TX,KFTW,no,0,,13.3,75,10,ARCHIVE HEALTHY
20230402_jefferson_city,2023-04-02,TPUSA_NO_KIRK_PREDEATH,TPUSA_NO_KIRK,Jefferson City,MO,KJEF,no,0,,6.7,75,9,ARCHIVE HEALTHY
20230423_topeka,2023-04-23,TPUSA_NO_KIRK_PREDEATH,TPUSA_NO_KIRK,Topeka,KS,KFOE,no,0,,3.3,75,6,ARCHIVE HEALTHY
20230500_nashville,2023-05 (m,CHARLIE_ONLY,CHARLIE_ONLY,Nashville,TN,KBNA,no,0,,6.7,525,64,ARCHIVE HEALTHY
20230500_tallahassee,2023-05 (m,CHARLIE_ONLY,CHARLIE_ONLY,Tallahassee,FL,KTLH,no,0,,6.7,525,64,ARCHIVE HEALTHY
20230609_grapevine,2023-06-09,CHARLIE_ONLY,CHARLIE_ONLY,Grapevine,TX,KDFW,no,0,,11.9,105,15,ARCHIVE HEALTHY
20230617_deerfield,2023-06-17,CHARLIE_ONLY,CHARLIE_ONLY,Deerfield,IL,KPWK,no,0,,2.4,105,10,ARCHIVE HEALTHY
20230712_west_palm_beach,2023-07-12,CHARLIE_ONLY,CHARLIE_ONLY,West Palm Beach,FL,KPBI,no,0,,21.4,105,18,ARCHIVE HEALTHY
20230715_west_palm_beach,2023-07-15,CHARLIE_ONLY,CHARLIE_ONLY,West Palm Beach,FL,KPBI,no,0,,16.7,90,15,ARCHIVE HEALTHY
20230825_lincoln,2023-08-25,CHARLIE_ONLY,CHARLIE_ONLY,Lincoln,NE,KLNK,no,0,,13.3,75,14,ARCHIVE HEALTHY
20230913_san_diego,2023-09-13,CHARLIE_ONLY,CHARLIE_ONLY,San Diego,CA,KSAN,no,0,,4.8,105,10,ARCHIVE HEALTHY
20230919_flagstaff,2023-09-19,CHARLIE_ONLY,CHARLIE_ONLY,Flagstaff,AZ,KFLG,no,0,,20.0,75,13,ARCHIVE HEALTHY
20230927_tempe,2023-09-27,CHARLIE_ONLY,CHARLIE_ONLY,Tempe,AZ,KPHX,no,0,,6.7,75,10,ARCHIVE HEALTHY
20231002_san_jose,2023-10-02,CHARLIE_ONLY,CHARLIE_ONLY,San Jose,CA,KSJC,no,0,,6.7,75,6,ARCHIVE HEALTHY
20231010_orlando,2023-10-10,CHARLIE_ONLY,CHARLIE_ONLY,Orlando,FL,KMCO,no,0,,3.3,75,6,ARCHIVE HEALTHY
20231012_atlanta,2023-10-12,TPUSA_NO_KIRK_PREDEATH,TPUSA_NO_KIRK,Atlanta,GA,KATL,no,0,,3.3,75,8,ARCHIVE HEALTHY
20231018_san_antonio,2023-10-18,CHARLIE_ONLY,CHARLIE_ONLY,San Antonio,TX,KSAT,no,0,,13.3,75,13,ARCHIVE HEALTHY
20231019_springfield,2023-10-19,CHARLIE_ONLY,CHARLIE_ONLY,Springfield,MO,KSGF,no,0,,20.0,75,14,ARCHIVE HEALTHY
20231025_buffalo,2023-10-25,TPUSA_NO_KIRK_PREDEATH,TPUSA_NO_KIRK,Buffalo,NY,KBUF,no,0,,13.3,75,11,ARCHIVE HEALTHY
