fleet,kind,first_seen_at_radius,first_seen_at_window,driver,slug,tail,event_date,event_city,event_state,attendee_class,charlie_present,erika_present,event_arrival_airport,plane_day,day_offset_from_event,plane_airport,plane_airport_name,dist_event_to_plane_airport_mi,altitude_ft,ground_points,first_seen_utc,last_seen_utc,source,n_hits_in_window
KIRK,NEARFIELD_LOWPASS,40,3,WINDOW_ONLY,20250218_phoenix,N40JD,2025-02-18,Phoenix,AZ,CHARLIE_ONLY,yes,not_documented,KPHX,2025-02-22,4,US-1816,Mountain View Park Glider Landing Zone,0.6,1950,,2025-02-22T19:02:52.460000Z,,adsb-lol,8
KIRK,NEARFIELD_LOWPASS,40,5,WINDOW_ONLY,20250303_los_angeles,N102DZ,2025-03-03,Los Angeles,CA,CHARLIE_ONLY,yes,not_documented,KLAX,2025-02-27,-4,KSMO,Santa Monica Municipal Airport,2.3,4350,,2025-02-27T21:22:08.910000Z,,adsb-lol,14
KIRK,NEARFIELD_LOWPASS,40,3,WINDOW_ONLY,20250506_san_francisco,N40JD,2025-05-06,San Francisco,CA,CHARLIE_ONLY,yes,not_documented,KSFO,2025-05-03,-3,KDVO,Marin County Airport - Gnoss Field,38.7,6000,,2025-05-03T18:20:45Z,,adsb-lol,2
KIRK,NEARFIELD_LOWPASS,40,5,WINDOW_ONLY,20250806_rancho_palos_verdes,N40JD,2025-08-06,Rancho Palos Verdes,CA,CHARLIE_ONLY,yes,not_documented,KTOA,2025-08-01,-5,KSNA,John Wayne Orange County International Airport,29.1,2175,,2025-08-01T01:02:33.020000Z,,adsbexchange-samples,1
KIRK,NEARFIELD_LOWPASS,75,2,RADIUS_ONLY,20230314_davis,N872RA,2023-03-14,Davis,CA,CHARLIE_ONLY,yes,not_documented,KSMF,2023-03-15,1,KO69,Petaluma Municipal Airport,51.3,5925,,2023-03-15T17:38:11.760000Z,,adsb-lol,24
KIRK,NEARFIELD_LOWPASS,75,2,RADIUS_ONLY,20231018_san_antonio,N560TW,2023-10-18,San Antonio,TX,CHARLIE_ONLY,yes,not_documented,KSAT,2023-10-16,-2,K3R9,Lakeway Airpark,69.5,5925,,2023-10-16T21:17:59.150000Z,,adsb-lol,2
KIRK,NEARFIELD_LOWPASS,75,7,RADIUS_AND_WINDOW,20240307_san_luis_obispo,N872RA,2024-03-07,San Luis Obispo,CA,CHARLIE_ONLY,yes,not_documented,KSBP,2024-03-14,7,KSBA,Santa Barbara Municipal Airport,74.7,2400,,2024-03-14T23:00:25.800000Z,,airplanes-live,1
KIRK,NEARFIELD_LOWPASS,75,2,RADIUS_ONLY,20240318_san_diego,N872RA,2024-03-18,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2024-03-16,-2,KSNA,John Wayne Orange County International Airport,73.0,225,,2024-03-16T19:17:56.030000Z,,adsb-lol,6
KIRK,NEARFIELD_LOWPASS,75,2,RADIUS_ONLY,20250303_los_angeles,N2100L,2025-03-03,Los Angeles,CA,CHARLIE_ONLY,yes,not_documented,KLAX,2025-03-01,-2,KNTD,Point Mugu Naval Air Station (Naval Base Ventura Co),41.2,5550,,2025-03-01T19:57:01.480000Z,,adsbexchange-samples,4
KIRK,NEARFIELD_LOWPASS,75,7,RADIUS_AND_WINDOW,20250424_laramie,N872RA,2025-04-24,Laramie,WY,CHARLIE_ONLY,yes,not_documented,KLAR,2025-04-30,6,CO55,Christman Field,54.6,6000,,2025-04-30T00:18:24.570000Z,,adsb-lol,12
KIRK,NEARFIELD_LOWPASS,75,2,RADIUS_ONLY,20250806_rancho_palos_verdes,N560TW,2025-08-06,Rancho Palos Verdes,CA,CHARLIE_ONLY,yes,not_documented,KTOA,2025-08-10,4,KOKB,Oceanside Municipal Airport,68.8,1175,,2025-08-10T20:44:11.850000Z,,adsb-lol,2
KIRK,NEARFIELD_LOWPASS,75,7,RADIUS_AND_WINDOW,20250911_woodland_park,N1098L,2025-09-11,Woodland Park,CO,TPUSA_NO_KIRK,no_scheduled_not_held,unknown,KCOS,2025-09-05,-6,2CO5,Edenway Airport,50.5,5975,,2025-09-05T00:29:00.730000Z,,adsb-lol,4
KIRK,NEARFIELD_LOWPASS,75,5,RADIUS_AND_WINDOW,20250911_woodland_park,N40JD,2025-09-11,Woodland Park,CO,TPUSA_NO_KIRK,no_scheduled_not_held,unknown,KCOS,2025-09-06,-5,KAPA,Centennial Airport,41.1,6000,,2025-09-06T15:58:15.910000Z,,adsb-lol,4
KIRK,NEARFIELD_LOWPASS,75,2,RADIUS_ONLY,20250911_woodland_park,N582MM,2025-09-11,Woodland Park,CO,TPUSA_NO_KIRK,no_scheduled_not_held,unknown,KCOS,2025-09-09,-2,KBJC,Rocky Mountain Metropolitan Airport,63.0,5950,,2025-09-09T00:29:47.340000Z,,adsb-lol,26
KIRK,NEARFIELD_LOWPASS,75,7,RADIUS_AND_WINDOW,20251016_norman,N1098L,2025-10-16,Norman,OK,TPUSA_NO_KIRK,no_deceased,unknown,KOUN,2025-10-10,-6,US-0302,Elgin's Stony Field Airport,61.5,5900,,2025-10-10T16:01:52.120000Z,,airplanes-live,2
KIRK,NEARFIELD_LOWPASS,75,5,RADIUS_AND_WINDOW,20251021_bloomington,N560TW,2025-10-21,Bloomington,IN,TPUSA_NO_KIRK,no_deceased,unknown,KBMG,2025-10-17,-4,IN44,Habermel Airport,48.4,5950,,2025-10-17T18:38:20.090000Z,,airplanes-live,6
KIRK,NEARFIELD_LOWPASS,75,3,RADIUS_AND_WINDOW,20251027_baton_rouge,N582MM,2025-10-27,Baton Rouge,LA,TPUSA_NO_KIRK,no_deceased,unknown,KBTR,2025-10-30,3,KNEW,Lakefront Airport,71.5,6000,,2025-10-30T13:44:39.300000Z,,airplanes-live,1
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20230500_tallahassee,N40JD,2023-05-01,Tallahassee,FL,CHARLIE_ONLY,yes,not_documented,KTLH,2023-05-08,7,2FL0,Crystal Village Airport,85.4,1250,,2023-05-08T12:26:59.370000Z,,airplanes-live,4
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20230919_flagstaff,N560TW,2023-09-19,Flagstaff,AZ,CHARLIE_ONLY,yes,not_documented,KFLG,2023-09-18,-1,18AZ,Sky Ranch At Carefree Airport,95.7,5950,,2023-09-18T19:25:34.920000Z,,adsb-lol,6
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20231019_springfield,N888KG,2023-10-19,Springfield,MO,CHARLIE_ONLY,yes,not_documented,KSGF,2023-10-18,-1,KVBT,Bentonville Municipal-Louise M Thaden Field,77.9,1225,,2023-10-18T15:23:11.150000Z,,airplanes-live,19
