fleet,kind,first_seen_at_radius,first_seen_at_window,driver,slug,tail,event_date,event_city,event_state,attendee_class,charlie_present,erika_present,event_arrival_airport,plane_day,day_offset_from_event,plane_airport,plane_airport_name,dist_event_to_plane_airport_mi,altitude_ft,ground_points,first_seen_utc,last_seen_utc,source,n_hits_in_window
KIRK,GROUND,40,5,WINDOW_ONLY,20250303_los_angeles,N102DZ,2025-03-03,Los Angeles,CA,CHARLIE_ONLY,yes,not_documented,KLAX,2025-02-27,-4,KVNY,Van Nuys Airport,14.4,,103,2025-02-27T21:07:08.300000Z,2025-02-27T21:20:43.140000Z,airplanes-live,3
KIRK,GROUND,40,5,WINDOW_ONLY,20250806_rancho_palos_verdes,N40JD,2025-08-06,Rancho Palos Verdes,CA,CHARLIE_ONLY,yes,not_documented,KTOA,2025-08-01,-5,KSNA,John Wayne Orange County International Airport,29.0,,61,2025-08-01T01:06:06.980000Z,2025-08-01T01:08:26.200000Z,adsbexchange-samples,2
KIRK,GROUND,40,5,WINDOW_ONLY,20250806_rancho_palos_verdes,N872RA,2025-08-06,Rancho Palos Verdes,CA,CHARLIE_ONLY,yes,not_documented,KTOA,2025-08-01,-5,KSNA,John Wayne Orange County International Airport,29.0,,127,2025-08-01T14:43:06.320000Z,2025-08-01T15:43:31.340000Z,adsbexchange-samples,1
KIRK,GROUND,75,2,RADIUS_ONLY,20230314_davis,N872RA,2023-03-14,Davis,CA,CHARLIE_ONLY,yes,not_documented,KSMF,2023-03-15,1,KOAK,Oakland San Francisco Bay Airport,63.0,,290,2023-03-15T03:38:07.310000Z,2023-03-15T04:46:24.580000Z,airplanes-live,4
KIRK,GROUND,75,2,RADIUS_ONLY,20230327_fort_worth,N582MM,2023-03-27,Fort Worth,TX,CHARLIE_ONLY,yes,not_documented,KFTW,2023-03-26,-1,KTKI,McKinney National Airport,51.6,,2,2023-03-26T13:12:51.990000Z,2023-03-26T13:12:54.390000Z,adsb-lol,4
KIRK,GROUND,75,7,RADIUS_AND_WINDOW,20240307_san_luis_obispo,N872RA,2024-03-07,San Luis Obispo,CA,CHARLIE_ONLY,yes,not_documented,KSBP,2024-03-14,7,KSBA,Santa Barbara Municipal Airport,74.4,,25,2024-03-14T23:04:08.180000Z,2024-03-14T23:05:37.760000Z,airplanes-live,1
KIRK,GROUND,75,2,RADIUS_ONLY,20240318_san_diego,N872RA,2024-03-18,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2024-03-18,0,KSNA,John Wayne Orange County International Airport,72.8,,2,2024-03-18T20:39:10.400000Z,2024-03-18T20:39:13.720000Z,airplanes-live,2
KIRK,GROUND,75,7,RADIUS_AND_WINDOW,20250424_laramie,N872RA,2025-04-24,Laramie,WY,CHARLIE_ONLY,yes,not_documented,KLAR,2025-04-30,6,KFNL,Northern Colorado Regional Airport,66.4,,85,2025-04-30T00:20:26.950000Z,2025-04-30T01:00:51.240000Z,adsb-lol,2
KIRK,GROUND,75,5,RADIUS_AND_WINDOW,20250911_woodland_park,N40JD,2025-09-11,Woodland Park,CO,TPUSA_NO_KIRK,no_scheduled_not_held,unknown,KCOS,2025-09-06,-5,KAPA,Centennial Airport,41.2,,23,2025-09-06T15:59:17.730000Z,2025-09-06T16:01:46.220000Z,adsb-lol,4
KIRK,GROUND,75,2,RADIUS_ONLY,20250911_woodland_park,N582MM,2025-09-11,Woodland Park,CO,TPUSA_NO_KIRK,no_scheduled_not_held,unknown,KCOS,2025-09-09,-2,KBJC,Rocky Mountain Metropolitan Airport,62.7,,147,2025-09-09T20:11:42.530000Z,2025-09-09T20:13:58.250000Z,adsb-lol,6
KIRK,GROUND,75,2,RADIUS_ONLY,20250918_fort_collins,N582MM,2025-09-18,Fort Collins,CO,TPUSA_NO_KIRK,no_scheduled_not_held,unknown,KFNL,2025-09-19,1,KBJC,Rocky Mountain Metropolitan Airport,44.3,,223,2025-09-19T15:38:03.210000Z,2025-09-19T16:11:28.650000Z,adsb-lol,4
KIRK,GROUND,100,2,RADIUS_ONLY,20231018_san_antonio,N560TW,2023-10-18,San Antonio,TX,CHARLIE_ONLY,yes,not_documented,KSAT,2023-10-16,-2,KGTU,Georgetown Executive Airport at Johnny Gantt Field,98.0,,6,2023-10-16T15:45:15.720000Z,2023-10-16T16:03:59.300000Z,adsb-lol,4
KIRK,GROUND,100,2,RADIUS_ONLY,20231019_springfield,N888KG,2023-10-19,Springfield,MO,CHARLIE_ONLY,yes,not_documented,KSGF,2023-10-18,-1,KXNA,Northwest Arkansas National Airport,84.0,,26,2023-10-18T15:18:44.830000Z,2023-10-18T15:22:56.100000Z,airplanes-live,1
KIRK,GROUND,100,2,RADIUS_ONLY,20240318_san_diego,N102DZ,2024-03-18,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2024-03-18,0,KTRM,Jacqueline Cochran Regional Airport,79.2,,5,2024-03-18T20:06:41.960000Z,2024-03-18T20:06:55.370000Z,airplanes-live,1
KIRK,GROUND,100,2,RADIUS_ONLY,20240930_missoula,N872RA,2024-09-30,Missoula,MT,CHARLIE_ONLY,yes,not_documented,KMSO,2024-10-01,1,KGPI,Glacier Park International Airport,99.8,,22,2024-10-01T19:24:20.890000Z,2024-10-01T20:04:40.730000Z,adsbexchange-samples,1
KIRK,GROUND,100,2,RADIUS_ONLY,20250806_rancho_palos_verdes,N560TW,2025-08-06,Rancho Palos Verdes,CA,CHARLIE_ONLY,yes,not_documented,KTOA,2025-08-10,4,KCRQ,McClellan-Palomar Airport,75.7,,1,2025-08-10T20:47:37.140000Z,2025-08-10T20:47:37.140000Z,adsb-lol,2
KIRK,GROUND,150,2,RADIUS_ONLY,20230301_santa_barbara,N872RA,2023-03-01,Santa Barbara,CA,CHARLIE_ONLY,yes,not_documented,KSBA,2023-03-03,2,KSNA,John Wayne Orange County International Airport,116.9,,45,2023-03-03T14:02:05.480000Z,2023-03-03T14:07:38.240000Z,airplanes-live,1
KIRK,GROUND,150,2,RADIUS_ONLY,20230919_flagstaff,N560TW,2023-09-19,Flagstaff,AZ,CHARLIE_ONLY,yes,not_documented,KFLG,2023-09-18,-1,KSDL,Scottsdale Airport,108.6,,6,2023-09-18T16:59:02.290000Z,2023-09-18T17:02:18.510000Z,airplanes-live,7
KIRK,GROUND,150,2,RADIUS_ONLY,20240129_las_vegas,N1098L,2024-01-29,Las Vegas,NV,CHARLIE_ONLY,yes,not_documented,KLAS,2024-02-01,3,KHII,Lake Havasu City Airport,125.0,,35,2024-02-01T23:10:44.020000Z,2024-02-01T23:16:36.260000Z,adsbexchange-samples,2
KIRK,GROUND,150,2,RADIUS_ONLY,20240307_san_luis_obispo,N102DZ,2024-03-07,San Luis Obispo,CA,CHARLIE_ONLY,yes,not_documented,KSBP,2024-03-09,2,KVNY,Van Nuys Airport,143.8,,149,2024-03-09T04:33:46.700000Z,2024-03-09T05:09:12.720000Z,airplanes-live,1
KIRK,GROUND,150,2,RADIUS_ONLY,20240318_san_diego,N560TW,2024-03-18,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2024-03-18,0,KLAX,Los Angeles International Airport,106.3,,2,2024-03-18T15:58:52.720000Z,2024-03-18T15:58:54.010000Z,airplanes-live,1
KIRK,GROUND,150,2,RADIUS_ONLY,20240516_san_diego,N102DZ,2024-05-16,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2024-05-16,0,KVNY,Van Nuys Airport,124.0,,81,2024-05-16T07:07:13.840000Z,2024-05-16T07:13:23.690000Z,airplanes-live,2
KIRK,GROUND,150,2,RADIUS_ONLY,20240724_west_palm_beach,N582MM,2024-07-24,West Palm Beach,FL,CHARLIE_ONLY,yes,not_documented,KPBI,2024-07-26,2,KFMY,Page Field,108.1,,21,2024-07-26T12:38:22.140000Z,2024-07-26T12:46:02.500000Z,airplanes-live,2
KIRK,GROUND,150,2,RADIUS_ONLY,20240726_west_palm_beach,N582MM,2024-07-26,West Palm Beach,FL,CHARLIE_ONLY,yes,not_documented,KPBI,2024-07-26,0,KFMY,Page Field,108.1,,21,2024-07-26T12:38:22.140000Z,2024-07-26T12:46:02.500000Z,airplanes-live,2
KIRK,GROUND,150,2,RADIUS_ONLY,20241015_flagstaff,N560TW,2024-10-15,Flagstaff,AZ,CHARLIE_ONLY,yes,not_documented,KFLG,2024-10-16,1,KSDL,Scottsdale Airport,109.1,,115,2024-10-16T14:36:12.150000Z,2024-10-16T15:25:20.460000Z,adsb-lol,4
KIRK,GROUND,150,2,RADIUS_ONLY,20241015_flagstaff,N582MM,2024-10-15,Flagstaff,AZ,CHARLIE_ONLY,yes,not_documented,KFLG,2024-10-15,0,KSDL,Scottsdale Airport,109.0,,385,2024-10-15T17:01:12.270000Z,2024-10-15T19:00:26.700000Z,adsb-lol,10
KIRK,GROUND,150,2,RADIUS_ONLY,20241015_flagstaff,N872RA,2024-10-15,Flagstaff,AZ,CHARLIE_ONLY,yes,not_documented,KFLG,2024-10-16,1,KSDL,Scottsdale Airport,108.9,,101,2024-10-16T19:35:41.140000Z,2024-10-16T20:23:19.510000Z,adsb-lol,2
KIRK,GROUND,150,2,RADIUS_ONLY,20241016_tucson,N560TW,2024-10-16,Tucson,AZ,CHARLIE_ONLY,yes,not_documented,KTUS,2024-10-17,1,KSDL,Scottsdale Airport,118.1,,47,2024-10-17T00:44:19.140000Z,2024-10-17T00:46:39.150000Z,airplanes-live,6
KIRK,GROUND,150,2,RADIUS_ONLY,20241016_tucson,N582MM,2024-10-16,Tucson,AZ,CHARLIE_ONLY,yes,not_documented,KTUS,2024-10-17,1,KPHX,Phoenix Sky Harbor International Airport,110.6,,15,2024-10-17T03:40:42.600000Z,2024-10-17T03:41:56.290000Z,airplanes-live,10
KIRK,GROUND,150,2,RADIUS_ONLY,20241016_tucson,N872RA,2024-10-16,Tucson,AZ,CHARLIE_ONLY,yes,not_documented,KTUS,2024-10-16,0,KSDL,Scottsdale Airport,118.1,,101,2024-10-16T19:35:41.140000Z,2024-10-16T20:23:19.510000Z,adsb-lol,2
KIRK,GROUND,150,7,RADIUS_AND_WINDOW,20250227_gainesville,N582MM,2025-02-27,Gainesville,FL,CHARLIE_ONLY,yes,not_documented,KGNV,2025-02-20,-7,KTPA,Tampa International Airport,117.5,,11,2025-02-20T04:51:25.120000Z,2025-02-20T04:55:11.550000Z,airplanes-live,5
KIRK,GROUND,150,2,RADIUS_ONLY,20250424_laramie,N40JD,2025-04-24,Laramie,WY,CHARLIE_ONLY,yes,not_documented,KLAR,2025-04-23,-1,KBJC,Rocky Mountain Metropolitan Airport,100.1,,225,2025-04-23T19:29:42.600000Z,2025-04-23T20:27:22.270000Z,adsb-lol,2
KIRK,GROUND,150,5,RADIUS_AND_WINDOW,20250424_laramie,N582MM,2025-04-24,Laramie,WY,CHARLIE_ONLY,yes,not_documented,KLAR,2025-04-29,5,KAPA,Centennial Airport,126.5,,4,2025-04-29T21:46:47.940000Z,2025-04-29T21:47:22.240000Z,airplanes-live,2
KIRK,GROUND,150,2,RADIUS_ONLY,20250501_san_diego,N102DZ,2025-05-01,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2025-04-30,-1,KVNY,Van Nuys Airport,124.3,,89,2025-04-30T19:57:23.240000Z,2025-04-30T20:14:14Z,airplanes-live,4
KIRK,GROUND,150,5,RADIUS_AND_WINDOW,20250501_san_diego,N560TW,2025-05-01,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2025-05-05,4,KVNY,Van Nuys Airport,123.7,,121,2025-05-05T18:18:21.830000Z,2025-05-05T18:51:19.880000Z,adsb-lol,2
