docket_title	substack_file_url
Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/74a72add-92b7-47e6-a32e-4649a5992d2b.pdf
Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/451541a4-d71e-43df-b2b9-7322bb688209.pdf
Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/4ff5ca32-d4fb-433b-a2f2-6dce59a84a6c.pdf
Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/2f39b1cf-e5b8-49d5-9fc2-bffd1529fc3b.pdf
Request for Discovery, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/26bc3b24-7536-403d-9a99-f4c48cf2a373.pdf
Return of Electronic Notification, 10-1-25 (Not obtained)	
Telephonic Conference, 10-1-25	https://andreaburkhart.substack.com/api/v1/file/b4cf5290-71e5-4491-be01-45a5a8422e18.pdf
Telephonic Conference, 10-1-25	https://andreaburkhart.substack.com/api/v1/file/7036d3e3-5ebc-480c-ab8d-d74ae1e2a454.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 9-29-25	https://andreaburkhart.substack.com/api/v1/file/a9ba24be-f672-42d5-afd9-62a1b4a2dc7d.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 9-29-25 (Not obtained)	
Return of Electronic Notification, 10-2-25 (Not obtained)	
Return of Electronic Notification, 10-3-25 (Not obtained)	
Return of Electronic Notification, 10-4-25 (Not obtained)	
Request for Audio Recording, 10-6-25	https://andreaburkhart.substack.com/api/v1/file/bcaecd49-8a97-44b1-ad9f-89299e143a35.pdf
Return of Electronic Notification, 10-6-25 (Not obtained)	
Return of Electronic Notification, 10-7-25 (Not obtained)	
Copy of Video/Audio Record (completed), 10-8-25	https://andreaburkhart.substack.com/api/v1/file/6903bbde-de6a-4e8c-b9c6-ab7375432e44.pdf
Motion to Preserve Evidence, 10-8-25	https://andreaburkhart.substack.com/api/v1/file/213c1939-16c4-428a-90bb-3121cfe74dec.pdf
Order (Proposed) Granting Motion to Preserve Evidence, 10-8-25 (Not obtained)	
Return of Electronic Notification, 10-8-25 (Not obtained)	
Return of Electronic Notification, 10-9-25 (Not obtained)	
Motion Permission to File Overlength Motion to Appear in Civilian Clothes and Without Restraints, 10-9-25	https://andreaburkhart.substack.com/api/v1/file/8edc4b88-8a8f-4db1-97eb-89f3d689e142.pdf
Request/Notice to Submit Motion for Permission to File Overlength Motion to Appear in Civilian Clothes and Without Restraints, 10-9-25	https://andreaburkhart.substack.com/api/v1/file/4bd7410f-fb0c-4448-91b5-562d58ea5007.pdf
Order (Proposed) Granting Motion for Permission to File Overlength Motion to Appear in Civilian Clothes and Without Restraints, 10-9-25 (Not obtained)	
Motion (Hearing Requested) to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints and Memorandum in Support, 10-9-25	https://andreaburkhart.substack.com/api/v1/file/9bb9127e-4fe5-4c5a-bcdc-13d075d83a90.pdf
Order (Proposed) Temporary Order Allowing Appearance in Civilian Clothing and Without Restraints, 10-9-25	https://andreaburkhart.substack.com/api/v1/file/79fb3af6-01b3-45ff-ab0c-05f5aa152298.pdf
Order Granting Motion for Permission to File Overlength Motion to Appear in Civilian Clothes and Without Restraints, 10-10-25 (Not obtained)	
Return of Electronic Notification, 10-10-25 (Not obtained)	
Appearance of Counsel/Notice of Limited Appearance, 10-13-25	https://andreaburkhart.substack.com/api/v1/file/cae71612-738b-421d-a495-a0dd0116a7a9.pdf
Return of Electronic Notification, 10-13-25 (Not obtained)	
Request/Notice to Submit Stipulated Discovery Protective Order, 10-13-25 (Not obtained)	
Motion for Discovery Protective Order (Stipulated), 10-13-25	https://andreaburkhart.substack.com/api/v1/file/081e0917-8dc6-48c6-be6c-90899a3d8f40.pdf
Order (Proposed) Discovery Protective Order, 10-13-25 (Not Obtained)	
Certificate of Service, 10-13-25 (Not obtained)	
Interim Order Defendant’s Motion to Appear in Civilian Clothing and Without Restraints, 10-14-25	https://andreaburkhart.substack.com/api/v1/file/53635f32-26c1-4f19-9428-3a99bd25ab85.pdf
Appearance of Counsel/Notice of Limited Appearance (Richard Novak), 10-14-25	https://andreaburkhart.substack.com/api/v1/file/8cfb324b-40ef-40d2-820d-ac2837cce2b8.pdf
Return of Electronic Notification, 10-14-25 (Not obtained)	
Return of Electronic Notification, 10-15-25 (Not obtained)	
Discovery Protective Order, 10-15-25	https://andreaburkhart.substack.com/api/v1/file/01038937-9c9a-48ff-bfca-45b11e9e5b2e.pdf
Motion to Classify as Private the Response to Defendant’s Motion to Appear in Civilian Clothing, 10-20-25	https://andreaburkhart.substack.com/api/v1/file/c81f5dca-05c1-4b9e-85c7-e49db8d41a98.pdf
Order (Proposed) Granting Motion to Classify as Private the Response to Defendant’s Motion to Appear in Civilian Clothing, 10-20-25 (Not obtained)	
Return of Electronic Notification, 10-20-25 (Not obtained)	
Order Granting Motion to Classify as Private the Response to Defendant’s Motion to Appear in Civilian Clothing, 10-20-25	https://andreaburkhart.substack.com/api/v1/file/cc24cde3-5dea-4fdb-8b05-9aedfaff8c11.pdf
Order Granting Motion to Preserve Evidence, 10-20-25	https://andreaburkhart.substack.com/api/v1/file/c3b2f538-6a28-433f-b747-04c504a32023.pdf
(Omitted from Docket - no document # 109)	
Return of Electronic Notification, 10-21-25 (Not obtained)	
Motion to Strike Response to Defendant’s Motion to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints, 10-21-25	https://andreaburkhart.substack.com/api/v1/file/e7480933-c3c2-4c50-86a7-8a02c7133da4.pdf
Order to Transport, 10-21-25	https://andreaburkhart.substack.com/api/v1/file/2874439f-8452-4e7f-b066-a1e5291a1171.pdf
Return of Electronic Notification, 10-22-25 (Not obtained)	
Defendant’s Opposition to the State of Utah’s Motion under Utah Rule of Criminal Procedure 17.5, 10-22-25	https://andreaburkhart.substack.com/api/v1/file/158b5980-30ba-47ab-8f2c-89b3503a082a.pdf
Motion to Set Aside October 20, 2025 Order Granting Motion to Preserve Evidence, 10-22-25	https://andreaburkhart.substack.com/api/v1/file/d1c40a31-b5a5-407f-87ac-1688f8275f76.pdf
Response to Defendant’s Motion to Preserve Evidence, 10-22-25	https://andreaburkhart.substack.com/api/v1/file/dd217f7b-963f-4bce-b506-39915bbabe45.pdf
Opposition to Motion to Strike Response to Defendant’s Motion to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints, 10-22-25	https://andreaburkhart.substack.com/api/v1/file/4906e387-cf8b-49c1-8a8b-58276bc27942.pdf
Reply in Support of Motion re Restraints and Civilian Clothing, 10-22-25	https://andreaburkhart.substack.com/api/v1/file/d2b26b8a-79e9-4962-add7-363a6c9913af.pdf
Motion for Permission to File Overlength Reply, 10-22-25 (Not obtained)	
Request/Notice to Submit Request to Submit Motion for Permission to File Overlength Reply, 10-22-25 (Not obtained)	
Order (Proposed) Order Granting Permission to File Overlength Reply, 10-22-25 (Not obtained)	
Return of Electronic Notification, 10-23-25 (Not obtained)	
Order Granting Permission to File Overlength Reply, 10-23-25 (Not obtained)	
Reply in Support of Motion to Strike Response to Defendant’s Motion to Appear at all In-Person Proceedings in Civilian Clothing and Without Restraints, 10-23-25	https://andreaburkhart.substack.com/api/v1/file/c51f289e-1e2c-49cf-a520-016e74ad07aa.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 10-23-25	https://andreaburkhart.substack.com/api/v1/file/341731a2-07d4-4733-8fb0-ee6cd228ea68.pdf
Return of Electronic Notification, 10-24-25 (Not obtained)	
Updated Request and Order for Electronic Media Coverage of Court Proceedings	https://andreaburkhart.substack.com/api/v1/file/3f61785d-901e-4ee5-abbe-ab833657644b.pdf
Return of Electronic Notification, 10-27-25 (Not obtained)	
State’s Notice of Open File Policy and Invitation to Inspect Physical Evidence, 10-27-25	https://andreaburkhart.substack.com/api/v1/file/c3071a53-c395-40d4-8907-9c36a754ab5f.pdf
Ruling and Order Granting Defendant’s Motion to Strike and Granting in Part and Denying in Part Defendant’s Motion to Appear in Civilian Clothing and Without Restraints, 10-27-28	https://andreaburkhart.substack.com/api/v1/file/ded1002f-6589-455b-82c4-d4493cd3def9.pdf
Standing Decorum Order, Effective 10-30-25	https://andreaburkhart.substack.com/api/v1/file/305e9135-e121-4111-9eb6-cd3154fd1ab8.pdf
