2026-06-03	206|application/pdf|2048	%PDF	Reply in Support of Defendant’s Motion in Limine to Preclude (re Hearsay), 6-3-26	https://andreaburkhart.substack.com/api/v1/file/5492e14b-cb8e-40e8-8d3e-c2b5217de5fe.pdf
2026-06-06	206|application/pdf	%PDF	Opposition to Motion to Stay Pending Interlocutory Review, 6-6-26	https://andreaburkhart.substack.com/api/v1/file/4f46316a-b6ee-4fbf-84ed-72a42abe8012.pdf
2026-06-09	206|application/pdf	%PDF	Reply in Support of Defendant Tyler James Robinson’s Motion to Stay Pending Interlocutory Review (Dkt 561), 6-9-26	https://andreaburkhart.substack.com/api/v1/file/1164ecbe-cfcb-454d-ab4a-4c3a306b3a57.pdf
2026-06-12	206|application/pdf	%PDF	Utah Attorney General’s Notice of Intent Not to Respond to Constitutional Challenge, 6-12-26	https://andreaburkhart.substack.com/api/v1/file/f06bcb6c-62ca-4682-b592-5da68e58398e.pdf
2026-06-16	206|application/pdf	%PDF	Opposition to Application for Certificate of Attendance of Out-of-State Witness, 6-16-26	https://andreaburkhart.substack.com/api/v1/file/c9c3290f-7e98-413d-9d67-c4e99b8bf480.pdf
2026-06-17	206|application/pdf	%PDF	Objection to Defendant s Request to Remove the Death Penalty as a Sanction in the Event the Court Grants the Contempt Motion, 6-17-26	https://andreaburkhart.substack.com/api/v1/file/5029bac1-305d-49de-9846-a0dcd9deb8ff.pdf
2026-06-17	206|application/pdf	%PDF	Order to Appear, 6-17-26	https://andreaburkhart.substack.com/api/v1/file/103496d8-260f-4fba-8ba9-be2bf70a5cbf.pdf
2026-06-18	206|application/pdf|2048	%PDF	Opposition to State’s Uninvited Objection to Defendant s Request to Remove the Death Penalty as a Sanction in the Event the Court Grants the Contempt Motion, 6-18-26	https://andreaburkhart.substack.com/api/v1/file/81342c31-918e-4a17-92ef-fe92e4591b05.pdf
2026-06-18	206|application/pdf|2048	%PDF	Reply in Support of Application for Certificate for Attendance of Out-of-State Witness, 6-18-26	https://andreaburkhart.substack.com/api/v1/file/a4606e96-56ea-401f-811e-6a8f24a6db2b.pdf
2026-06-18	206|application/pdf|2048	%PDF	Request and Order for Electronic Media Coverage of Court Proceedings - Preliminary Hearing, 6-18-26	https://andreaburkhart.substack.com/api/v1/file/138de2ff-cfc4-4770-9df8-00e99d5f1f9d.pdf
2026-06-18	206|application/pdf|2048	%PDF	Request and Order for Electronic Media Coverage of Court Proceedings, 6-18-26	https://andreaburkhart.substack.com/api/v1/file/d8c2170e-743c-4e1e-befd-a418f7b40bb6.pdf
2026-06-19	206|application/pdf|2048	%PDF	Defendant Tyler James Robinson s Second Supplemental Request for Discovery, 6-19-26	https://andreaburkhart.substack.com/api/v1/file/8219c16d-ee65-4ec6-a44b-c5be5b8fee27.pdf
2026-06-21	206|application/pdf|2048	%PDF	Opposition to Defendant Tyler James Robinson’s Opposition to Electronic Media Request for the Preliminary Hearing, 6-21-26	https://andreaburkhart.substack.com/api/v1/file/2f81f4c9-1fe8-45fc-b558-66d5289ca04d.pdf
2026-06-22	206|application/pdf|2048	%PDF	Notice of Filing News Media Response to Defendant’s Petition for Permission to Appeal Interlocutory Order, 6-22-26	https://andreaburkhart.substack.com/api/v1/file/cce44120-76d5-486f-a44b-c0f831291f71.pdf
2026-06-22	206|application/pdf|2048	%PDF	Order Regarding Defendant's Application for Certificate for Attendance of Out-of-State Witness and State's Motion to Quash Subpoena, 6-22-26	https://andreaburkhart.substack.com/api/v1/file/6a2ad9e9-f51c-49e7-9f4d-e415319b953d.pdf
2026-06-23	206|application/pdf|2048	%PDF	Minute Entry Order RE: Electronic Devices In Courtroom Prohibited During Preliminary Hearing, 6-23-26	https://andreaburkhart.substack.com/api/v1/file/eeb7f87d-fe0f-4a54-b9f9-3836771c1321.pdf
2026-06-23	206|application/pdf|2048	%PDF	Ruling And Order On Defendant's Motion In Limine To Preclude Utilization Of Article I, Section 12 Of The Utah Constitution And Rule 1102 Of The Utah Rules Of Evidence To Sanction The Admissibility Of Heresy Evidence To Establish Probable, 6-23-26	https://andreaburkhart.substack.com/api/v1/file/c7495909-6729-4da8-8af8-2aef91f6e81e.pdf
2026-06-23	206|application/pdf|2048	%PDF	Ruling on the Record, 6-23-26	https://andreaburkhart.substack.com/api/v1/file/6fcb91e5-d66e-43ed-8beb-2cca6cba0357.pdf
2026-06-24	206|application/pdf|2048	%PDF	Defendant Tyler James Robinson’s Opposition to EMC Order for the Preliminary Hearing (Dkt 634), 6-24-26	https://andreaburkhart.substack.com/api/v1/file/7d5578f8-c896-4f78-8b5e-a76f93e6603f.pdf
2026-06-24	206|application/pdf|2048	%PDF	News Media Response to Defendant s Opposition to Electronic Media Request for the Preliminary Hearing, 6-24-26	https://andreaburkhart.substack.com/api/v1/file/08cd967c-be23-4964-916d-75b6a40cde32.pdf
2026-06-24	206|application/pdf|2048	%PDF	Opposition to Defendant Tyler James Robinson s Opposition to EMC Order for the Preliminary Hearing (Dkt 633), 6-24-26	https://andreaburkhart.substack.com/api/v1/file/1a12c841-e3b0-450f-893a-929313ea9ce4.pdf
2026-06-24	206|application/pdf|2048	%PDF	Opposition to Defendant Tyler James Robinson’s Opposition to EMC Order for the Prelim (Dkt 641), 6-24-26	https://andreaburkhart.substack.com/api/v1/file/b11f5fc4-5fcb-46d3-80f2-25550ab51c44.pdf
2026-06-24	206|application/pdf|2048	%PDF	Opposition to Defendant’s Motion to Classify Application for Certificate to Secure Out-of-State Witness (News Media s Opposition), 6-24-26	https://andreaburkhart.substack.com/api/v1/file/dd68d26d-dece-4538-be5d-7fabbcffb73b.pdf
2026-06-25	206|application/pdf|2048	%PDF	News Media Response to Defendant Opposition to EMC Orders for the Preliminary Hearing (Still Photography), 6-25-26	https://andreaburkhart.substack.com/api/v1/file/9cb6c74c-a987-464a-8b1d-e87777e44dda.pdf
2026-06-26	206|application/pdf	%PDF	Request and Order for Electronic Media Coverage of Court Proceedings, 6-26-26 (still photography)	https://andreaburkhart.substack.com/api/v1/file/65fed97d-8046-471d-80ce-5fa51703d2fb.pdf
2026-06-26	206|application/pdf|2048	%PDF	Notice of Filing Petition for Permission to Appeal from Two Interlocutory Orders,6-26-26	https://andreaburkhart.substack.com/api/v1/file/110c9446-f802-4f73-b80f-511f5e6b74a9.pdf
2026-06-30	206|application/pdf|2048	%PDF	Ruling And Order On Defendant's Objections To Electronic Media Requests, 6-30-26	https://andreaburkhart.substack.com/api/v1/file/60eb1df1-a978-4716-95db-13f04011b4c3.pdf
2026-07-01	206|application/pdf|2048	%PDF	News Media Motion to Amend Minute Entry Order to Allow Use of Portable Electronic Devices by the News Media and Their Counsel, 7-1-26	https://andreaburkhart.substack.com/api/v1/file/5b17aa3e-8755-4bd2-9b42-7095e65ec3ab.pdf
2026-07-02	206|application/pdf|2048	%PDF	Reply in Support of Motion to Classify Application as Private, 7-2-26	https://andreaburkhart.substack.com/api/v1/file/89c3bde6-df52-44d2-9633-8de406334af7.pdf
2026-07-02	206|application/pdf|2048	%PDF	Response to Defendant’s Second Supplemental Request for Discovery, 7-2-26	https://andreaburkhart.substack.com/api/v1/file/74d50292-177e-4865-a315-7353713eb9ad.pdf
2026-07-03	206|application/pdf|2048	%PDF	Defendant’s Standing Objections to State’s Exhibits, 7-3-26	https://andreaburkhart.substack.com/api/v1/file/40efc715-b46d-408d-ad67-e5039c84af15.pdf
2026-07-04	206|application/pdf|2048	%PDF	News Media Amended Motion to Allow Portable Electronic Devices, 7-4-26	https://andreaburkhart.substack.com/api/v1/file/b0223454-784e-475a-812b-920da42a8922.pdf
2026-07-08	206|application/pdf	%PDF	Supplemental Notice Concerning Access to Evidence Presented in Open Court, 7-8-26	https://andreaburkhart.substack.com/api/v1/file/dce6ed22-2268-48df-bbf5-08a6901a96f4.pdf
2026-07-08	206|application/pdf|2048	%PDF	PRELIMINARY HEARING, 7-8-26	https://andreaburkhart.substack.com/api/v1/file/32bf6f37-4bec-4cd8-93e0-f1a4faa382be.pdf
2026-07-10	206|application/pdf|2048	%PDF	Request for Speedy Disposition and Prompt Bindover, 7-10-26	https://andreaburkhart.substack.com/api/v1/file/6c768210-82de-443c-800f-58c6d202ae33.pdf
2026-07-21	206|application/pdf|2048	%PDF	PRELIMINARY HEARING - DAY 2, 7-21-26	https://andreaburkhart.substack.com/api/v1/file/8963886b-a070-4372-bfb8-0ccddfe85cdb.pdf
2026-07-21	206|application/pdf|2048	%PDF	PRELIMINARY HEARING, 7-21-26	https://andreaburkhart.substack.com/api/v1/file/011c5d90-2c2e-4043-919d-63b4abb83949.pdf
2026-07-21	206|application/pdf|2048	%PDF	PRELIMINARY HEARING, 7-21-26	https://andreaburkhart.substack.com/api/v1/file/4f62f14c-9b20-46c6-a493-9d2de6a5903a.pdf
2026-07-28	206|application/pdf|2048	%PDF	Memorandum in Support of Preliminary Hearing Bindover, 7-28-26	https://andreaburkhart.substack.com/api/v1/file/b751fcf7-c7dd-447b-bfd8-59b76408afc0.pdf
2026-08-11	206|application/pdf	%PDF	Defendant Tyler James Robinson's Preliminary Hearing Briefing, 8-11-26	https://andreaburkhart.substack.com/api/v1/file/1d3ce795-67cd-4dcb-bb72-a78e64551a42.pdf
2026-08-18	206|application/pdf|2048	%PDF	Request and Order for Electronic Media Coverage of Court Proceedings, 8-18-26	https://andreaburkhart.substack.com/api/v1/file/0b4d9879-be59-4582-b6e7-6d785f94170b.pdf
2026-08-18	206|application/pdf|2048	%PDF	Request and Order for Electronic Media Coverage of Court Proceedings, 8-18-26	https://andreaburkhart.substack.com/api/v1/file/da466ae2-7f28-4c1c-8250-70d886d1af94.pdf
2026-08-18	206|application/pdf|2048	%PDF	State’s Reply Supporting Preliminary Hearing Bindover, 8-18-26	https://andreaburkhart.substack.com/api/v1/file/6ed59130-62a7-479a-853c-621cde405142.pdf
2026-08-22	206|application/pdf|2048	%PDF	Opposition to Defendant Tyler James Robinson s Opposition to EMC Order for the September 1, 2026 Hearing (Dkt 710)_Redacted, 8-22-26	https://andreaburkhart.substack.com/api/v1/file/b5e67149-c2a0-44a5-8a1c-405ba04aef90.pdf
2026-08-22	206|application/pdf|2048	%PDF	Opposition to Defendant Tyler James Robinson’s Opposition to EMC Order for the September 1, 2026 Hearing (Dkt 711), 8-22-26	https://andreaburkhart.substack.com/api/v1/file/959bef5b-da0a-4670-95f1-ac958b12c00e.pdf
2026-08-27	206|application/pdf	%PDF	Standing Decorum Order, Effective August 28, 2026, 8-27-26	https://andreaburkhart.substack.com/api/v1/file/6053b721-5d52-40db-893b-02100be7c48f.pdf
2026-08-27	206|application/pdf|2048	%PDF	Minute Entry Order RE: Electronic Device In Courtroom Prohibited During September 1, 2026 Hearing, 8-27-26	https://andreaburkhart.substack.com/api/v1/file/a7c2947d-e940-426d-a399-797f58d83003.pdf
2026-08-27	206|application/pdf|2048	%PDF	News Media Consolidated Response to Defendant Opposition to EMC Orders for the September 1, 2026 Hearing, 8-27-26	https://andreaburkhart.substack.com/api/v1/file/bd041a72-329c-4d01-a9a1-df8fe6a1bba3.pdf
2026-08-27	206|application/pdf|2048	%PDF	News Media Opposition to Defendant Motion to Classify Unredacted Oppositions to EMC Orders for the September 1, 2026 Hearing, 8-27-26	https://andreaburkhart.substack.com/api/v1/file/a39e8ac8-f4d4-4a57-9373-87199a2176c8.pdf
2026-08-28	206|application/pdf|2048	%PDF	Amended Standing Decorum Order, Effective August 28, 2026, 8-28-26	https://andreaburkhart.substack.com/api/v1/file/75d9511f-501c-4335-b503-91ddd479bff5.pdf
2026-08-28	206|application/pdf|2048	%PDF	Defendant Tyler James Robinson’s Discovery Status Report, 8-28-26	https://andreaburkhart.substack.com/api/v1/file/cd14df85-2717-490d-b335-9cf408d937d2.pdf
2028-10-27	206|application/pdf	%PDF	Ruling and Order Granting Defendant’s Motion to Strike and Granting in Part and Denying in Part Defendant’s Motion to Appear in Civilian Clothing and Without Restraints, 10-27-28	https://andreaburkhart.substack.com/api/v1/file/ded1002f-6589-455b-82c4-d4493cd3def9.pdf
