docket_no	title	file_id	embed_label	size	url
190	Objection to State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order, 11-20-25	44c5e7eb-398e-440a-adea-61c6c1fb748a	11 20 25 Defendant's Objection To Motion To Amend Court Order	207KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/44c5e7eb-398e-440a-adea-61c6c1fb748a.pdf
193	Request and Order for Electronic Media Coverage of Court Proceedings, 11-21-25	37465370-77b3-439f-bf91-e81f7fcc7df3	11 21 25 Request And Order For Electronic Media Coverage Still	109KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/37465370-77b3-439f-bf91-e81f7fcc7df3.pdf
194	Request and Order for Electronic Media Coverage of Court Proceedings, 11-21-25	e2721a6c-2610-4e95-89ee-79b769a309a7	11 21 25 Request And Order For Electronic Media Coverage Video	124KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e2721a6c-2610-4e95-89ee-79b769a309a7.pdf
195	Order to Transport, 11-21-25	81a49c78-ef38-4e56-be76-42cc597612c2	11 21 25 Order To Transport	132KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/81a49c78-ef38-4e56-be76-42cc597612c2.pdf
197	Motion for Limited Intervention, 11-24-25	9479186a-47db-4d10-b135-a4e9dd1d3192	11 24 25 Motion For Limited Intervention	190KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/9479186a-47db-4d10-b135-a4e9dd1d3192.pdf
199	Reply in Support of Motion for Limited Intervention (Proposed Media Intervenors), 11-26-25	59f92197-6e7a-446d-ae98-8432b19b2b9f	11 26 25 Reply In Support Of Motion For Limited Intervention	221KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/59f92197-6e7a-446d-ae98-8432b19b2b9f.pdf
202	(Previously omitted) Letter From Supreme Court Of Utah, 11-17-25	e7bd7842-8138-4273-bcad-be29afa0370d	11 17 25 Letter From Supreme Court	119KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e7bd7842-8138-4273-bcad-be29afa0370d.pdf
204	Reply Supporting State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order (Dkt. #23), 11-28-25	0772be98-2e34-49ac-b054-45ddd0b69713	11 28 25 Reply In Support Of Motion To Clarify Or Amend Publicity Order	211KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/0772be98-2e34-49ac-b054-45ddd0b69713.pdf
209	Joint Status Report of the Parties Concerning the Redaction of Portions of the Transcript of the October 24, 2025 Sealed Hearing, 12-4-25	2035a328-d74d-44cc-98c3-5e165253d8a1	12 4 25 Joint Status Report Re Transcript Redaction	203KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/2035a328-d74d-44cc-98c3-5e165253d8a1.pdf
211	UOVC Restitution Notice Claim #1113665, 12-5-25	2617e2f3-c35a-4c15-ba05-4c61b475922a	12 5 25 Notice Of Restiution Claim	49.7KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/2617e2f3-c35a-4c15-ba05-4c61b475922a.pdf
213	Defendant Tyler James Robinson’s Response to the Motion for Limited Intervention of Deseret News, et al. (Dkt 197), 12-8-25	d32b098a-eedf-4acd-9ecf-0d1741400180	12 8 25 Defendant's Objection To Motion For Limited Intervention	224KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d32b098a-eedf-4acd-9ecf-0d1741400180.pdf
215	Request and Order for Electronic Media Coverage of Court Proceedings, 12-8-25	b76d3bbe-f81b-455f-a678-1d5c77515f7a	12 8 25 Request And Order For Electronic Media Coverage	128KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b76d3bbe-f81b-455f-a678-1d5c77515f7a.pdf
220	Media Intervenors Memorandum Opposing Stipulated Motion to Classify as Private the Transcript and Audio of October 24, 2025 Hearing, 12-8-25	8f6eac89-c654-43d6-89da-3ca86d390941	12 8 25 Media Intervenors Opposition To Motion To Classify Transcript As Private	285KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/8f6eac89-c654-43d6-89da-3ca86d390941.pdf
222	Request and Order for Electronic Media Coverage of Court Proceedings, 12-8-25	fb1011e5-3415-4a54-9fc3-a3a570490bc4	12 8 25 Request And Order For Electronic Media Coverage Still	335KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/fb1011e5-3415-4a54-9fc3-a3a570490bc4.pdf
227	Defendant Tyler James Robinson’s Reply to Media’s Memorandum Opposing Stipulated Motion to Classify as Private the Transcript and Audio of October 24, 2025, 12-9-25	6c3d8e5c-cd44-46f6-b376-7344574b1ff9	12 9 25 Reply To Motion To Classify Transcript As Private	215KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6c3d8e5c-cd44-46f6-b376-7344574b1ff9.pdf
239	Ruling and Order Granting State’s Motion to Clarify Court’s Pretrial and Trial Publicity Order, 12-15-25	fc16c126-5152-47c2-b0c9-ef1670c9994d	12 15 25 Order Granting Motion To Clarify Pretrial Publicity Order	220KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/fc16c126-5152-47c2-b0c9-ef1670c9994d.pdf
243	Motion to Order Transcript and Temporarily Classify Transcript and Audio as Private, 12-17-25	b81d5e41-98c2-43ed-9577-5ba267c38c97	12 17 25 Motion To Order Transcript And Temporarily Classify As Private	178KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b81d5e41-98c2-43ed-9577-5ba267c38c97.pdf
247	(Public Version) Motion to Disqualify, 12-17-25	da482a5c-24b4-47e2-9faa-98ffd2e82098	12 17 25 Motion To Disqualify Utah Co Prosecutors Office Public Version	2.61MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/da482a5c-24b4-47e2-9faa-98ffd2e82098.pdf
257	Request and Order for Electronic Media Coverage of Court Proceedings, 12-23-25	3f25a9a6-ea7f-4ddd-aff3-b25f2f276ee6	12 23 25 Request And Order For Electronic Media Coverage Of Court Proceedings	123KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3f25a9a6-ea7f-4ddd-aff3-b25f2f276ee6.pdf
260	REVIEW/ORAL ARGUMENT, 12-24-25	1a0f2948-be7f-476e-833b-f7b6b525f643	12 24 25 Court Minutes On Hearing	712KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1a0f2948-be7f-476e-833b-f7b6b525f643.pdf
263	Ruling and Order re Stipulated Motion to Classify Transcript and Audio as Private, 12-29-25	6ffe6f26-085b-400a-92f1-f10ad6100f98	12 29 25 Ruling And Order Re Transcript Classification	406KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6ffe6f26-085b-400a-92f1-f10ad6100f98.pdf
264	Order Denying the Media’s Request to Intervene, and Standing Order for Rule 4-202.04 Notice of Motions for Classification, 12-29-25	07006b0e-93fc-447f-93a7-f9dd52396e68	12 29 25 Order Denying Media's Request To Intervene	233KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/07006b0e-93fc-447f-93a7-f9dd52396e68.pdf
265	Transcript of October 24, 2025 Hearing (Redacted Transcript), 12-29-25	fb25b527-dd12-4b5b-9194-33ee893ef346	12 29 25 Redacted Transcript Of 10 24 25 Hearing	1.01MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/fb25b527-dd12-4b5b-9194-33ee893ef346.pdf
281	(Previously filed as private) Defendant Motion Filed Jan 9, 2026 wExhibits, 1-9-26	32f5d075-32a0-49c7-b5a8-aff3a440e6b9	26	1.31MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/32f5d075-32a0-49c7-b5a8-aff3a440e6b9.pdf
286	Opposition to Defendant’s Motion to Disqualify the Utah County Attorney’s Office, 1-10-26	68d7b85b-b45e-4374-9d51-fb7fa5cbc9c1	1 10 26 Opp To Motion To Disqualify Utah Co Attorney	4.29MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/68d7b85b-b45e-4374-9d51-fb7fa5cbc9c1.pdf
288	Subpoena for Sgt. David Hull, 1-12-26	d87741ae-8f5c-458a-b9ed-3582d6796ff4	1 12 26 Subpoena For Sgt	174KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d87741ae-8f5c-458a-b9ed-3582d6796ff4.pdf
290	Partial Reply to Opposition to Motion to Disqualify (Public), 1-12-26	fcbf1865-ca6a-4aaa-af0f-eca11cedcb16	1 12 26 Reply To Motion To Disqualify	167KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/fcbf1865-ca6a-4aaa-af0f-eca11cedcb16.pdf
299	News Media’s Memorandum Opposing Motion to Classify Defendant’s Motion filed January 9, 2026, 1-15-26	76684818-d964-4ff5-97da-aa2eb0b9f6bf	1 15 26 News Media's Memo Opposing Motion To Classify 1 9 26 Motion	170KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/76684818-d964-4ff5-97da-aa2eb0b9f6bf.pdf
307	Motion to Classify (Motion to Exclude), 1-16-26	28293317-8c84-4aac-aa7c-664037308841	1 16 26 Motion To Classify	157KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/28293317-8c84-4aac-aa7c-664037308841.pdf
314	Victim Representative’s Invocation of the Speedy Trial Act, 1-16-26	4bc4e246-f20c-4b75-be20-874a7022aa0b	1 16 25 Victim Rep Invocation Of Speedy Trial	104KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4bc4e246-f20c-4b75-be20-874a7022aa0b.pdf
316	Request and Order for Electronic Media Coverage of Court Proceedings, 1-22-26	b374e5a6-c74c-47a0-8197-e7df8e199e38	1 22 26 Request And Order For Electronic Media Coverage Still	122KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b374e5a6-c74c-47a0-8197-e7df8e199e38.pdf
317	Reply in Support of Motion to Classify as Private - Jan 9, 1-22-26	10dc3c82-9476-44ed-8763-abbca2a4c535	1 23 26 Reply In Support Of Motion To Classify	197KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/10dc3c82-9476-44ed-8763-abbca2a4c535.pdf
320	News Media’s Memorandum Opposing Motion to Classify re: Motion to Exclude Cameras (Filed January 16, 2026), 1-23-26	ab312dd5-200e-44b5-8004-7c12d11b7f2e	1 23 26 News Media's Memo Opposing Motion To Classify Motion To Exclude Cameras	191KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ab312dd5-200e-44b5-8004-7c12d11b7f2e.pdf
322	New Media’s Motion to Amend Standing Order for Rule 4-202.04 Notice of Motions for Classification, 1-23-26	88c338f3-3016-482b-9f6a-0ac76fe934b3	1 23 26 News Media's Moton To Amend Standing Order Re 4 202	244KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/88c338f3-3016-482b-9f6a-0ac76fe934b3.pdf
327	Defendant Tyler James Robinson’s Notice of Objection to the State of Utah’s Proposed Exhibit 4.1; Memorandum of Points and Authorities, 1-27-26	a6064f13-11e1-40d9-8a74-e875c2acc955	1 27 26 Defendant's Objection To State's Exhibit 4	178KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/a6064f13-11e1-40d9-8a74-e875c2acc955.pdf
330	Request and Order for Electronic Media Coverage and Court Proceedings, 1-28-26	3774401d-b31c-492c-8764-d4a4146a52a2	1 28 26 Request And Order For Electronic Media Coverage	126KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3774401d-b31c-492c-8764-d4a4146a52a2.pdf
332	News Media’s Motion for Attorneys Eyes Only Access to Closure Motions, 1-29-26	62941687-b4aa-4fba-8367-86286211a32b	1 29 26 Media's Motion For Attorneys Eyes Only Access	192KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/62941687-b4aa-4fba-8367-86286211a32b.pdf
334	News Media’s Sur-Reply Opposing Motion to Classify Defendant’s Motion Filed January 9, 2026, 1-29-26	d390922b-2497-4f5c-b91c-7207854e2996	1 29 26 Media's Sur Reply Re Classify January 9 Motion Private	209KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d390922b-2497-4f5c-b91c-7207854e2996.pdf
337	State’s Opposition to Motion to Classify Defendant’s Motion Filed January 9, 2026 as Private, 1-29-26	ae1e9158-e763-4b70-86c1-fa1c342cca6b	1 29 26 State's Opposition To Classify January 9 2026 Motion As Private	164KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ae1e9158-e763-4b70-86c1-fa1c342cca6b.pdf
339	Memorandum in Response to Defendant’s Objection to Exhibit 4.1, 1-29-26	1c9f8c95-2457-4b02-855d-6ed13e10ed40	1 29 26 Memo In Response To Objection To Exhibit 4	186KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1c9f8c95-2457-4b02-855d-6ed13e10ed40.pdf
341	Defendant’s Reply in Support of Motion to Classify Motion to Exclude, 1-30-26	0ec57362-51b4-4e17-b236-88b3d10b2529	1 30 26 Defendant's Reply In Support Of Motion To Classify Motion To Exclude	200KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/0ec57362-51b4-4e17-b236-88b3d10b2529.pdf
343	State’s Opposition to Defendants Motion to Classify Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom as Private, 1-30-26	944dab81-b617-40f4-8f28-48b8818da35e	1 30 26 State's Opposition To Motion To Classify Motion To Exclude	150KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/944dab81-b617-40f4-8f28-48b8818da35e.pdf
345	Defendant Tyler Robinson’s Renewed Request that this Court Refer the Motion to Disqualify to the Utah Attorney General Pursuant to Utah Code 17-68-304; Memorandum of Points and Authorities, 1-30-26	ec2b265d-63ce-43d6-a92f-197dc19ae626	1 30 26 Defendant's Request To Refer Disqualification To Ag	218KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ec2b265d-63ce-43d6-a92f-197dc19ae626.pdf
347	Opposition to Motion to Exclude Cameras (Provisional Opposition Filed by the News Media), 1-30-26	ccd4dc83-c116-4aaa-8b8a-faacd97c6ef3	1 30 26 Media's Opposition To Motion To Exclude	294KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ccd4dc83-c116-4aaa-8b8a-faacd97c6ef3.pdf
351	State’s Memorandum Opposing Defendant’s Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom, 1-30-26	d9e1bdaa-a4b4-4c08-80c9-4a0b6ab422fe	1 30 26 State's Memo Oppositing Motion To Exclude Media	335KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d9e1bdaa-a4b4-4c08-80c9-4a0b6ab422fe.pdf
352	Attachment A, 1-30-26	4f8c1f2a-b3ac-4b45-a105-5b3dd5d64afa	1 30 26 Attachment A	875KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4f8c1f2a-b3ac-4b45-a105-5b3dd5d64afa.pdf
353	Attachment B, 1-30-26	8e8a4d54-873e-45c4-a042-6b468fa293ba	1 30 26 Attachment B	1.05MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/8e8a4d54-873e-45c4-a042-6b468fa293ba.pdf
354	Attachment C, 1-30-26	3861f773-b15e-4c78-b0cf-e715c45d1f43	1 30 26 Attachment C	1.22MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3861f773-b15e-4c78-b0cf-e715c45d1f43.pdf
355	Attachment D, 1-30-26	1751f102-7898-4fe3-959c-825b31ef0b16	1 30 26 Attachment D	1.66MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1751f102-7898-4fe3-959c-825b31ef0b16.pdf
356	Attachment E, 1-30-26	057ecd8c-a30c-4440-86cd-02463fb10835	1 30 26 Attachment E	1000KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/057ecd8c-a30c-4440-86cd-02463fb10835.pdf
357	Attachment F, 1-30-26	05c9d977-32a9-46b5-87b0-ac0f4b184c10	1 30 26 Attachment F	1.99MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/05c9d977-32a9-46b5-87b0-ac0f4b184c10.pdf
358	Attachment G, 1-30-26	e724be25-6360-4cfa-88ea-16013589a1ba	1 30 26 Attachment G	4.48MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e724be25-6360-4cfa-88ea-16013589a1ba.pdf
360	Attachment H, 1-30-26	b07e1145-662a-46fa-88aa-2d21eb8d32c0	1 30 26 Attachment H	5.36MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b07e1145-662a-46fa-88aa-2d21eb8d32c0.pdf
361	Attachment H, 1-30-26 (*Not a duplicate, the item is misnumbered*)	6661f07e-e6fb-4ef1-999b-32184875ae6c	1 30 26 Attachment H Misnumbered	3.69MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6661f07e-e6fb-4ef1-999b-32184875ae6c.pdf
363	State’s Opposition to Defendant’s Renewed Request to Refer the Motion to Disqualify to the Utah Attorney General, 2-2-26	be4f17cb-1acd-4e53-996f-93bf8e392046	2 2 26 Opposition To Renewed Request Re Ag	228KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/be4f17cb-1acd-4e53-996f-93bf8e392046.pdf
365	Proffer of Facts re Closure of Portions of Evidentiary Hearing on Motion to Disqualify UCAO, 2-2-26	b16f249c-7d31-461c-a3ca-ad812badf47b	2 2 26 Proffer Re Closure Of Portions Of Evidentiary Hearing	176KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b16f249c-7d31-461c-a3ca-ad812badf47b.pdf
367	Notice Concerning Media Access, 2-2-26	5f56b82f-aa8c-4045-9a16-38ad887c4c4a	2 2 26 Notice Concerning Media Access	105KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/5f56b82f-aa8c-4045-9a16-38ad887c4c4a.pdf
369	Order for Transport, 2-3-26	ccd8bd8d-f6f9-41ba-a785-84829d2a2393	2 3 26 Order For Transport	132KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ccd8bd8d-f6f9-41ba-a785-84829d2a2393.pdf
371	Defendant’s Response to News Media’s Motion to Amend Standing Order for Rule 4-202.04 Notice of Motions for Classification, 2-4-26	ab22db3f-f62d-43fd-bf85-7e0436eabeb8	2 4 26 Defendant's Response To Media's Motion To Amend Notice Of Motions To Classify	150KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ab22db3f-f62d-43fd-bf85-7e0436eabeb8.pdf
373	State’s Response to News Media’s Motion to Amend Standing Order for Rule 4-202.04 Motions for Classification, 2-5-26	1fea5c3c-9ed6-43fb-b179-5b196740591d	2 5 26 State's Response To Media's Motion To Amend Order Re Notice Of Classification Motions	118KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1fea5c3c-9ed6-43fb-b179-5b196740591d.pdf
375	Defendant’s Reply to State’s Opposition to Motion to Classify Defendant’s Motion Filed Jan 9, 2026 as Private, 2-5-26	f0671aeb-00df-4c18-b263-05f45bc33599	2 5 25 Defendant's Reply Re Motion To Classify Jan 9 Motion As Private	154KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/f0671aeb-00df-4c18-b263-05f45bc33599.pdf
383	Reply to State’s Opposition to Motion to Classify Motion to Exclude Cameras, 2-6-26	bdc3d47d-c108-4dde-baa8-089f8de0f747	2 6 26 Defendant's Reply To Motion To Classify Motion To Exclude Cameras	172KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/bdc3d47d-c108-4dde-baa8-089f8de0f747.pdf
385	Memorandum State’s Response to News Media’s Motion for Attorney’s Eyes Only Access to Closure Motions, 2-6-26	6f183768-3636-492b-9732-d675fd399542	2 6 26 State's Response To Media's Motion For Attorneys Eyes Only Access	160KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6f183768-3636-492b-9732-d675fd399542.pdf
390	Opposition to Defendant Tyler James Robinson s Memorandum in Opposition to News Media s Motion for Attorneys Eyes Only Access to Closure Motions, 2-12-26	a5798218-ceed-4e59-88f4-91d934a7be23	2 12 26 Defendant's Memo In Opposition To Media Motion For Attorneys Eyes Only Access	171KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/a5798218-ceed-4e59-88f4-91d934a7be23.pdf
403	(Previously omitted from docket) Appellate Court Document (Order), 1-2-26	e1561109-a74b-4ab8-b52f-909b93c338b4	1 2 26 Appellate Order Denying Interlocutory Review	54.5KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e1561109-a74b-4ab8-b52f-909b93c338b4.pdf
406	Order to Appear for Hearing, 2-23-26	9351ae05-a0af-450c-8b7d-a17c72237960	2 23 26 Order To Appear For Hearing	128KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/9351ae05-a0af-450c-8b7d-a17c72237960.pdf
409	Exhibit List - In Person Oral Argument, 2-23-26	61123e99-45df-4864-8da8-43052de135e6	2 23 26 Exhibit List	19.4KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/61123e99-45df-4864-8da8-43052de135e6.pdf
410	Oral Argument / Evidentiary Hearing, 2-23-26	c63cfbe8-d75a-4039-8a33-1394254f5963	2 23 26 Minutes Of Hearing	712KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c63cfbe8-d75a-4039-8a33-1394254f5963.pdf
411	Standing Decorum Order, Effective February 24, 2026, 2-23-26	e0ccb441-480f-49ab-8eb7-169236c7dd9a	2 23 26 Standing Decorum Order Effective 2 24 26	420KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e0ccb441-480f-49ab-8eb7-169236c7dd9a.pdf
412	Order on February 3, 2026 Hearing Transcript, 2-23-26	32c06a8c-15f9-4ed8-a841-636df8a3c87c	2 23 26 Order On Feb 3 2026 Hearing Transcript	199KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/32c06a8c-15f9-4ed8-a841-636df8a3c87c.pdf
413	Standing Order on Redacting and Filing Transcripts, 2-23-26	ba670989-d96c-400a-93c1-2b4fa90beeb5	2 23 26 Standing Order On Transcripts	204KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ba670989-d96c-400a-93c1-2b4fa90beeb5.pdf
414	Rulings and Orders Granting News Media’s Motion to Amend Standing Order for Rule 4-202.04 Notice of Motions for Classification; Granting News Media’s Motion for Attorneys Eyes Only Access to Closure Motions; and Amended Standing Order, 2-23-26	36ca3e73-f1ca-4100-9fd8-c4b814ddbe71	2 23 26 Rulings And Orders Granting News Media's Motions	245KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/36ca3e73-f1ca-4100-9fd8-c4b814ddbe71.pdf
417	Ruling and Order Denying Defendant’s Motion to Disqualify Utah County Attorney’s Office, 2-24-26	1aaa9b97-b203-47f7-9033-71228f43ed5f	2 24 26 Order Denying Motion To Disqualify Prosecutors Office	452KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1aaa9b97-b203-47f7-9033-71228f43ed5f.pdf
420	(Previously omitted) Appellate Court Document - Notice of Decision, 1-5-26	aad806d3-c6f2-4d04-bbc0-540353624552	1 5 26 Appellate Notice Of Decision	40.8KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/aad806d3-c6f2-4d04-bbc0-540353624552.pdf
422	Defendant Tyler James Robinson s Motion to Close Portions of the April 17, 2026 Evidentiary Hearing, 2-26-26	c2978d77-8ba4-4251-953c-3ab81eae445b	2 26 26 Defendant's Motion To Close Portions Of Evidentiary Hearing	167KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c2978d77-8ba4-4251-953c-3ab81eae445b.pdf
426	News Media Memorandum Opposing Motion to Classify Reply in Support of Motion to Exclude Cameras, 3-6-26	068c3b71-4343-4a4b-afce-559562ab244e	3 6 26 News Media's Opposition To Classify Reply To Motion To Exclude Cameras	166KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/068c3b71-4343-4a4b-afce-559562ab244e.pdf
428	State’s Opposition to Defendant s Motion to Classify Reply in Support of Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom as Private, 3-6-26	b1fc36a6-65cf-4209-b67a-4c87fdcba738	3 6 26 State's Opposition To Motion To Classify Reply To Motion To Exclude	184KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b1fc36a6-65cf-4209-b67a-4c87fdcba738.pdf
432	Request and Order for Electronic Media Coverage of Court Proceedings, 3-10-26	b8a890d8-2246-4d17-bc63-bf34f9cd9daf	3 10 26 Request For Electronic Media Coverage	155KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b8a890d8-2246-4d17-bc63-bf34f9cd9daf.pdf
433	News Media Motion to Classify Supplemental Memorandum Opposing Motion to Classify Defendants Motion Filed January 9, 2026, 3-10-26	b06e3ddd-be8c-4163-aaed-0fb3cd746c44	3 10 26 News Media Motion To Classify Supp Opposing Memo To Motion To Classify	157KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b06e3ddd-be8c-4163-aaed-0fb3cd746c44.pdf
437	News Media Supplemental Opposition to Motion to Exclude Cameras, 3-10-26	539e8032-c1b6-4852-8043-ecfdbadef775	3 10 26 News Media Supp Memo Opposing Motion To Exclude Cameras	2.24MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/539e8032-c1b6-4852-8043-ecfdbadef775.pdf
442	UOVC Restitution Notice Claim#1113572, 3-11-26	a8244e4b-1642-4be9-a392-1fb8cdc69e14	3 11 26 Notice Of Restitution Claim	49.7KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/a8244e4b-1642-4be9-a392-1fb8cdc69e14.pdf
444	Request and Order for Electronic Media Coverage of Court Proceedings, 3-11-26	3ea0db71-7cf5-44f8-aee9-9b23c497e434	3 11 26 Request For Electronic Coverage Of Court Proceedings	49.7KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3ea0db71-7cf5-44f8-aee9-9b23c497e434.pdf
445	State’s Response to Defendant s Motion to Close Portions of the April 17, 2026 Evidentiary Hearing, 3-11-26	b034227f-cb3a-4e3e-88f5-a4344b780e6d	3 11 26 State's Response To Motion To Close Portions Of 4 17 26 Hearing	376KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b034227f-cb3a-4e3e-88f5-a4344b780e6d.pdf
450	(Previously omitted) New Media's Supplemental Memorandum Opposing Motion To Classify Defendant's Motion Filed January 9, 2026, 3-10-26	e95c0d04-ce2d-4d86-be4f-7dabb5353be0	3 10 26 Supp Media Memo Re Classification Of 1 9 26 Motion	158KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e95c0d04-ce2d-4d86-be4f-7dabb5353be0.pdf
459	Notice of Expert (Dr. Ruva), 3-18-26	0def5484-b2a1-42c3-a23a-3d73c9b748fd	3 18 29 Notice Of Expert Dr	171KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/0def5484-b2a1-42c3-a23a-3d73c9b748fd.pdf
463	Defendant Tyler James Robinson’s Motion to Vacate or Continue Preliminary Hearing with Addenda, 3-27-26	068f64e9-aae3-4e36-a358-9e542302e47d	3 27 26 Defendant's Motion To Continue Preliminary Hearing	1.48MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/068f64e9-aae3-4e36-a358-9e542302e47d.pdf
465	(Redacted) Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom, 3-30-26	f43b97a3-1b00-4aac-bc1b-f6a377d72dc2	3 30 26 Redacted Motion To Exclude Cameras	3.74MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/f43b97a3-1b00-4aac-bc1b-f6a377d72dc2.pdf
467	Return of Electronic Notification, 3-31-26 (Not obtained)	68bca24b-3edf-4b5b-8405-d8f0110e425e	26	166KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/68bca24b-3edf-4b5b-8405-d8f0110e425e.pdf
