docket_seq	document_name_and_date	embed_title	size	pdf_url
240	Order Granting Motion for Leave to File Overlength Memorandum, 12-15-25 (Not obtained)			
241	Return of Electronic Notification, 12-15-25 (Not obtained)			
242	Return of Electronic Notification, 12-16-25 (Not obtained)			
243	Motion to Order Transcript and Temporarily Classify Transcript and Audio as Private, 12-17-25	12 17 25 Motion To Order Transcript And Temporarily Classify As Private	178KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b81d5e41-98c2-43ed-9577-5ba267c38c97.pdf
244	Request/Notice to Submit Request to Submit Motion to Order Transcript and Temporarily Classify (Dec 11 2025 Hearing), 12-17-25 (Not obtained)			
245	(Proposed) Order on Motion to Order Transcript and Temporarily Classify (Dec 11 2025 Hearing), 12-17-25 (Not obtained)			
246	Return of Electronic Notification, 12-17-25 (Not obtained)			
247	(Public Version) Motion to Disqualify, 12-17-25	12 17 25 Motion To Disqualify Utah Co Prosecutors Office Public Version	2.61MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/da482a5c-24b4-47e2-9faa-98ffd2e82098.pdf
248	Return of Electronic Notification, 12-17-25 (Not obtained)			
249	Order on Motion to Order Transcript and Temporarily Classify (Dec. 11, 2025 Hearing), 12-19-25 (Not obtained)			
250	Return of Electronic Notification, 12-19-25 (Not obtained)			
251	Order Classifying Motion to Disqualify as Private Pending Closure Hearing, 12-19-25 (Not obtained)			
252	Return of Electronic Notification, 12-19-25 (Not obtained)			
253	**** PRIVATE **** TRANSADMIN TRANSCRIPT for Hearing 12-11-2025, 12-19-25 (Not obtained)			
254	Return of Electronic Notification, 12-20-25 (Not obtained)			
255	Certificate of Service, 12-22-25 (Not obtained)			
256	Return of Electronic Notification, 12-22-25 (Not obtained)			
257	Request and Order for Electronic Media Coverage of Court Proceedings, 12-23-25	12 23 25 Request And Order For Electronic Media Coverage Of Court Proceedings	123KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3f25a9a6-ea7f-4ddd-aff3-b25f2f276ee6.pdf
258	Return of Electronic Notification, 12-24-25 (Not obtained)			
259	(Omitted from docket - no item #262)			
260	REVIEW/ORAL ARGUMENT, 12-24-25	12 24 25 Court Minutes On Hearing	712KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1a0f2948-be7f-476e-833b-f7b6b525f643.pdf
261	Return of Electronic Notification, 12-25-25 (Not obtained)			
262	(Previously omitted) Standing Decorum Order Effective December 23, 2025, 12-23-25 (Not obtained)			
263	Ruling and Order re Stipulated Motion to Classify Transcript and Audio as Private, 12-29-25	12 29 25 Ruling And Order Re Transcript Classification	406KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6ffe6f26-085b-400a-92f1-f10ad6100f98.pdf
264	Order Denying the Media’s Request to Intervene, and Standing Order for Rule 4-202.04 Notice of Motions for Classification, 12-29-25	12 29 25 Order Denying Media's Request To Intervene	233KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/07006b0e-93fc-447f-93a7-f9dd52396e68.pdf
265	Transcript of October 24, 2025 Hearing (Redacted Transcript), 12-29-25	12 29 25 Redacted Transcript Of 10 24 25 Hearing	1.01MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/fb25b527-dd12-4b5b-9194-33ee893ef346.pdf
266	Not Signed Order (Proposed) Granting Motion for Limited Intervention, 12-29-25 (Not obtained)			
267	Return of Electronic Notification, 12-29-25 (Not obtained)			
268	Return of Electronic Notification, 12-30-25 (Not obtained)			
269	(Omitted from docket - no item #272)			
270	(Omitted from docket - no item #273)			
271	Return of Electronic Notification, 1-1-26 (Not obtained)			
272	Request/Notice to Submit Request to Submit Motion for Overlength Memo (Opp to Mot to Disq), 1-5-26 (Not obtained)			
273	Motion for Leave to File Overlength Memorandum, 1-5-26 (Not obtained)			
274	Proposed Order Granting Leave to Fil Overlength Memo (Opp to Mot to Disq), 1-5-26 (Not obtained)			
275	Return of Electronic Notification, 1-5-26 (Not obtained)			
276	***PRIVATE*** Non Public - Opposition to Defendant’s Motion to Disqualify the Utah County Attorney’s Office, 1-5-26 (Not obtained)			
277	Return of Electronic Notification, 1-5-26 (Not obtained)			
278	***PRIVATE*** Non-Public Information Partial Reply to Opposition to Motion to Disqualify Request to Take Evidence, 1-8-26 (Not obtained)			
279	***PRIVATE*** Non-Public Information Acceptance of Service (All), 1-8-26 (Not obtained)			
