docket_seq	document_name_and_date	embed_title	size	pdf_url
402	Correction to Certificate of Service, 2-20-26 (Not obtained)			
403	(Previously omitted from docket) Appellate Court Document (Order), 1-2-26	1 2 26 Appellate Order Denying Interlocutory Review	54.5KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e1561109-a74b-4ab8-b52f-909b93c338b4.pdf
404	Return of Electronic Notification, 2-20-26 (Not obtained)			
405	Return of Electronic Notification, 2-21-26 (Not obtained)			
406	Order to Appear for Hearing, 2-23-26	2 23 26 Order To Appear For Hearing	128KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/9351ae05-a0af-450c-8b7d-a17c72237960.pdf
407	Order on Motion for Permission to File Overlength Reply in Support of Motion to Exclude, 2-23-26 (Not obtained)			
408	Return of Electronic Notification, 2-23-26 (Not obtained)			
409	Exhibit List - In Person Oral Argument, 2-23-26	2 23 26 Exhibit List	19.4KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/61123e99-45df-4864-8da8-43052de135e6.pdf
410	Oral Argument / Evidentiary Hearing, 2-23-26	2 23 26 Minutes Of Hearing	712KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c63cfbe8-d75a-4039-8a33-1394254f5963.pdf
411	Standing Decorum Order, Effective February 24, 2026, 2-23-26	2 23 26 Standing Decorum Order Effective 2 24 26	420KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e0ccb441-480f-49ab-8eb7-169236c7dd9a.pdf
412	Order on February 3, 2026 Hearing Transcript, 2-23-26	2 23 26 Order On Feb 3 2026 Hearing Transcript	199KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/32c06a8c-15f9-4ed8-a841-636df8a3c87c.pdf
413	Standing Order on Redacting and Filing Transcripts, 2-23-26	2 23 26 Standing Order On Transcripts	204KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ba670989-d96c-400a-93c1-2b4fa90beeb5.pdf
414	Rulings and Orders Granting News Media’s Motion to Amend Standing Order for Rule 4-202.04 Notice of Motions for Classification; Granting News Media’s Motion for Attorneys Eyes Only Access to Closure Motions; and Amended Standing Order, 2-23-26	2 23 26 Rulings And Orders Granting News Media's Motions	245KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/36ca3e73-f1ca-4100-9fd8-c4b814ddbe71.pdf
415	Return of Electronic Notification, 2-24-26 (Not obtained)			
416	Filed: TRANSADMIN TRANSCRIPT for Hearing 02-03-2026, 2-24-26 (Not obtained)			
417	Ruling and Order Denying Defendant’s Motion to Disqualify Utah County Attorney’s Office, 2-24-26	2 24 26 Order Denying Motion To Disqualify Prosecutors Office	452KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1aaa9b97-b203-47f7-9033-71228f43ed5f.pdf
418	Return of Electronic Notification, 2-25-26 (Not obtained)			
419	Request for Copy of Audio Records, 2-25-26			
420	(Previously omitted) Appellate Court Document - Notice of Decision, 1-5-26	1 5 26 Appellate Notice Of Decision	40.8KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/aad806d3-c6f2-4d04-bbc0-540353624552.pdf
421	Return of Electronic Notification, 2-26-26 (Not obtained)			
422	Defendant Tyler James Robinson s Motion to Close Portions of the April 17, 2026 Evidentiary Hearing, 2-26-26	2 26 26 Defendant's Motion To Close Portions Of Evidentiary Hearing	167KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c2978d77-8ba4-4251-953c-3ab81eae445b.pdf
423	Return of Electronic Notification, 2-26-26 (Not obtained)			
424	Fee Payment, 3-3-26 (Not obtained - admin entry only)			
425	Return of Electronic Notification, 3-6-26 (Not obtained)			
426	News Media Memorandum Opposing Motion to Classify Reply in Support of Motion to Exclude Cameras, 3-6-26	3 6 26 News Media's Opposition To Classify Reply To Motion To Exclude Cameras	166KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/068c3b71-4343-4a4b-afce-559562ab244e.pdf
427	Return of Electronic Notification, 3-6-26 (Not obtained)			
428	State’s Opposition to Defendant s Motion to Classify Reply in Support of Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom as Private, 3-6-26	3 6 26 State's Opposition To Motion To Classify Reply To Motion To Exclude	184KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b1fc36a6-65cf-4209-b67a-4c87fdcba738.pdf
429	Return of Electronic Notification, 3-6-26 (Not obtained)			
430	Order To Transport (3/13/2026), 3-9-26 (Not obtained)			
431	Return of Electronic Notification, 3-10-26 (Not obtained)			
432	Request and Order for Electronic Media Coverage of Court Proceedings, 3-10-26	3 10 26 Request For Electronic Media Coverage	155KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b8a890d8-2246-4d17-bc63-bf34f9cd9daf.pdf
433	News Media Motion to Classify Supplemental Memorandum Opposing Motion to Classify Defendants Motion Filed January 9, 2026, 3-10-26	3 10 26 News Media Motion To Classify Supp Opposing Memo To Motion To Classify	157KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b06e3ddd-be8c-4163-aaed-0fb3cd746c44.pdf
434	Request/Notice to Submit News Media Motion to Classify Supplemental Memorandum Opposing Motion to Classify Defendants Motion Filed January 9, 2026, 3-10-26 (Not obtained)			
435	(Proposed) Proposed Order Granting News Media Motion to Classify Supplemental Memorandum Opposing Motion to Classify Defendants Motion Filed January 9, 2026, 3-10-26 (Not obtained)			
436	Return of Electronic Notification, 3-10-26 (Not obtained)			
437	News Media Supplemental Opposition to Motion to Exclude Cameras, 3-10-26	3 10 26 News Media Supp Memo Opposing Motion To Exclude Cameras	2.24MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/539e8032-c1b6-4852-8043-ecfdbadef775.pdf
438	Return of Electronic Notification, 3-10-26 (Not obtained)			
439	Return of Electronic Notification, 3-11-26 (Not obtained)			
440	Request/Notice to Submit for Decision Defendant s Motion to Classify Defendant s Motion Filed January 9, 2026 as Private, 3-11-26 (Not obtained)			
441	Return of Electronic Notification, 3-11-26 (Not obtained)			
442	UOVC Restitution Notice Claim#1113572, 3-11-26	3 11 26 Notice Of Restitution Claim	49.7KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/a8244e4b-1642-4be9-a392-1fb8cdc69e14.pdf
443	Return of Electronic Notification, 3-11-26 (Not obtained)			
444	Request and Order for Electronic Media Coverage of Court Proceedings, 3-11-26	3 11 26 Request For Electronic Coverage Of Court Proceedings	49.7KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3ea0db71-7cf5-44f8-aee9-9b23c497e434.pdf
445	State’s Response to Defendant s Motion to Close Portions of the April 17, 2026 Evidentiary Hearing, 3-11-26	3 11 26 State's Response To Motion To Close Portions Of 4 17 26 Hearing	376KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b034227f-cb3a-4e3e-88f5-a4344b780e6d.pdf
446	Return of Electronic Notification, 3-11-26 (Not obtained)			
447	Return of Electronic Notification, 3-12-26 (Not obtained)			
448	**** PRIVATE **** Filed: News Media Memorandum Opposing Motion to Close Portions of the April 17, 2026 Evidentiary Hearing, 3-12-26 (Not obtained, not available)			
449	Return of Electronic Notification, 3-12-26 (Not obtained)			
450	(Previously omitted) New Media's Supplemental Memorandum Opposing Motion To Classify Defendant's Motion Filed January 9, 2026, 3-10-26	3 10 26 Supp Media Memo Re Classification Of 1 9 26 Motion	158KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e95c0d04-ce2d-4d86-be4f-7dabb5353be0.pdf
451	(Omitted from docket - no item #454)			
452	(Omitted from docket - no item #455)			
453	Proposed Order Granting News Media Motion to Classify Supplemental Memorandum Opposing Motion to Classify Defendants Motion Filed January 9, 2026, 3-12-26 (Not obtained)			
454	Return of Electronic Notification, 3-12-26 (Not obtained)			
455	Return of Electronic Notification, 3-13-26 (Not obtained)			
456	(Omitted from docket - No Item #459)			
457	Rulings And Orders On Classification And Closure Motions, 3-13-26			
458	Return of Electronic Notification, 3-14-26 (Not obtained)			
459	Notice of Expert (Dr. Ruva), 3-18-26	3 18 29 Notice Of Expert Dr	171KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/0def5484-b2a1-42c3-a23a-3d73c9b748fd.pdf
460	Return of Electronic Notification, 3-18-26 (Not obtained)			
461	(Omitted from docket - No Item #464)			
462	Return of Electronic Notification, 3-20-26 (Not obtained)			
463	Defendant Tyler James Robinson’s Motion to Vacate or Continue Preliminary Hearing with Addenda, 3-27-26	3 27 26 Defendant's Motion To Continue Preliminary Hearing	1.48MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/068f64e9-aae3-4e36-a358-9e542302e47d.pdf
464	Return of Electronic Notification, 3-27-26 (Not obtained)			
465	(Redacted) Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom, 3-30-26	3 30 26 Redacted Motion To Exclude Cameras	3.74MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/f43b97a3-1b00-4aac-bc1b-f6a377d72dc2.pdf
466	Return of Electronic Notification, 3-30-26 (Not obtained)			
467	Return of Electronic Notification, 3-31-26 (Not obtained)	26	166KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/68bca24b-3edf-4b5b-8405-d8f0110e425e.pdf
468	Notice of Subpoena Duces Tecum (Utah County Sheriff s Department), 4-1-26			
469	Return of Electronic Notification, 4-1-26 (Not obtained)			
470	Order to Transport, 4-3-26 (Not obtained)			
471	Request for Discovery Defendant Tyler James Robinson s Supplemental Request for Discovery, 4-3-26	4 3 26 Defendant's Supp Req For Discovery	171KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e31bfd92-5c97-4c40-9a11-0ea7718403f4.pdf
472	Return of Electronic Notification, 4-3-26 (Not obtained)			
473	Memorandum in Opposition to Defendant’s Motion to Vacate the May 18 Preliminary Hearing (dckt 466), 4-3-26	4 3 26 Opposition To Motion To Vacate Preliminary Hearing	274KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b5a56212-4efc-416e-9e6e-ff3585bb3912.pdf
474	Return of Electronic Notification, 4-3-26 (Not obtained)			
475	Return of Electronic Notification, 4-3-26 (Not obtained)			
476	Request/Notice to Submit Defendant Tyler James Robinson s Request to Submit Motion to Exclude Cameras, TV Cameras and Microphones from the Courtroom, Oppositions, and Reply (Hearing Scheduled), 4-5-26 (Not obtained)			
477	Return of Electronic Notification, 4-5-26 (Not obtained)			
478	Notice of Expert (Dr. Edelman), 4-6-26	4 6 26 Notice Of Expert Bryan Edelman	202KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/222013c8-a034-40a6-89eb-e8ff768a6d66.pdf
479	Amended Notice of Exert (Dr. Ruva), 4-6-26	4 6 26 Amended Notice Of Expert Dr	171KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ca2a36e6-8309-4091-89fe-94a8caf3cb95.pdf
480	Return of Electronic Notification, 4-6-26 (Not obtained)			
481	Return of Electronic Notification, 4-6-26 (Not obtained)			
482	Return of Electronic Notification, 4-7-26 (Not obtained)			
483	Notice of Appearance as Counsel of Record, 4-8-26	4 8 26 Notice Of Appearance	283KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/27e51a7e-f5ad-40e5-b250-4adb0a1787fa.pdf
484	Motion and Consent of Sponsoring Local Counsel for Pro Hac Vice Admission of Jeffrey A. Neiman, 4-8-26	4 8 26 Motion For Phv Admission Of Jeffrey A	798KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d1c10d14-36f0-4452-bc1e-056525cf5f47.pdf
485	Request/Notice to Submit for Decision Re Motion and Consent of Sponsoring Local Counsel for Pro Hac Vice Admission of Jeffrey A. Neiman, 4-8-26 (Not obtained)			
486	Order (Proposed) Granting Motion and Consent of Sponsoring Local Counsel for Pro Hac Vice Admission, 4-8-26 (Not obtained)			
487	Return of Electronic Notification, 4-8-26 (Not obtained)			
488	Filed: TRANSADMIN TRANSCRIPT for Hearing 03-13-2026, 4-10-26 (Not obtained)			
489	Filed: TRANSADMIN TRANSCRIPT for Hearing 02-24-2026, 4-10-26 (Not obtained)			
490	Defendant Tyler James Robinson’s Reply in Support of Motion to Vacate or Continue Preliminary Hearing, 4-10-26	4 10 26 Defendant's Reply In Support Of Continuing Preliminary Hearing	260KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1f0e47b9-1884-4af8-9218-839d96ab9d56.pdf
491	Return of Electronic Notification, 4-10-26 (Not obtained)			
492	State’s Objection to Defendant’s Supplemental Request for Discovery, 4-10-26	4 10 26 State's Opposition To Supp Req For Discovery	504KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/406a33f6-2973-474f-8dc4-242f80aa04f4.pdf
493	Return of Electronic Notification, 4-10-26 (Not obtained)			
494	Return of Electronic Notification, 4-10-26 (Not obtained)			
495	Corrected Notice of Subpoena Duces Tecum to Utah County Sheriff’s Office, 4-13-26 (Not obtained)			
496	Return of Electronic Notification, 4-13-26 (Not obtained)			
497	Request and Order for Electronic Media Coverage of Court Proceedings, 4-14-26	26	155KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/a26bcfa5-ca19-4b16-81f0-586be76591e5.pdf
498	Order Granting Motion and Consent of Sponsoring Local Counsel for Pro Hac Vice Admission, 4-14-26	26	751KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/79960456-1553-49f9-bf78-a9bbf806104a.pdf
499	Return of Electronic Notification, 4-14-26 (Not obtained)			
500	Return of Electronic Notification, 4-15-26 (Not obtained)			
501	Motion for OSC for Contempt and Motion to Compel, 4-16-26	26	3.43MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e9c04837-ad73-4c7d-8d0e-dcb1783a51ce.pdf
502	Declaration of Counsel in Support of OSC, 4-16-26	26	5.24MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/efaa1999-45fe-4327-ae89-cb045c016b41.pdf
503	Return of Electronic Notification, 4-16-26 (Not obtained)			
504	Return of Electronic Notification, 4-23-26 (Not obtained)			
505	UOVC Restitution Notice Claim #1113630, 4-27-26			
506	Return of Electronic Notification, 4-27-26 (Not obtained)			
507	Opposition to Motion for an Order to Show Cause for Alleged Contempt of Court and for an Order Compelling Discovery Related to the Alleged Contempt, 4-30-26	26	3.09MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4af4647b-3b50-4645-a030-f1cf4b1e87ee.pdf
508	Return of Electronic Notification, 4-30-26 (Not obtained)			
509	***Unavailable***Transcript of: Motion Hearing (4/17/26)			
510	Motion in Limine to Close Portions of Preliminary Hearing and Seal Particular Exhibits, 5-1-26	26	191KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/13d72bbe-31d6-4684-b2f7-be12a8f0fa3e.pdf
511	Return of Electronic Notification, 5/1/26 (Not obtained)			
512	Supplemental Notice re: State’s Evidence at Preliminary Hearing, 5-1-26	26	146KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/8c8162b3-6009-4ff7-bdc4-6118d303ea0e.pdf
513	Return of Electronic Notification, 5-1-26 (Not obtained)			
514	Return of Electronic Notification, 5-2-26 (Not obtained)			
515	**** PRIVATE **** Non-Public Information Defendant’s Status Report, 5-4-26 (Not obtained)			
516	Return of Electronic Notification, 5-6-26 (Not obtained)			
517	(Omitted from docket - No item #120)			
518	Order to Appear, 5-5-26	26	144KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/7706944c-d5bd-4b0c-8775-6e00d9bd70bd.pdf
519	Return of Electronic Notification, 5-6-26 (Not obtained)			
520	State’s Preliminary Hearing Witness and Exhibit List, 5-6-26	26	364KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/59f61407-2811-4027-90d5-a611f4d21098.pdf
521	Return of Electronic Notification, 5-6-26 (Not obtained)			
522	Defendant Tyler James Robinson’s Motion in Limine to Preclude the Utilization of Art. I sec. 12 and Rule 1102 to Sanction the Admissibility of Hearsay Evidence to Establish Probable Cause at the Prelim, 5-6-26	26	261KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/f3398ee6-907a-4c70-8563-c9aae27f59d1.pdf
523	Return of Electronic Notification, 5-6-26 (Not obtained)			
524	Reply to Opposition to Motion for an Order to Show Cause for Alleged Contempt of Court and for an Order Compelling Discovery Relating to the Alleged Contempt, 5-7-26	26	484KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c3538aaa-f964-4d55-af14-cde8e3f72dab.pdf
525	Return of Electronic Notification, 5/7/26 (Not obtained)			
526	Request/Notice to Submit Motion for an Order to Show Cause for Alleged Contempt of Court and for an Order Compelling Discovery Relating to the Alleged Contempt, 5-7-26 (Not obtained)			
527	Return of Electronic Notification, 5-7-26 (Not obtained)			
528	Objection to Defendant s Motion in Limine to Prelude the Utilization of Article I, Section 12 of the Utah Constitution and Rule 1102 of the Utah Rules of Evidence at the Preliminary Hearing, 5-8-26	26	197KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/f8cbe917-5fc2-4347-b852-599c60ae6e51.pdf
529	Objection to Defendant s Motion in Limine to Close Portions of the Preliminary Hearing and Seal Exhibits, 5-8-26	26	222KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/5a3c8d5d-d384-4355-a543-9b1fe0985ffc.pdf
530	Return of Electronic Notification, 5-8-26 (Not obtained)			
531	Ruling and Order on Defendant's Motion to Vacate or Continue Preliminary Hearing Pending Discovery and to Permit Constitutionally Adequate Time for Preparation, 5-8-26	26	1.74MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/7f76a6a0-57cd-49e1-9c8a-c6292b92bfb1.pdf
532	Ruling and Order on Defendant's Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom (Docket 305) and Standing Order on Electronic Media Coverage Requests, 5-8-26	26	3.84MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/eae0b483-1222-4fd2-b202-d40ed3c227d3.pdf
533	Certificate of Service: Notice to Attorney General, 5-8-26 (Not obtained)			
534	Return of Electronic Notification, 5-8-26 (Not obtained)			
535	Return of Electronic Notification, 5-8-26 (Not obtained)			
536	(Omitted from docket - no item # 539)			
537	Request and Order for Electronic Media Coverage of Court Proceedings, 5-11-26	26	155KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/caac9a0c-9f5b-4a2e-840c-12586e348fe6.pdf
538	Return of Electronic Notification, 5-12-26 (Not obtained)			
539	Ruling on the Record, 5-12-26	26	713KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/5731f157-5788-4f3e-aed2-3446937b8d0b.pdf
540	Return of Electronic Notification, 5-13-26 (Not obtained)			
541	Order to Transport, 5-14-26 (Not obtained)			
542	Return of Electronic Notification, 5-16-26 (Not obtained)			
543	Opposition to Defendant’s Motion to Close Portions of Preliminary Hearing and Seal Exhibits, 5-15-26	26	231KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/bedd7084-99b7-43c4-af6e-4c8ecc932ad0.pdf
544	Return of Electronic Notification, 5-15-26 (Not obtained)			
545	State’s Response to Tyler James Robinson’s Motion in Limine, 5-15-26	26	302KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/680b7731-7d12-4eed-bf10-1a52222e511b.pdf
546	Return of Electronic Notification, 5-15-26 (Not obtained)			
547	Corrected State’s Response to Tyler James Robinson’s Motion in Limine, 5-15-26	26	302KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/bc7b6aad-2192-4a27-ba5d-4679e995a260.pdf
548	Return of Electronic Notification, 5-15-26 (Not obtained)			
549	Reply in Support of Motion to Close/Seal Portions of Preliminary Hearing, 5-18-26	26	228KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/406202df-cf86-426e-b226-3eb36fc69496.pdf
550	Return of Electronic Notification, 5-18-26 (Not obtained)			
551	Return of Electronic Notification, 5-20-26 (Not obtained)			
552	Request and Order for Electronic Media Coverage of Court Proceedings, 5-19-26	26	157KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e9c6a582-e908-4530-aa00-77bc1847a6af.pdf
553	Return of Electronic Notification, 5-21-26 (Not obtained)			
554	Opposition to Defendant’s Motion to Preclude Hearsay at Preliminary Hearing, 5-27-26	26	296KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b472b5cf-d023-4c81-8803-35045f2790f7.pdf
555	Return of Electronic Notification, 5-27-26 (Not obtained)			
556	Notice of Filing: Petition for Permission to Appeal from Interlocutory Order, 5-29-26	26	143KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ecafa2e9-6b8e-4401-9b1e-5953aba03a40.pdf
557	Return of Electronic Notification, 5-29-26 (Not obtained)			
558	Defendant Tyler James Robinson's Motion to Stay Pending Interlocutory Review, 5-31-26	26	437KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/001dd14c-b3d3-4834-af3b-20974e81ffa7.pdf
559	Return of Electronic Notification, 5-31-26 (Not obtained)			
560	Ruling and Order Denying Defendant's Motion in Limine to Close Portions of the Preliminary Hearing Testimony and Seal Preliminary Hearing Exhibits, 6-1-26	26	361KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/9700aa34-0e22-4710-9d6b-b6ee9740b372.pdf
561	Ruling and Order Granting Defendant's Motion for Order to Show Cause (Docket 504) and Denying Request to Compel Discovery, 6-1-26	26	262KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/984fb5c4-62dc-45c3-9baa-c7148a762768.pdf
562	(Omitted from docket - No item #565)			
563	(Omitted from docket - No item #566)			
564	Return of Electronic Notification, 6-2-26 (Not obtained)			
565	Motion for Permission to File Over-Length Reply in Support of Motion in Limine (re Hearsay), 6-3-26 (Not obtained)			
566	Request/Notice to Submit Request to Submit Motion for Overlength Reply in Support of Motion in Limine (re Hearsay), 6-3-26 (Not obtained)			
567	Reply in Support of Defendant’s Motion in Limine to Preclude (re Hearsay), 6-3-26	26	436KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/5492e14b-cb8e-40e8-8d3e-c2b5217de5fe.pdf
568	(Proposed) Order on Motion for Overlength Reply in Support of Motion in Limine (re Hearsay), 6-3-26			
569	Return of Electronic Notification, 6-3-26 (Not obtained)			
570	Order on Motion for Overlength Reply in Support of Motion in Limine (re Hearsay), 6-5-26 (Not obtained)			
571	Return of Electronic Notification, 6-5-26 (Not obtained)			
572	Opposition to Motion to Stay Pending Interlocutory Review, 6-6-26	26	233KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4f46316a-b6ee-4fbf-84ed-72a42abe8012.pdf
573	Return of Electronic Notification, 6-6-26 (Not obtained)			
574	Order to Transport, 6-8-26 (Not obtained)			
575	Return of Electronic Notification, 6-9-26 (Not obtained)			
576	Reply in Support of Defendant Tyler James Robinson’s Motion to Stay Pending Interlocutory Review (Dkt 561), 6-9-26	26	315KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1164ecbe-cfcb-454d-ab4a-4c3a306b3a57.pdf
577	Return of Electronic Notification, 6-9-26 (Not obtained)			
578	Request/Notice to Submit Defendant Tyler James Robinson’s Motion to Stay Pending Interlocutory Review, 6-9-26 (Not obtained)			
579	Return of Electronic Notification, 6-9-26 (Not obtained)			
580	Acceptance of Service (J. Gray), 6-11-26 (Not obtained)			
581	Acceptance of Service (C. Ballard - Witness), 6-11-26 (Not obtained)			
582	Acceptance of Service (C Ballard - SDT), 6-11-26 (Not obtained)			
583	Return of Electronic Notification, 6-11-26 (Not obtained)			
584	Request/Notice to Submit Motion in Limine to Preclude Hearsay, 6-11-26 (Not obtained)			
585	Return of Electronic Notification, 6-11-26 (Not obtained)			
586	UOVC Restitution Notice Claim #1113637, 6-11-26			
587	Return of Electronic Notification, 6-11-26 (Not obtained)			
588	(Omitted - No item #591)			
589	(Omitted - No item #592)			
590	Return of Electronic Notification, 6-11-26 (Not obtained)			
591	Return of Electronic Notification, 6-12-26 (Not obtained)			
592	Utah Attorney General’s Notice of Intent Not to Respond to Constitutional Challenge, 6-12-26	26	106KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/f06bcb6c-62ca-4682-b592-5da68e58398e.pdf
593	Return of Electronic Notification, 6-12-26 (Not obtained)			
594	Return of Electronic Notification, 6-12-26 (Not obtained)			
595	(Omitted from docket - no item #302)			
596	Audio Request Media/MP3 Request for Copy of Audio Recording, 6-16-26 (Not obtained)			
597	Return of Electronic Notification, 6-16-26 (Not obtained)			
598	Opposition to Application for Certificate of Attendance of Out-of-State Witness, 6-16-26	26	207KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c9c3290f-7e98-413d-9d67-c4e99b8bf480.pdf
599	Return of Electronic Notification, 6-16-26 (Not obtained)			
600	Order to Appear, 6-17-26	26	138KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/103496d8-260f-4fba-8ba9-be2bf70a5cbf.pdf
601	Objection to Defendant s Request to Remove the Death Penalty as a Sanction in the Event the Court Grants the Contempt Motion, 6-17-26	26	346KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/5029bac1-305d-49de-9846-a0dcd9deb8ff.pdf
602	Return of Electronic Notification, 6-17-26 (Not obtained)			
603	Return of Electronic Notification, 6-18-26 (Not obtained)			
604	Request and Order for Electronic Media Coverage of Court Proceedings, 6-18-26	26	158KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d8c2170e-743c-4e1e-befd-a418f7b40bb6.pdf
605	Request and Order for Electronic Media Coverage of Court Proceedings - Preliminary Hearing, 6-18-26	26	157KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/138de2ff-cfc4-4770-9df8-00e99d5f1f9d.pdf
606	Reply in Support of Application for Certificate for Attendance of Out-of-State Witness, 6-18-26	26	183KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/a4606e96-56ea-401f-811e-6a8f24a6db2b.pdf
607	Request/Notice to Submit Request to Submit Application for Certificate, 6-18-26 (Not obtained)			
608	Return of Electronic Notification, 6-18-26 (Not obtained)			
609	Opposition to State’s Uninvited Objection to Defendant s Request to Remove the Death Penalty as a Sanction in the Event the Court Grants the Contempt Motion, 6-18-26	26	207KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/81342c31-918e-4a17-92ef-fe92e4591b05.pdf
610	Return of Electronic Notification, 6-18-26 (Not obtained)			
611	Return of Electronic Notification, 6-19-26 (Not obtained)			
612	Defendant Tyler James Robinson s Second Supplemental Request for Discovery, 6-19-26	26	170KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/8219c16d-ee65-4ec6-a44b-c5be5b8fee27.pdf
613	Return of Electronic Notification, 6-19-26 (Not obtained)			
614	(Omitted from Docket - no item #621)			
615	Return of Electronic Notification, 6-19-26 (Not obtained)			
616	Opposition to Defendant Tyler James Robinson’s Opposition to Electronic Media Request for the Preliminary Hearing, 6-21-26	26	164KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/2f81f4c9-1fe8-45fc-b558-66d5289ca04d.pdf
617	Return of Electronic Notification, 6-21-26 (Not obtained)			
618	Order Regarding Defendant's Application for Certificate for Attendance of Out-of-State Witness and State's Motion to Quash Subpoena, 6-22-26	26	734KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6a2ad9e9-f51c-49e7-9f4d-e415319b953d.pdf
619	Notice of Filing News Media Response to Defendant’s Petition for Permission to Appeal Interlocutory Order, 6-22-26	26	963KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/cce44120-76d5-486f-a44b-c0f831291f71.pdf
620	Return of Electronic Notification, 6-22-26 (Not obtained)			
621	Return of Electronic Notification, 6-23-26 (Not obtained)			
622	Request for Copy of Audio Record (Completed), 6-23-26 (Not obtained)			
