filename,bytes,docket_label,source_url
2025-09-28_dkt_Supplemental_Exhibit_to_Motion_and_Consent_of_Sponsoring_Local_Counsel_for_Pro_Hac_Vice_Ad_01.pdf,303744,"Supplemental Exhibit to Motion and Consent of Sponsoring Local Counsel for Pro Hac Vice Admission of Out of State Counsel Michael N. Burt, 9-28-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/8e18e9dd-966e-4b4b-ac42-292e1b747f53.pdf
2025-09-28_dkt_Supplemental_Exhibit_to_Motion_and_Consent_of_Sponsoring_Local_Counsel_for_Pro_Hac_Vice_Ad_02.pdf,209571,"Supplemental Exhibit to Motion and Consent of Sponsoring Local Counsel for Pro Hac Vice Admission of Out of State Counsel Richard G. Novak, 9-28-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/cf06cc47-adf9-412f-ae7a-88c300c8143b.pdf
2025-09-28_dkt_Supplemental_Exhibit_to_Rule_8_Declaration_of_Michael_N_Burt.pdf,295268,"Supplemental Exhibit to Rule 8 Declaration of Michael N. Burt, 9-28-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/1bc8f49b-a8cc-4585-a741-c9a0bf19ae3e.pdf
2025-09-28_dkt_Supplemental_Exhibit_to_Rule_8_Declaration_of_Richard_G_Novak.pdf,318219,"Supplemental Exhibit to Rule 8 Declaration of Richard G. Novak, 9-28-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/3394a3a2-6a29-47f4-b6c9-795eb3675e44.pdf
2025-09-29_dkt_Request_and_Order_for_Electronic_Media_Coverage_of_Court_Proceedings.pdf,122011,"Request and Order for Electronic Media Coverage of Court Proceedings, 9-29-25 <div class=""",https://andreaburkhart.substack.com/api/v1/file/a9ba24be-f672-42d5-afd9-62a1b4a2dc7d.pdf
2025-09-30_dkt_Appearance_of_Counsel_Notice_of_Limited_Appearance_of_Counsel_01.pdf,146974,"Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/64ea8c52-3263-4546-bb20-0b8e84ddca12.pdf
2025-09-30_dkt_Appearance_of_Counsel_Notice_of_Limited_Appearance_of_Counsel_02.pdf,147485,"Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/74a72add-92b7-47e6-a32e-4649a5992d2b.pdf
2025-09-30_dkt_Appearance_of_Counsel_Notice_of_Limited_Appearance_of_Counsel_03.pdf,147938,"Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/451541a4-d71e-43df-b2b9-7322bb688209.pdf
2025-09-30_dkt_Appearance_of_Counsel_Notice_of_Limited_Appearance_of_Counsel_04.pdf,146466,"Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/4ff5ca32-d4fb-433b-a2f2-6dce59a84a6c.pdf
2025-09-30_dkt_Appearance_of_Counsel_Notice_of_Limited_Appearance_of_Counsel_05.pdf,147438,"Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/2f39b1cf-e5b8-49d5-9fc2-bffd1529fc3b.pdf
2025-09-30_dkt_Request_for_Discovery.pdf,272479,"Request for Discovery, 9-30-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/26bc3b24-7536-403d-9a99-f4c48cf2a373.pdf
2025-10-01_dkt_Telephonic_Conference_01.pdf,726584,"Telephonic Conference, 10-1-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/b4cf5290-71e5-4491-be01-45a5a8422e18.pdf
2025-10-01_dkt_Telephonic_Conference_02.pdf,726450,"Telephonic Conference, 10-1-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/7036d3e3-5ebc-480c-ab8d-d74ae1e2a454.pdf
2025-10-06_dkt_Request_for_Audio_Recording.pdf,101426,"Request for Audio Recording, 10-6-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/bcaecd49-8a97-44b1-ad9f-89299e143a35.pdf
