tail,utc_date,arrive_utc_date,gap_days,origin,origin_name,origin_km_from_field,depart_after_utc,dest,dest_name,dest_km_from_field,arrive_by_utc,archives,ledger_verdict,arrive_day_verdict,unobserved_days_inside_leg,recovered_from_backup_only,crosses_utc_midnight,confidence,near_sourced_event
N59906,2022-06-01,2023-06-01,365,KWVI,Watsonville Municipal Airport,0.38,2022-06-01T00:00:00Z,KOSH,Wittman Regional Airport,0.61,2023-06-01T13:20:34.100000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,364,yes,yes,GAP -- aircraft unobserved for 364 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N888KG,2022-06-01,2022-06-01,0,KDAL,Dallas Love Field,1.57,2022-06-01T00:03:51.500000Z,KPBI,President Donald J. Trump International Airport,1.02,2022-06-01T02:21:27.900000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,"origin|Grapevine,TX|2022-06-02|Charlie|13.8"
N888KG,2022-06-01,2022-07-01,30,KPBI,President Donald J. Trump International Airport,1.02,2022-06-01T02:24:24.900000Z,KAPA,Centennial Airport,0.44,2022-07-01T02:37:35.700000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,29,yes,yes,GAP -- aircraft unobserved for 29 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
SU-BTT,2022-06-01,2022-09-01,92,KILG,Wilmington Airport,0.69,2022-06-01T00:01:25.400000Z,KICT,Wichita Dwight D. Eisenhower National Airport,0.79,2022-09-01T16:33:26.990000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,91,yes,yes,GAP -- aircraft unobserved for 91 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N560TW,2022-07-01,2022-07-01,0,KSDL,Scottsdale Airport,0.19,2022-07-01T00:31:06.900000Z,KDAL,Dallas Love Field,0.65,2022-07-01T02:44:09.800000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N560TW,2022-07-01,2022-11-01,123,KDAL,Dallas Love Field,0.65,2022-07-01T03:14:48Z,KSDL,Scottsdale Airport,0.93,2022-11-01T20:18:38.900000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,122,yes,yes,GAP -- aircraft unobserved for 122 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N888KG,2022-07-01,2022-12-01,153,KAPA,Centennial Airport,0.44,2022-07-01T02:39:53.100000Z,KPVU,Provo Municipal Airport,0.22,2022-12-01T00:00:05.140000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,152,yes,yes,GAP -- aircraft unobserved for 152 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
T7-ELL,2022-08-01,2022-08-01,0,KLAX,Los Angeles International Airport,2.01,2022-08-01T00:14:08.500000Z,KTUS,Tucson International Airport,0.69,2022-08-01T01:36:39.570000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
T7-ELL,2022-08-01,2022-09-01,31,KTUS,Tucson International Airport,0.69,2022-08-01T01:41:41.010000Z,KLAX,Los Angeles International Airport,2.07,2022-09-01T02:08:02.330000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,30,yes,yes,GAP -- aircraft unobserved for 30 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
SU-BND,2022-09-01,2023-07-22,324,LFPB,Paris-Le Bourget International Airport,1.65,2022-09-01T09:37:00.230000Z,HEAL,El Alamein International Airport,0.22,2023-07-22T04:52:07.310000Z,adsb-lol|adsbexchange-samples|airplanes-live,HELD_BY_ADSBEXCHANGE-SAMPLES,BOTH_HAVE_IT,323,yes,yes,GAP -- aircraft unobserved for 323 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
SU-BTT,2022-09-01,2023-03-02,182,KICT,Wichita Dwight D. Eisenhower National Airport,0.79,2022-09-01T16:59:21.900000Z,KILG,Wilmington Airport,0.71,2023-03-02T15:34:06.270000Z,adsb-lol|adsbexchange-samples|airplanes-live,HELD_BY_ADSBEXCHANGE-SAMPLES,BOTH_HAVE_IT,181,yes,yes,GAP -- aircraft unobserved for 181 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
T7-ELL,2022-09-01,2022-09-01,0,KLAX,Los Angeles International Airport,2.07,2022-09-01T02:16:34.620000Z,EGLF,Farnborough Airport,0.49,2022-09-01T12:19:33.220000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
T7-ELL,2022-09-01,2023-02-24,176,EGLF,Farnborough Airport,0.49,2022-09-01T12:24:19.360000Z,EGKB,London Biggin Hill Airport,0.86,2023-02-24T11:55:02.130000Z,adsb-lol|adsbexchange-samples|airplanes-live,HELD_BY_ADSBEXCHANGE-SAMPLES,BOTH_HAVE_IT,175,yes,yes,GAP -- aircraft unobserved for 175 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N102DZ,2022-11-01,2023-03-01,120,KBUR,Hollywood Burbank/Bob Hope Airport,0.32,2022-11-01T23:09:22.560000Z,KPDK,DeKalb Peachtree Airport,0.41,2023-03-01T16:46:27.930000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,BOTH_HAVE_IT,119,yes,yes,GAP -- aircraft unobserved for 119 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N560TW,2022-11-01,2022-11-01,0,KSDL,Scottsdale Airport,0.93,2022-11-01T20:24:29.210000Z,KMRY,Monterey Regional Airport,0.81,2022-11-01T22:02:54.900000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N560TW,2022-11-01,2023-04-23,173,KMRY,Monterey Regional Airport,0.81,2022-11-01T22:34:53.780000Z,KSDL,Scottsdale Airport,0.27,2023-04-23T21:25:13.130000Z,adsbexchange-samples|airplanes-live,HELD_BY_ADSBEXCHANGE-SAMPLES,BOTH_HAVE_IT,172,yes,yes,GAP -- aircraft unobserved for 172 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
