tail,utc_date,arrive_utc_date,gap_days,origin,origin_name,origin_km_from_field,depart_after_utc,dest,dest_name,dest_km_from_field,arrive_by_utc,archives,ledger_verdict,arrive_day_verdict,unobserved_days_inside_leg,recovered_from_backup_only,crosses_utc_midnight,confidence,near_sourced_event
N872RA,2024-03-07,2024-03-08,1,KSAN,San Diego International Airport,1.26,2024-03-07T21:09:28.450000Z,KSDL,Scottsdale Airport,0.54,2024-03-08T01:50:24.260000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,
N102DZ,2024-03-08,2024-03-09,1,KTEB,Teterboro Airport,1.03,2024-03-08T23:17:25.180000Z,KVNY,Van Nuys Airport,0.43,2024-03-09T04:33:46.700000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,
N582MM,2024-03-08,2024-03-08,0,KPHX,Phoenix Sky Harbor International Airport,0.73,2024-03-08T00:45:55.100000Z,KSDL,Scottsdale Airport,0.11,2024-03-08T00:06:49.140000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N582MM,2024-03-08,2024-03-14,6,KSDL,Scottsdale Airport,0.11,2024-03-08T00:46:02.150000Z,KPHX,Phoenix Sky Harbor International Airport,1.93,2024-03-14T14:52:56.740000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,5,no,yes,GAP -- aircraft unobserved for 5 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N872RA,2024-03-08,2024-03-14,6,KSDL,Scottsdale Airport,0.24,2024-03-08T02:57:53.900000Z,KSBA,Santa Barbara Municipal Airport,0.48,2024-03-14T23:04:08.180000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,5,no,yes,GAP -- aircraft unobserved for 5 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-LUFTHANSA,2024-03-09,2024-03-09,0,EDDM,Munich Airport,2.92,2024-03-09T14:52:31.310000Z,LBSF,Sofia Airport,0.29,2024-03-09T16:15:33.410000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-LUFTHANSA,2024-03-09,2024-03-09,0,LBSF,Sofia Airport,1.48,2024-03-09T17:16:30.440000Z,EHAM,Amsterdam Airport Schiphol,1.72,2024-03-09T21:16:32.490000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-09,2024-03-11,2,EGSS,London Stansted Airport,0.56,2024-03-09T18:46:14.350000Z,LOWW,Vienna International Airport,0.71,2024-03-11T06:42:28.240000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,1,no,yes,GAP -- aircraft unobserved for 1 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N102DZ,2024-03-09,2024-03-18,9,KVNY,Van Nuys Airport,0.43,2024-03-09T05:09:12.720000Z,KTRM,Jacqueline Cochran Regional Airport,1.18,2024-03-18T20:06:41.960000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,8,no,yes,GAP -- aircraft unobserved for 8 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-LUFTHANSA,2024-03-10,2024-03-10,0,EHAM,Amsterdam Airport Schiphol,1.25,2024-03-10T08:13:05.950000Z,LOWW,Vienna International Airport,0.8,2024-03-10T11:12:13.060000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-LUFTHANSA,2024-03-10,2024-03-10,0,LOWW,Vienna International Airport,0.97,2024-03-10T12:18:18.160000Z,EHAM,Amsterdam Airport Schiphol,0.77,2024-03-10T15:35:14.120000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-LUFTHANSA,2024-03-10,2024-03-15,5,EHAM,Amsterdam Airport Schiphol,0.98,2024-03-10T16:38:30.950000Z,EDDH,Hamburg Helmut Schmidt Airport,0.98,2024-03-15T07:47:34.690000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,4,no,yes,GAP -- aircraft unobserved for 4 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-RYANAIR,2024-03-11,2024-03-17,6,LOWW,Vienna International Airport,0.32,2024-03-11T07:36:21.030000Z,EIDW,Dublin Airport,1.1,2024-03-17T06:25:39.240000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,5,no,yes,GAP -- aircraft unobserved for 5 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N582MM,2024-03-14,2024-03-14,0,KPHX,Phoenix Sky Harbor International Airport,1.93,2024-03-14T16:33:40.130000Z,KSDL,Scottsdale Airport,1.22,2024-03-14T18:02:18.260000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N582MM,2024-03-14,2024-03-14,0,KSDL,Scottsdale Airport,1.22,2024-03-14T18:02:28.240000Z,KSNA,John Wayne Orange County International Airport,0.25,2024-03-14T19:11:34.940000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,"dest|Fullerton,CA|2024-03-14|Charlie|14.8"
N582MM,2024-03-14,2024-03-15,1,KSNA,John Wayne Orange County International Airport,0.25,2024-03-14T19:12:45.950000Z,KSDL,Scottsdale Airport,0.71,2024-03-15T04:42:56.270000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,"origin|Fullerton,CA|2024-03-14|Charlie|14.8"
CONTROL-LUFTHANSA,2024-03-15,2024-03-15,0,EDDH,Hamburg Helmut Schmidt Airport,0.98,2024-03-15T07:50:19.480000Z,EGLL,London Heathrow Airport,0.61,2024-03-15T19:15:55.460000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-LUFTHANSA,2024-03-15,2024-03-18,3,EGLL,London Heathrow Airport,1.95,2024-03-15T20:29:40.210000Z,EGCC,Manchester Airport,0.87,2024-03-18T16:49:27.250000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,2,no,yes,GAP -- aircraft unobserved for 2 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N582MM,2024-03-15,2024-03-17,2,KSDL,Scottsdale Airport,0.71,2024-03-15T05:33:54.860000Z,KPHX,Phoenix Sky Harbor International Airport,1.85,2024-03-17T12:58:04.400000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,1,no,yes,GAP -- aircraft unobserved for 1 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N872RA,2024-03-15,2024-03-15,0,KSBA,Santa Barbara Municipal Airport,0.52,2024-03-15T01:15:06.400000Z,KSDL,Scottsdale Airport,0.44,2024-03-15T14:55:02.920000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N872RA,2024-03-15,2024-03-16,1,KSDL,Scottsdale Airport,0.55,2024-03-15T16:40:15.840000Z,KSNA,John Wayne Orange County International Airport,0.2,2024-03-16T19:11:14.880000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,
CONTROL-RYANAIR,2024-03-17,2024-03-17,0,EIDW,Dublin Airport,1.1,2024-03-17T06:25:39.240000Z,EGBB,Birmingham Airport,0.57,2024-03-17T07:48:35.030000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-17,2024-03-17,0,EGBB,Birmingham Airport,0.57,2024-03-17T07:54:13.130000Z,EIDW,Dublin Airport,1.14,2024-03-17T08:40:57.550000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-17,2024-03-17,0,EIDW,Dublin Airport,1.14,2024-03-17T08:41:17.850000Z,LFBO,Toulouse-Blagnac Airport,0.59,2024-03-17T11:35:09.830000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-17,2024-03-17,0,LFBO,Toulouse-Blagnac Airport,0.59,2024-03-17T12:22:40.370000Z,EIDW,Dublin Airport,1.17,2024-03-17T14:28:14.030000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N582MM,2024-03-17,2024-03-17,0,KPHX,Phoenix Sky Harbor International Airport,1.85,2024-03-17T13:43:47.060000Z,KAPA,Centennial Airport,0.45,2024-03-17T15:03:13.940000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N582MM,2024-03-17,2024-03-17,0,KAPA,Centennial Airport,1.47,2024-03-17T16:11:48.650000Z,KVNY,Van Nuys Airport,0.92,2024-03-17T18:04:48.960000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N582MM,2024-03-17,2024-03-17,0,KVNY,Van Nuys Airport,0.33,2024-03-17T19:26:17.670000Z,KSDL,Scottsdale Airport,0.73,2024-03-17T20:24:40.900000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N582MM,2024-03-17,2024-03-17,0,KSDL,Scottsdale Airport,0.72,2024-03-17T22:31:25.130000Z,KSNA,John Wayne Orange County International Airport,0.41,2024-03-17T23:26:25.010000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-LUFTHANSA,2024-03-18,2024-03-23,5,EGCC,Manchester Airport,0.87,2024-03-18T17:49:08.660000Z,EHAM,Amsterdam Airport Schiphol,0.82,2024-03-23T12:11:08.810000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,4,no,yes,GAP -- aircraft unobserved for 4 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-RYANAIR,2024-03-18,2024-03-18,0,EIDW,Dublin Airport,0.59,2024-03-18T06:04:42.420000Z,LIPQ,Trieste Airport,1.07,2024-03-18T08:17:52.700000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-18,2024-03-18,0,LIPQ,Trieste Airport,1.49,2024-03-18T09:13:03.710000Z,EGGP,Liverpool John Lennon Airport,0.56,2024-03-18T13:23:21.200000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-18,2024-03-18,0,EGGP,Liverpool John Lennon Airport,0.56,2024-03-18T14:59:32.970000Z,EIDW,Dublin Airport,0.6,2024-03-18T14:52:39.220000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-18,2024-03-18,0,EIDW,Dublin Airport,0.6,2024-03-18T14:59:32.960000Z,EGHQ,Cornwall Airport Newquay,0.89,2024-03-18T17:07:04.680000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-18,2024-03-18,0,EGHQ,Cornwall Airport Newquay,0.89,2024-03-18T19:27:03.310000Z,EIDW,Dublin Airport,1.15,2024-03-18T19:20:21.630000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-18,2024-03-18,0,EIDW,Dublin Airport,0.77,2024-03-18T20:20:38.110000Z,EGGP,Liverpool John Lennon Airport,0.79,2024-03-18T20:14:17.350000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-18,2024-03-18,0,EGGP,Liverpool John Lennon Airport,0.47,2024-03-18T22:28:59.310000Z,EIDW,Dublin Airport,0.57,2024-03-18T22:23:10.550000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N102DZ,2024-03-18,2024-03-21,3,KTRM,Jacqueline Cochran Regional Airport,1.18,2024-03-18T20:06:55.370000Z,KTEB,Teterboro Airport,0.89,2024-03-21T05:53:43.440000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,2,no,yes,GAP -- aircraft unobserved for 2 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N560TW,2024-03-18,2024-03-18,0,KSDL,Scottsdale Airport,0.17,2024-03-18T15:01:16.030000Z,KLAX,Los Angeles International Airport,1.21,2024-03-18T15:58:52.720000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,"origin|Phoenix,AZ|2024-03-19|Charlie|11.0"
N560TW,2024-03-18,2024-03-18,0,KLAX,Los Angeles International Airport,1.21,2024-03-18T15:58:54.010000Z,KSDL,Scottsdale Airport,0.73,2024-03-18T17:40:40.510000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,"dest|Phoenix,AZ|2024-03-19|Charlie|10.5"
N582MM,2024-03-18,2024-03-19,1,KSNA,John Wayne Orange County International Airport,0.6,2024-03-18T22:29:35.960000Z,KSAN,San Diego International Airport,1.1,2024-03-19T02:53:22.120000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,"dest|San Diego,CA|2024-03-18|Charlie|6.2"
N872RA,2024-03-18,2024-03-22,4,KSNA,John Wayne Orange County International Airport,0.89,2024-03-18T20:39:13.720000Z,KUDD,Bermuda Dunes Airport,0.25,2024-03-22T13:56:24.240000Z,airplanes-live,ONLY_ON_AIRPLANES_LIVE,BOTH_HAVE_IT,3,yes,yes,GAP -- aircraft unobserved for 3 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N582MM,2024-03-19,2024-03-19,0,KSAN,San Diego International Airport,0.97,2024-03-19T04:03:53.990000Z,KSDL,Scottsdale Airport,0.08,2024-03-19T04:59:37.620000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,"origin|San Diego,CA|2024-03-18|Charlie|6.2"
N582MM,2024-03-19,2024-03-19,0,KSDL,Scottsdale Airport,0.08,2024-03-19T05:30:38.900000Z,KAGC,Allegheny County Airport,0.44,2024-03-19T20:46:37.110000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,"dest|Pittsburgh,PA|2024-03-19|TPUSA|6.5"
N582MM,2024-03-19,2024-03-21,2,KAGC,Allegheny County Airport,0.44,2024-03-19T21:10:25.790000Z,KSDL,Scottsdale Airport,0.37,2024-03-21T01:20:43.360000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,1,no,yes,GAP -- aircraft unobserved for 1 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,"origin|Pittsburgh,PA|2024-03-19|TPUSA|6.5"
CONTROL-RYANAIR,2024-03-21,2024-03-21,0,EIDW,Dublin Airport,0.83,2024-03-21T06:49:16.670000Z,LEVC,Valencia Airport,0.2,2024-03-21T09:10:45.780000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-21,2024-03-21,0,LEVC,Valencia Airport,0.2,2024-03-21T10:02:54.200000Z,EBBR,Brussels Airport,0.87,2024-03-21T19:46:03.630000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-21,2024-03-21,0,EBBR,Brussels Airport,0.87,2024-03-21T20:46:25.130000Z,EIDW,Dublin Airport,1.16,2024-03-21T22:04:07.230000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N102DZ,2024-03-21,2024-03-23,2,KTEB,Teterboro Airport,0.89,2024-03-21T05:55:17.760000Z,KVNY,Van Nuys Airport,0.31,2024-03-23T04:55:28.390000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,1,no,yes,GAP -- aircraft unobserved for 1 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N582MM,2024-03-21,2024-03-21,0,KSDL,Scottsdale Airport,1.14,2024-03-21T18:24:31.480000Z,KLAS,Harry Reid International Airport,1.54,2024-03-21T19:10:23.910000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,"dest|Las Vegas,NV|2024-03-21|Charlie|12.0"
N582MM,2024-03-21,2024-03-22,1,KLAS,Harry Reid International Airport,1.54,2024-03-21T19:18:55.800000Z,KSDL,Scottsdale Airport,0.71,2024-03-22T03:42:49.110000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,ONLY_ON_AIRPLANES_LIVE,0,yes,yes,overnight,"origin|Las Vegas,NV|2024-03-21|Charlie|12.0"
CONTROL-RYANAIR,2024-03-22,2024-03-22,0,EIDW,Dublin Airport,0.69,2024-03-22T16:13:04.930000Z,EHEH,Eindhoven Airport,1.03,2024-03-22T17:28:23.750000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-22,2024-03-23,1,EHEH,Eindhoven Airport,1.03,2024-03-22T18:17:46.600000Z,EGBB,Birmingham Airport,0.56,2024-03-23T07:52:58.050000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,
N582MM,2024-03-22,2024-03-23,1,KSDL,Scottsdale Airport,0.71,2024-03-22T05:54:00.420000Z,KPHX,Phoenix Sky Harbor International Airport,1.81,2024-03-23T09:09:13.680000Z,adsb-lol|airplanes-live,ONLY_ON_AIRPLANES_LIVE,BOTH_HAVE_IT,0,yes,yes,overnight,
N872RA,2024-03-22,2024-03-22,0,KUDD,Bermuda Dunes Airport,0.25,2024-03-22T14:36:32.840000Z,KSFO,San Francisco International Airport,0.74,2024-03-22T17:17:38.100000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N872RA,2024-03-22,2024-03-22,0,KSFO,San Francisco International Airport,1.9,2024-03-22T20:40:12.900000Z,KSNA,John Wayne Orange County International Airport,0.53,2024-03-22T21:43:59.070000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
T7-ELL,2024-03-22,2024-03-26,4,LOWW,Vienna International Airport,2.72,2024-03-22T13:14:04.570000Z,LIRA,Ciampino–G. B. Pastine International Airport,0.18,2024-03-26T14:05:14.010000Z,adsb-lol|airplanes-live,ONLY_ON_AIRPLANES_LIVE,BOTH_HAVE_IT,3,yes,yes,GAP -- aircraft unobserved for 3 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-LUFTHANSA,2024-03-23,2024-03-28,5,EHAM,Amsterdam Airport Schiphol,1.51,2024-03-23T13:30:26.530000Z,EDDM,Munich Airport,1.08,2024-03-28T04:53:11.910000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,4,no,yes,GAP -- aircraft unobserved for 4 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-RYANAIR,2024-03-23,2024-03-23,0,EGBB,Birmingham Airport,0.56,2024-03-23T07:52:58.050000Z,EIDW,Dublin Airport,1.15,2024-03-23T09:19:20.640000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-23,2024-03-28,5,EIDW,Dublin Airport,1.15,2024-03-23T09:19:21.290000Z,EGNM,Leeds Bradford Airport,1.09,2024-03-28T08:18:54.510000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,4,no,yes,GAP -- aircraft unobserved for 4 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N102DZ,2024-03-27,2024-03-27,0,KVNY,Van Nuys Airport,0.55,2024-03-27T18:21:05.310000Z,KBUR,Hollywood Burbank/Bob Hope Airport,0.16,2024-03-27T19:37:33.010000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N582MM,2024-03-27,2024-03-27,0,KPHX,Phoenix Sky Harbor International Airport,1.86,2024-03-27T18:55:48.960000Z,KSDL,Scottsdale Airport,1.16,2024-03-27T20:19:20.490000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
T7-ELL,2024-03-27,2024-03-31,4,LIRA,Ciampino–G. B. Pastine International Airport,0.53,2024-03-27T15:05:47.170000Z,EIDW,Dublin Airport,0.48,2024-03-31T09:52:10.970000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,3,no,yes,GAP -- aircraft unobserved for 3 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-LUFTHANSA,2024-03-28,2024-03-30,2,EDDM,Munich Airport,1.08,2024-03-28T04:53:16.550000Z,ENTC,Tromsø Airport,0.11,2024-03-30T11:31:59.240000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,1,no,yes,GAP -- aircraft unobserved for 1 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-RYANAIR,2024-03-28,2024-03-28,0,EGNM,Leeds Bradford Airport,1.09,2024-03-28T08:20:45.200000Z,LEMG,Málaga-Costa del Sol Airport,1.03,2024-03-28T11:13:07.630000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-03-28,2024-03-28,0,LEMG,Málaga-Costa del Sol Airport,0.48,2024-03-28T12:11:09.490000Z,EGNM,Leeds Bradford Airport,0.41,2024-03-28T22:31:05.510000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N102DZ,2024-03-28,2024-03-28,0,KBUR,Hollywood Burbank/Bob Hope Airport,0.34,2024-03-28T06:56:28.400000Z,KSAC,Sacramento Executive Airport,0.37,2024-03-28T20:28:48.290000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N582MM,2024-03-28,2024-03-28,0,KSDL,Scottsdale Airport,0.35,2024-03-28T04:03:21.720000Z,,,,2024-03-28T03:21:02.890000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N582MM,2024-03-28,2024-04-05,8,,,,2024-03-28T04:02:37.650000Z,KORL,Orlando Executive Airport,0.53,2024-04-05T15:45:15.080000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,7,no,yes,GAP -- aircraft unobserved for 7 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N102DZ,2024-03-29,2024-03-29,0,KSAC,Sacramento Executive Airport,0.57,2024-03-29T15:33:36.160000Z,KSLC,Salt Lake City International Airport,2.15,2024-03-29T16:48:39.130000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N102DZ,2024-03-29,2024-03-29,0,KSLC,Salt Lake City International Airport,1.77,2024-03-29T18:17:36.550000Z,KVNY,Van Nuys Airport,0.52,2024-03-29T19:50:56.990000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-LUFTHANSA,2024-03-30,2024-04-02,3,ENTC,Tromsø Airport,0.32,2024-03-30T12:48:17.650000Z,EDDB,Berlin Brandenburg Airport,0.91,2024-04-02T08:08:57.290000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,2,no,yes,GAP -- aircraft unobserved for 2 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-RYANAIR,2024-03-30,2024-03-30,0,EGNM,Leeds Bradford Airport,0.57,2024-03-30T23:23:08.660000Z,EGGP,Liverpool John Lennon Airport,0.11,2024-03-30T23:09:15.540000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
T7-ELL,2024-03-31,2024-04-06,6,EIDW,Dublin Airport,1.33,2024-03-31T11:28:46.590000Z,VHHH,Hong Kong International Airport,2.37,2024-04-06T02:38:16.370000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,5,no,yes,GAP -- aircraft unobserved for 5 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N1098L,2024-04-01,2024-05-01,30,KBIF,Biggs Army Air Field (Fort Bliss),1.89,2024-04-01T20:02:05.630000Z,KTUS,Tucson International Airport,0.88,2024-05-01T17:38:47Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,29,yes,yes,GAP -- aircraft unobserved for 29 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N560TW,2024-04-01,2024-04-01,0,KSDL,Scottsdale Airport,1.26,2024-04-01T17:11:01.840000Z,KRNO,Reno Tahoe International Airport,0.35,2024-04-01T18:43:19.090000Z,adsb-lol|adsbexchange-samples,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N560TW,2024-04-01,2024-04-01,0,KRNO,Reno Tahoe International Airport,0.35,2024-04-01T19:10:31.380000Z,KSDL,Scottsdale Airport,0.16,2024-04-01T20:45:09.480000Z,adsb-lol|adsbexchange-samples|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N872RA,2024-04-01,2024-04-01,0,KSNA,John Wayne Orange County International Airport,0.61,2024-04-01T15:20:27.030000Z,KAPC,Napa County Airport,1.05,2024-04-01T16:27:31.640000Z,adsbexchange-samples,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N872RA,2024-04-01,2024-04-02,1,KAPC,Napa County Airport,1.05,2024-04-01T16:29:45.230000Z,KSNA,John Wayne Orange County International Airport,0.09,2024-04-02T18:59:35.230000Z,adsbexchange-samples|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,
CONTROL-RYANAIR,2024-04-02,2024-04-02,0,EGGP,Liverpool John Lennon Airport,0.11,2024-04-02T14:58:38.490000Z,EIDW,Dublin Airport,0.58,2024-04-02T16:48:55.240000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2024-04-02,2024-04-02,0,EIDW,Dublin Airport,0.58,2024-04-02T16:49:24.570000Z,EGGP,Liverpool John Lennon Airport,0.44,2024-04-02T17:21:45.230000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N872RA,2024-04-02,2024-04-02,0,KSNA,John Wayne Orange County International Airport,0.14,2024-04-02T19:01:35.940000Z,KSFO,San Francisco International Airport,0.76,2024-04-02T21:46:55.950000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N872RA,2024-04-02,2024-04-03,1,KSFO,San Francisco International Airport,0.76,2024-04-02T23:01:02.990000Z,KOAK,Oakland San Francisco Bay Airport,0.64,2024-04-03T18:59:39.870000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,
