sweep_date,tail,source,circle_key,circle_kind,city,state,event_date,offset_days,who,points_in_circle,on_ground_in_circle,min_dist_mi,ground_lat,ground_lon,passed_geo_sweep_prefilter,trace_file
2025-09-09,SU-BND,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,-1,Charlie,124,True,4.94,40.229828,-111.727676,True,SU-BND/data/recovered/SU-BND_2025-09-09_airplanes-live_trace_full.json.gz
2025-09-10,N102DZ,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,832,True,4.07,40.792385,-111.960022,True,N102DZ/data/recovered/N102DZ_2025-09-10_adsb-lol_trace_full.json
2025-09-10,N102DZ,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,851,True,4.07,40.792385,-111.960022,True,N102DZ/data/recovered/N102DZ_2025-09-10_airplanes-live_trace_full.json
2025-09-10,N1098L,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,577,False,3.04,,,True,N1098L/data/recovered/N1098L_2025-09-10_adsb-lol_trace_full.json
2025-09-10,N1098L,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,660,False,3.05,,,True,N1098L/data/recovered/N1098L_2025-09-10_airplanes-live_trace_full.json
2025-09-10,N1098L,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,32,False,12.53,,,True,N1098L/data/recovered/N1098L_2025-09-10_adsb-lol_trace_full.json
2025-09-10,N1098L,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,62,False,12.43,,,True,N1098L/data/recovered/N1098L_2025-09-10_airplanes-live_trace_full.json
2025-09-10,N40JD,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,569,True,4.03,40.226852,-111.729477,True,N40JD/data/recovered/N40JD_2025-09-10_adsb-lol_trace_full.json
2025-09-10,N40JD,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,568,True,4.03,40.226852,-111.729477,True,N40JD/data/recovered/N40JD_2025-09-10_airplanes-live_trace_full.json
2025-09-10,N560TW,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,496,True,4.05,40.211231,-111.71431,True,N560TW/data/recovered/N560TW_2025-09-10_adsb-lol_trace_full.json
2025-09-10,N560TW,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,559,True,4.05,40.211231,-111.71431,True,N560TW/data/recovered/N560TW_2025-09-10_airplanes-live_trace_full.json
2025-09-10,N582MM,adsb-lol,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,41,False,29.57,,,True,N582MM/data/recovered/N582MM_2025-09-10_adsb-lol_trace_full.json
2025-09-10,N582MM,airplanes-live,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,65,False,29.57,,,True,N582MM/data/recovered/N582MM_2025-09-10_airplanes-live_trace_full.json
2025-09-10,N59906,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,1289,True,0.39,40.219723,-111.719818,True,N59906/data/recovered/N59906_2025-09-10_adsb-lol_trace_full.json
2025-09-10,N59906,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,1579,True,0.12,40.219723,-111.719818,True,N59906/data/recovered/N59906_2025-09-10_airplanes-live_trace_full.json
2025-09-10,N872RA,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,663,True,4.06,40.221541,-111.724762,True,N872RA/data/recovered/N872RA_2025-09-10_adsb-lol_trace_full.json
2025-09-10,N872RA,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,635,True,4.06,40.221541,-111.724762,True,N872RA/data/recovered/N872RA_2025-09-10_airplanes-live_trace_full.json
2025-09-10,N888KG,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,523,True,4.07,40.219248,-111.719378,True,N888KG/data/recovered/N888KG_2025-09-10_adsb-lol_trace_full.json
2025-09-10,N888KG,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,489,True,4.07,40.219248,-111.719378,True,N888KG/data/recovered/N888KG_2025-09-10_airplanes-live_trace_full.json
2025-09-10,SU-BND,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,257,True,4.94,40.229804,-111.72768,True,SU-BND/data/recovered/SU-BND_2025-09-10_adsb-lol_trace_full.json
2025-09-10,SU-BND,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,328,True,4.94,40.229804,-111.72768,True,SU-BND/data/recovered/SU-BND_2025-09-10_airplanes-live_trace_full.json
2025-09-10,SU-BTT,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,292,True,4.92,40.230328,-111.728273,True,SU-BTT/data/recovered/SU-BTT_2025-09-10_adsb-lol_trace_full.json
