tail,date,group,classification,adsb_lol_http,tails_asked_of_adsb_lol_that_day,tails_adsb_lol_served_that_day,al_trace_points,region,median_lat,median_lon,adsb_lol_github_release,aircraft_in_that_release,al_file,adsb_lol_url,retrieved_utc
SU-BND,2025-10-25,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,12,0,101,MIDEAST_EGYPT,28.596,31.962,NOT_SWEPT,,SU-BND/data/recovered/SU-BND_2025-10-25_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/25/traces/3e/trace_full_01003e.json,2026-08-24T19:35:28Z
SU-BND,2025-10-28,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,12,0,93,MIDEAST_EGYPT,28.977,31.795,TRUNCATED,0,SU-BND/data/recovered/SU-BND_2025-10-28_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/28/traces/3e/trace_full_01003e.json,2026-08-24T19:35:36Z
SU-BND,2025-10-29,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,12,0,79,MIDEAST_EGYPT,29.304,31.738,SWEPT,67108,SU-BND/data/recovered/SU-BND_2025-10-29_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/29/traces/3e/trace_full_01003e.json,2026-08-24T19:35:38Z
SU-BND,2025-11-01,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,6,0,531,MIDEAST_EGYPT,28.06,34.236,NOT_SWEPT,,SU-BND/data/recovered/SU-BND_2025-11-01_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/11/01/traces/3e/trace_full_01003e.json,2026-08-26T17:50:21Z
SU-BND,2025-11-03,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,6,0,17,MIDEAST_EGYPT,31.559,29.311,NOT_SWEPT,,SU-BND/data/recovered/SU-BND_2025-11-03_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/11/03/traces/3e/trace_full_01003e.json,2026-08-26T17:50:25Z
SU-BND,2025-11-04,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,6,0,8,MIDEAST_EGYPT,30.114,31.358,NOT_SWEPT,,SU-BND/data/recovered/SU-BND_2025-11-04_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/11/04/traces/3e/trace_full_01003e.json,2026-08-26T17:50:26Z
SU-BTT,2023-03-05,EGYPT_SU,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,6,0,69,EUROPE,35.825,24.588,NOT_SWEPT,,SU-BTT/data/recovered/SU-BTT_2023-03-05_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/03/05/traces/d3/trace_full_0101d3.json,2026-08-26T17:29:20Z
SU-BTT,2023-03-12,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,1,106,MIDEAST_EGYPT,30.173,35.442,NOT_SWEPT,,SU-BTT/data/recovered/SU-BTT_2023-03-12_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2023/03/12/traces/d3/trace_full_0101d3.json,2026-08-24T19:03:06Z
SU-BTT,2023-05-31,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,1,71,MIDEAST_EGYPT,30.126,35.4,NOT_SWEPT,,SU-BTT/data/recovered/SU-BTT_2023-05-31_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2023/05/31/traces/d3/trace_full_0101d3.json,2026-08-24T19:04:53Z
SU-BTT,2023-06-01,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,1,98,MIDEAST_EGYPT,30.47,35.533,NOT_SWEPT,,SU-BTT/data/recovered/SU-BTT_2023-06-01_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2023/06/01/traces/d3/trace_full_0101d3.json,2026-08-24T19:04:55Z
SU-BTT,2023-07-11,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,1,59,MIDEAST_EGYPT,29.957,31.288,SWEPT,46337,SU-BTT/data/recovered/SU-BTT_2023-07-11_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2023/07/11/traces/d3/trace_full_0101d3.json,2026-08-24T19:05:33Z
SU-BTT,2023-07-17,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,3,22,MIDEAST_EGYPT,30.237,31.038,SWEPT,45317,SU-BTT/data/recovered/SU-BTT_2023-07-17_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2023/07/17/traces/d3/trace_full_0101d3.json,2026-08-24T19:05:45Z
SU-BTT,2023-09-20,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,2,6,MIDEAST_EGYPT,29.905,31.132,SWEPT,54800,SU-BTT/data/recovered/SU-BTT_2023-09-20_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2023/09/20/traces/d3/trace_full_0101d3.json,2026-08-24T19:06:19Z
SU-BTT,2024-04-16,EGYPT_SU,ONE_ARCHIVE_ONLY,404,8,2,8,MIDEAST_EGYPT,29.931,31.352,NOT_SWEPT,,SU-BTT/data/recovered/SU-BTT_2024-04-16_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2024/04/16/traces/d3/trace_full_0101d3.json,2026-08-26T17:32:29Z
SU-BTT,2024-08-18,EGYPT_SU,ONE_ARCHIVE_ONLY,404,3,2,134,MIDEAST_EGYPT,29.61,31.268,NOT_SWEPT,,SU-BTT/data/recovered/SU-BTT_2024-08-18_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2024/08/18/traces/d3/trace_full_0101d3.json,2026-08-26T17:59:53Z
SU-BTT,2024-09-21,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,3,22,MIDEAST_EGYPT,29.269,32.438,NOT_SWEPT,,SU-BTT/data/recovered/SU-BTT_2024-09-21_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2024/09/21/traces/d3/trace_full_0101d3.json,2026-08-24T19:11:40Z
SU-BTT,2025-10-12,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,6,0,64,MIDEAST_EGYPT,29.272,32.517,NOT_SWEPT,,SU-BTT/data/recovered/SU-BTT_2025-10-12_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/12/traces/d3/trace_full_0101d3.json,2026-08-26T17:37:43Z
SU-BTT,2025-10-13,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,6,0,11,MIDEAST_EGYPT,29.064,32.896,NOT_SWEPT,,SU-BTT/data/recovered/SU-BTT_2025-10-13_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/13/traces/d3/trace_full_0101d3.json,2026-08-26T17:37:44Z
SU-BTT,2025-10-16,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,12,0,176,MIDEAST_EGYPT,28.873,32.886,SWEPT,77386,SU-BTT/data/recovered/SU-BTT_2025-10-16_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/16/traces/d3/trace_full_0101d3.json,2026-08-24T19:17:11Z
SU-BTT,2025-10-21,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,12,0,26,MIDEAST_EGYPT,28.735,31.818,SWEPT,71421,SU-BTT/data/recovered/SU-BTT_2025-10-21_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/21/traces/d3/trace_full_0101d3.json,2026-08-24T19:17:22Z
SU-BTT,2025-10-22,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,14,0,13,MIDEAST_EGYPT,29.636,31.413,SWEPT,73154,SU-BTT/data/recovered/SU-BTT_2025-10-22_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/22/traces/d3/trace_full_0101d3.json,2026-08-24T19:17:25Z
SU-BTT,2025-10-26,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,12,0,71,MIDEAST_EGYPT,29.363,31.662,SWEPT,57963,SU-BTT/data/recovered/SU-BTT_2025-10-26_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/26/traces/d3/trace_full_0101d3.json,2026-08-24T19:17:31Z
SU-BTU,2023-06-07,EGYPT_SU,ONE_ARCHIVE_ONLY,404,14,3,6,MIDEAST_EGYPT,29.749,31.271,NOT_SWEPT,,SU-BTU/data/recovered/SU-BTU_2023-06-07_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2023/06/07/traces/d0/trace_full_0101d0.json,2026-08-24T19:42:24Z
SU-BTU,2023-06-10,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,1,15,MIDEAST_EGYPT,29.833,31.347,SWEPT,42241,SU-BTU/data/recovered/SU-BTU_2023-06-10_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/06/10/traces/d0/trace_full_0101d0.json,2026-08-24T19:42:30Z
SU-BTU,2024-06-05,EGYPT_SU,ONE_ARCHIVE_ONLY,404,14,6,38,MIDEAST_EGYPT,29.909,31.253,NOT_SWEPT,,SU-BTU/data/recovered/SU-BTU_2024-06-05_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/06/05/traces/d0/trace_full_0101d0.json,2026-08-24T19:47:00Z
SU-BTU,2024-06-22,EGYPT_SU,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,6,0,2,MIDEAST_EGYPT,29.747,31.241,NOT_SWEPT,,SU-BTU/data/recovered/SU-BTU_2024-06-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/06/22/traces/d0/trace_full_0101d0.json,2026-08-26T17:58:40Z
SU-BTU,2024-08-04,EGYPT_SU,ONE_ARCHIVE_ONLY,404,6,1,40,MIDEAST_EGYPT,29.505,31.352,NOT_SWEPT,,SU-BTU/data/recovered/SU-BTU_2024-08-04_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/08/04/traces/d0/trace_full_0101d0.json,2026-08-26T17:58:59Z
SU-BTV,2023-02-02,EGYPT_SU,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,6,0,236,EUROPE,46.451,3.224,NOT_SWEPT,,SU-BTV/data/recovered/SU-BTV_2023-02-02_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/02/traces/d1/trace_full_0101d1.json,2026-08-26T18:07:17Z
SU-BTV,2023-02-05,EGYPT_SU,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,6,0,163,EUROPE,46.803,5.773,NOT_SWEPT,,SU-BTV/data/recovered/SU-BTV_2023-02-05_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/05/traces/d1/trace_full_0101d1.json,2026-08-26T18:07:22Z
SU-BTV,2023-02-07,EGYPT_SU,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,14,0,736,USA,44.659,-85.557,NO_RELEASE_FOR_THIS_DATE,0,SU-BTV/data/recovered/SU-BTV_2023-02-07_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/07/traces/d1/trace_full_0101d1.json,2026-08-24T19:58:37Z
SU-BTV,2023-02-10,EGYPT_SU,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,14,0,644,USA,39.7,-83.718,NOT_SWEPT,,SU-BTV/data/recovered/SU-BTV_2023-02-10_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/10/traces/d1/trace_full_0101d1.json,2026-08-24T19:58:45Z
SU-BTV,2023-02-13,EGYPT_SU,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,6,0,602,USA,41.667,-68.885,NOT_SWEPT,,SU-BTV/data/recovered/SU-BTV_2023-02-13_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/13/traces/d1/trace_full_0101d1.json,2026-08-26T18:07:28Z
SU-BTV,2023-06-07,EGYPT_SU,ONE_ARCHIVE_ONLY,404,14,3,11,MIDEAST_EGYPT,29.779,31.142,NOT_SWEPT,,SU-BTV/data/recovered/SU-BTV_2023-06-07_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2023/06/07/traces/d1/trace_full_0101d1.json,2026-08-24T20:01:03Z
SU-BTV,2023-06-11,EGYPT_SU,ONE_ARCHIVE_ONLY,404,14,4,4,MIDEAST_EGYPT,29.737,31.253,SWEPT,39990,SU-BTV/data/recovered/SU-BTV_2023-06-11_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/06/11/traces/d1/trace_full_0101d1.json,2026-08-24T20:01:10Z
SU-BTV,2023-06-24,EGYPT_SU,ONE_ARCHIVE_ONLY,404,8,3,58,MIDEAST_EGYPT,29.915,31.356,NOT_SWEPT,,SU-BTV/data/recovered/SU-BTV_2023-06-24_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/06/24/traces/d1/trace_full_0101d1.json,2026-08-26T18:08:31Z
SU-BTV,2023-07-11,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,1,67,MIDEAST_EGYPT,29.909,31.31,SWEPT,46337,SU-BTV/data/recovered/SU-BTV_2023-07-11_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/07/11/traces/d1/trace_full_0101d1.json,2026-08-24T20:01:30Z
SU-BTV,2023-07-12,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,1,38,MIDEAST_EGYPT,30.357,30.778,SWEPT,47040,SU-BTV/data/recovered/SU-BTV_2023-07-12_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2023/07/12/traces/d1/trace_full_0101d1.json,2026-08-24T20:01:32Z
SU-BTV,2024-07-17,EGYPT_SU,ONE_ARCHIVE_ONLY,404,6,1,53,MIDEAST_EGYPT,29.58,30.746,NOT_SWEPT,,SU-BTV/data/recovered/SU-BTV_2024-07-17_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/07/17/traces/d1/trace_full_0101d1.json,2026-08-26T18:12:04Z
SU-BTV,2025-01-21,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,3,20,MIDEAST_EGYPT,29.559,31.621,SWEPT,50841,SU-BTV/data/recovered/SU-BTV_2025-01-21_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/01/21/traces/d1/trace_full_0101d1.json,2026-08-24T20:09:05Z
SU-BTV,2025-02-19,EGYPT_SU,ONE_ARCHIVE_ONLY,404,12,4,2,MIDEAST_EGYPT,29.313,32.554,TRUNCATED,34684,SU-BTV/data/recovered/SU-BTV_2025-02-19_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/02/19/traces/d1/trace_full_0101d1.json,2026-08-24T20:09:14Z
SU-BTV,2025-10-12,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,6,0,2650,EUROPE,41.372,3.589,NOT_SWEPT,,SU-BTV/data/recovered/SU-BTV_2025-10-12_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/12/traces/d1/trace_full_0101d1.json,2026-08-26T18:16:10Z
