tail,date,group,classification,adsb_lol_http,tails_asked_of_adsb_lol_that_day,tails_adsb_lol_served_that_day,al_trace_points,region,median_lat,median_lon,adsb_lol_github_release,aircraft_in_that_release,al_file,adsb_lol_url,retrieved_utc
T7-ELL,2025-10-15,T7_ELL,RETENTION_SERVING_BOUNDARY,403,12,0,1646,OTHER,20.544,-79.548,TRUNCATED,54488,T7-ELL/data/recovered/T7-ELL_2025-10-15_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/15/traces/8a/trace_full_50018a.json,2026-08-24T20:47:07Z
T7-ELL,2025-10-16,T7_ELL,RETENTION_SERVING_BOUNDARY,403,12,0,2155,USA,46.049,-73.937,SWEPT,77386,T7-ELL/data/recovered/T7-ELL_2025-10-16_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/16/traces/8a/trace_full_50018a.json,2026-08-24T20:47:08Z
T7-ELL,2025-10-17,T7_ELL,RETENTION_SERVING_BOUNDARY,403,12,0,1684,EUROPE,49.541,3.169,SWEPT,80766,T7-ELL/data/recovered/T7-ELL_2025-10-17_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/17/traces/8a/trace_full_50018a.json,2026-08-24T20:47:10Z
T7-ELL,2025-10-18,T7_ELL,RETENTION_SERVING_BOUNDARY,403,12,0,2301,EUROPE,35.388,-0.537,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2025-10-18_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/18/traces/8a/trace_full_50018a.json,2026-08-24T20:47:13Z
T7-ELL,2025-10-19,T7_ELL,RETENTION_SERVING_BOUNDARY,403,12,0,543,MIDEAST_EGYPT,25.885,52.233,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2025-10-19_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/19/traces/8a/trace_full_50018a.json,2026-08-24T20:47:15Z
T7-ELL,2025-10-20,T7_ELL,RETENTION_SERVING_BOUNDARY,403,12,0,749,MIDEAST_EGYPT,24.702,54.207,SWEPT,65966,T7-ELL/data/recovered/T7-ELL_2025-10-20_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/20/traces/8a/trace_full_50018a.json,2026-08-24T20:47:17Z
T7-ELL,2025-10-22,T7_ELL,RETENTION_SERVING_BOUNDARY,403,14,0,2755,EUROPE,36.469,7.249,SWEPT,73154,T7-ELL/data/recovered/T7-ELL_2025-10-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/22/traces/8a/trace_full_50018a.json,2026-08-24T20:47:21Z
T7-ELL,2025-10-23,T7_ELL,RETENTION_SERVING_BOUNDARY,403,12,0,1467,MIDEAST_EGYPT,34.088,24.457,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2025-10-23_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/23/traces/8a/trace_full_50018a.json,2026-08-24T20:47:23Z
T7-ELL,2025-10-28,T7_ELL,RETENTION_SERVING_BOUNDARY,403,12,0,858,AFRICA,34.574,22.772,TRUNCATED,0,T7-ELL/data/recovered/T7-ELL_2025-10-28_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/28/traces/8a/trace_full_50018a.json,2026-08-24T20:47:31Z
T7-ELL,2025-10-29,T7_ELL,RETENTION_SERVING_BOUNDARY,403,12,0,1099,MIDEAST_EGYPT,27.181,48.576,SWEPT,67108,T7-ELL/data/recovered/T7-ELL_2025-10-29_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/29/traces/8a/trace_full_50018a.json,2026-08-24T20:47:33Z
T7-ELL,2025-11-02,T7_ELL,RETENTION_SERVING_BOUNDARY,403,6,0,307,MIDEAST_EGYPT,25.243,54.304,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2025-11-02_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/11/02/traces/8a/trace_full_50018a.json,2026-08-26T19:28:24Z
T7-ELL,2025-11-03,T7_ELL,RETENTION_SERVING_BOUNDARY,403,6,0,602,MIDEAST_EGYPT,25.83,53.033,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2025-11-03_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/11/03/traces/8a/trace_full_50018a.json,2026-08-26T19:28:26Z
T7-ELL,2025-11-05,T7_ELL,RETENTION_SERVING_BOUNDARY,403,6,0,2914,EUROPE,42.363,17.069,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2025-11-05_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/11/05/traces/8a/trace_full_50018a.json,2026-08-26T19:28:30Z
