date,city,state,charlie,erika,who,matched,tails_asked,tails_held,kirk_held,following_held
2023-12-17,Phoenix,AZ,yes,not_documented,Charlie,yes,13,3,1,1
2023-12-18,Phoenix,AZ,yes,not_documented,Charlie,yes,13,5,2,2
2023-12-19,Phoenix,AZ,yes,not_documented,Charlie,no,14,5,2,1
2024-01-29,Las Vegas,NV,yes,not_documented,Charlie,no,13,4,3,0
2024-01-30,Las Vegas,NV,yes,not_documented,Charlie,no,14,5,3,0
2024-01-31,Las Vegas,NV,yes,not_documented,Charlie,no,15,5,2,0
2024-02-01,Las Vegas,NV,yes,not_documented,Charlie,no,15,5,2,0
2024-02-02,Las Vegas,NV,yes,not_documented,Charlie,no,15,5,2,0
2024-02-03,Las Vegas,NV,yes,not_documented,Charlie,no,12,2,2,0
2024-02-04,Las Vegas,NV,yes,not_documented,Charlie,no,13,2,1,0
2024-03-06,Chapel Hill,NC,no,no,TPUSA,no,13,7,4,2
2024-03-07,San Luis Obispo,CA,yes,not_documented,Charlie,no,13,7,5,1
2024-03-14,Fullerton,CA,yes,not_documented,Charlie,yes,14,7,4,1
2024-03-18,San Diego,CA,yes,not_documented,Charlie,yes,13,6,4,1
2024-03-19,Phoenix,AZ,yes,not_documented,Charlie,yes,13,7,5,1
2024-03-19,Pittsburgh,PA,no,no,TPUSA,yes,13,7,5,1
2024-03-21,Las Vegas,NV,yes,not_documented,Charlie,yes,13,8,5,2
2024-03-27,Lubbock,TX,yes,not_documented,Charlie,no,12,6,3,3
2024-04-03,Lawrence,KS,yes,not_documented,Charlie,no,12,7,3,4
2024-04-09,Omaha,NE,yes,not_documented,Charlie,no,12,5,4,1
2024-04-23,Salt Lake City,UT,yes,not_documented,Charlie,yes,13,8,6,1
2024-05-07,Seattle,WA,yes,not_documented,Charlie,no,12,7,5,2
2024-05-08,Las Vegas,NV,yes,not_documented,Charlie,no,12,7,5,2
2024-05-16,San Diego,CA,yes,not_documented,Charlie,no,13,7,2,4
2024-06-07,San Antonio,TX,yes,not_documented,Charlie,yes,14,7,3,2
2024-06-08,San Antonio,TX,yes,not_documented,Charlie,no,13,7,4,2
2024-06-09,San Antonio,TX,yes,not_documented,Charlie,no,13,8,5,2
2024-06-14,Detroit,MI,yes,not_documented,Charlie,yes,14,7,4,1
2024-06-15,Detroit,MI,yes,not_documented,Charlie,no,12,6,5,1
2024-06-16,Detroit,MI,yes,not_documented,Charlie,no,13,6,5,0
2024-07-24,West Palm Beach,FL,yes,not_documented,Charlie,no,14,8,3,3
2024-07-25,West Palm Beach,FL,yes,not_documented,Charlie,no,13,4,3,0
2024-07-26,West Palm Beach,FL,yes,not_documented,Charlie,no,13,7,3,3
2024-07-27,West Palm Beach,FL,yes,not_documented,Charlie,no,12,6,2,4
2024-07-28,West Palm Beach,FL,yes,not_documented,Charlie,no,12,7,3,4
2024-09-03,Phoenix,AZ,yes,not_documented,Charlie,yes,14,5,3,0
2024-09-05,Madison,WI,yes,not_documented,Charlie,yes,14,7,4,1
2024-09-10,Boulder,CO,yes,not_documented,Charlie,yes,14,5,2,1
2024-09-11,Denton,TX,yes,not_documented,Charlie,yes,14,7,4,1
2024-09-13,Manhattan,KS,yes,not_documented,Charlie,no,13,6,5,0
2024-09-18,Pittsburgh,PA,yes,not_documented,Charlie,yes,14,9,5,2
2024-09-19,University Park,PA,yes,not_documented,Charlie,yes,13,8,5,2
2024-09-30,Missoula,MT,yes,not_documented,Charlie,yes,14,9,5,2
2024-10-11,Corvallis,OR,yes,not_documented,Charlie,yes,15,7,4,0
2024-10-15,Flagstaff,AZ,yes,not_documented,Charlie,no,14,10,5,3
2024-10-16,Tucson,AZ,yes,not_documented,Charlie,no,14,10,5,3
2024-10-21,Atlanta,GA,yes,not_documented,Charlie,yes,14,10,4,4
2024-10-21,Chapel Hill,NC,yes,not_documented,Charlie,yes,14,10,4,4
2024-10-22,Athens,GA,yes,not_documented,Charlie,no,14,9,4,3
2024-10-22,Omaha,NE,yes,not_documented,Charlie,no,14,9,4,3
2024-10-23,Duluth,GA,yes,not_documented,Charlie,yes,13,8,4,3
2024-10-24,Las Vegas,NV,yes,not_documented,Charlie,yes,13,7,5,1
2024-10-28,Phoenix,AZ,yes,not_documented,Charlie,yes,12,5,3,2
2024-10-30,Greenville,NC,yes,not_documented,Charlie,no,12,5,5,0
2024-10-31,High Point,NC,yes,not_documented,Charlie,no,15,8,5,0
2024-12-19,Phoenix,AZ,yes,not_documented,Charlie,yes,14,6,3,1
2024-12-20,Phoenix,AZ,yes,not_documented,Charlie,yes,12,5,4,1
2024-12-21,Phoenix,AZ,yes,not_documented,Charlie,yes,12,5,4,1
2024-12-22,Phoenix,AZ,yes,not_documented,Charlie,yes,12,5,4,1
2025-01-19,Washington,DC,yes,not_documented,Charlie,no,13,4,2,1
2025-01-20,Washington,DC,yes,not_documented,Charlie,no,12,5,3,2
2025-02-18,Phoenix,AZ,yes,not_documented,Charlie,yes,13,7,4,2
2025-02-19,Phoenix,AZ,yes,not_documented,Charlie,yes,12,5,4,1
2025-02-20,Tampa,FL,yes,not_documented,Charlie,yes,12,5,4,1
2025-02-27,Gainesville,FL,yes,not_documented,Charlie,no,13,5,4,0
2025-02-28,Tallahassee,FL,yes,not_documented,Charlie,no,13,5,4,0
2025-03-03,Los Angeles,CA,yes,not_documented,Charlie,yes,13,5,4,0
2025-03-13,Knoxville,TN,yes,not_documented,Charlie,yes,12,5,5,0
2025-03-18,Gainesville,GA,yes,not_documented,Charlie,yes,12,7,4,3
2025-03-19,Gainesville,GA,yes,not_documented,Charlie,no,13,6,3,2
2025-03-20,Gainesville,GA,yes,not_documented,Charlie,no,13,5,4,0
2025-04-08,Normal,IL,yes,not_documented,Charlie,no,14,10,4,4
2025-04-08,Urbana,IL,yes,not_documented,Charlie,no,14,10,4,4
2025-04-10,West Lafayette,IN,yes,not_documented,Charlie,no,13,7,4,2
