date,key,kind,city,state,entering,on_ground,tracked_fleet,milgov,foreign_civil,unregistered,tisb_artifact,pia_only,ladd_only,other
2023-03-26,control_spokane,control,Spokane,WA,295,7,0,0,0,0,0,0,1,0
2023-03-26,control_syracuse,control,Syracuse,NY,587,0,0,0,0,0,0,0,0,0
2023-03-27,20230327_fort_worth,event,Fort Worth,TX,2100,34,0,7,0,0,0,0,4,0
2023-03-27,control_albuquerque,control,Albuquerque,NM,937,111,0,6,0,0,0,0,8,0
2023-03-27,control_chattanooga,control,Chattanooga,TN,929,0,0,0,0,0,0,0,0,0
2023-03-27,control_des_moines,control,Des Moines,IA,679,0,0,0,0,0,0,0,0,0
2023-03-27,control_shreveport,control,Shreveport,LA,343,0,0,0,0,0,0,0,0,0
2023-03-27,control_spokane,control,Spokane,WA,332,7,0,1,0,0,0,0,4,0
2023-03-27,control_syracuse,control,Syracuse,NY,607,0,0,0,0,0,0,0,0,0
2023-03-28,20230327_fort_worth,event,Fort Worth,TX,523,20,0,1,0,0,0,0,1,0
2023-03-28,control_albuquerque,control,Albuquerque,NM,276,37,0,3,0,0,0,0,1,0
2023-03-28,control_chattanooga,control,Chattanooga,TN,228,0,0,0,0,0,0,0,0,0
2023-03-28,control_des_moines,control,Des Moines,IA,180,0,0,0,0,0,0,0,0,0
2023-03-28,control_shreveport,control,Shreveport,LA,150,0,0,0,0,0,0,0,0,0
2023-03-28,control_spokane,control,Spokane,WA,87,0,0,0,0,0,0,0,0,0
2023-03-28,control_syracuse,control,Syracuse,NY,144,0,0,0,0,0,0,0,0,0
2023-04-01,20230402_jefferson_city,event,Jefferson City,MO,608,0,0,0,0,0,0,0,0,0
2023-04-01,control_albuquerque,control,Albuquerque,NM,1024,135,0,8,0,0,0,0,6,0
2023-04-01,control_chattanooga,control,Chattanooga,TN,880,0,0,0,0,0,0,0,0,0
2023-04-01,control_des_moines,control,Des Moines,IA,616,0,0,0,0,0,0,0,0,0
2023-04-01,control_shreveport,control,Shreveport,LA,679,0,0,0,0,0,0,0,0,0
2023-04-01,control_spokane,control,Spokane,WA,265,1,0,0,0,0,0,0,0,0
2023-04-01,control_syracuse,control,Syracuse,NY,549,0,0,0,0,0,0,0,0,0
2023-04-02,20230402_jefferson_city,event,Jefferson City,MO,404,0,0,0,0,0,0,0,0,0
2023-04-02,control_albuquerque,control,Albuquerque,NM,721,65,0,1,0,0,0,0,1,0
2023-04-02,control_chattanooga,control,Chattanooga,TN,696,0,0,0,0,0,0,0,0,0
2023-04-02,control_des_moines,control,Des Moines,IA,452,1,0,1,0,0,0,0,0,0
2023-04-02,control_shreveport,control,Shreveport,LA,477,0,0,0,0,0,0,0,0,0
2023-04-02,control_spokane,control,Spokane,WA,194,1,0,0,0,0,0,0,1,0
2023-04-02,control_syracuse,control,Syracuse,NY,416,0,0,0,0,0,0,0,0,0
2023-04-03,20230402_jefferson_city,event,Jefferson City,MO,234,0,0,0,0,0,0,0,0,0
2023-04-03,control_albuquerque,control,Albuquerque,NM,322,31,0,1,0,0,0,0,1,0
2023-04-03,control_chattanooga,control,Chattanooga,TN,288,0,0,0,0,0,0,0,0,0
2023-04-03,control_des_moines,control,Des Moines,IA,248,0,0,0,0,0,0,0,0,0
2023-04-03,control_shreveport,control,Shreveport,LA,247,0,0,0,0,0,0,0,0,0
2023-04-03,control_spokane,control,Spokane,WA,109,0,0,0,0,0,0,0,0,0
2023-04-03,control_syracuse,control,Syracuse,NY,225,0,0,0,0,0,0,0,0,0
