tail,date,file_date,dated_from_previous_utc_day,airport_code,airport_name,airport_city,median_km_from_field,ground_points,first_seen_utc,last_seen_utc,lat,lon,type,registration,sources,archives_agreeing,nearest_event_city,nearest_event_state,nearest_event_date,nearest_event_who,nearest_event_title,charlie_present,erika_present,event_offset_days,miles_to_event_city,within_50mi,same_day,event_page
N560TW,2022-05-01,2022-05-01,False,KAPA,Centennial Airport,Denver,0.64,82,2022-05-01T01:33:59.900000Z,2022-05-01T02:09:44.800000Z,39.57568,-104.85061,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-05-01,2022-05-01,False,KSDL,Scottsdale Airport,Scottsdale,1.13,43,2022-05-01T00:00:00Z,2022-05-01T00:21:11.300000Z,33.62965,-111.90182,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-05-01,2022-05-01,False,KSDL,Scottsdale Airport,Scottsdale,0.13,33,2022-05-01T03:43:02.500000Z,2022-05-01T03:45:46.800000Z,33.62172,-111.91112,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N102DZ,2022-06-01,2022-06-01,False,KTEB,Teterboro Airport,Teterboro,0.61,31,2022-06-01T01:39:14.100000Z,2022-06-01T01:40:12.900000Z,40.85505,-74.05763,GLF5,N102DZ,adsbexchange-samples,1,Grapevine,TX,2022-06-02,Charlie,Young Women's Leadership Summit 2022,yes,not_documented,1,1379.26,no,no,site/docs/Planes/following/speaking/20220602_grapevine.mdx
N59906,2022-06-01,2022-06-01,False,KWVI,Watsonville Municipal Airport,Watsonville,0.38,1,2022-06-01T00:00:00Z,2022-06-01T00:00:00Z,36.93881,-121.78813,PA31,N59906,adsbexchange-samples,1,Grapevine,TX,2022-06-02,Charlie,Young Women's Leadership Summit 2022,yes,not_documented,1,1422.59,no,no,site/docs/Planes/following/speaking/20220602_grapevine.mdx
N888KG,2022-06-01,2022-06-01,False,KDAL,Dallas Love Field,Dallas,1.57,16,2022-06-01T00:00:00Z,2022-06-01T00:03:51.500000Z,32.85691,-96.85619,CL30,N888KG,adsbexchange-samples,1,Grapevine,TX,2022-06-02,Charlie,Young Women's Leadership Summit 2022,yes,not_documented,1,13.84,yes,no,site/docs/Planes/following/speaking/20220602_grapevine.mdx
N888KG,2022-06-01,2022-06-01,False,KPBI,President Donald J. Trump International Airport,West Palm Beach,1.02,40,2022-06-01T02:21:27.900000Z,2022-06-01T02:24:24.900000Z,26.68142,-80.08551,CL30,N888KG,adsbexchange-samples,1,Grapevine,TX,2022-06-02,Charlie,Young Women's Leadership Summit 2022,yes,not_documented,1,1104.68,no,no,site/docs/Planes/following/speaking/20220602_grapevine.mdx
SU-BTT,2022-06-01,2022-06-01,False,KILG,Wilmington Airport,Wilmington,0.69,9,2022-06-01T00:00:00Z,2022-06-01T00:01:25.400000Z,39.67459,-75.60039,FA7X,SU-BTT,adsbexchange-samples,1,Grapevine,TX,2022-06-02,Charlie,Young Women's Leadership Summit 2022,yes,not_documented,1,1279.25,no,no,site/docs/Planes/following/speaking/20220602_grapevine.mdx
N560TW,2022-07-01,2022-07-01,False,KDAL,Dallas Love Field,Dallas,0.65,4,2022-07-01T02:44:09.800000Z,2022-07-01T03:14:48Z,32.85053,-96.84901,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-07-01,2022-07-01,False,KSDL,Scottsdale Airport,Scottsdale,0.19,103,2022-07-01T00:00:00Z,2022-07-01T00:31:06.900000Z,33.62289,-111.909,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N888KG,2022-07-01,2022-07-01,False,KAPA,Centennial Airport,Denver,0.44,53,2022-07-01T02:37:35.700000Z,2022-07-01T02:39:53.100000Z,39.57407,-104.8496,CL30,N888KG,adsbexchange-samples,1,,,,,,,,,,no,no,
T7-ELL,2022-08-01,2022-08-01,False,KLAX,Los Angeles International Airport,Los Angeles,2.01,73,2022-08-01T00:08:18.570000Z,2022-08-01T00:14:08.500000Z,33.93585,-118.38771,GLEX,T7-ELL,adsbexchange-samples,1,,,,,,,,,,no,no,
T7-ELL,2022-08-01,2022-08-01,False,KTUS,Tucson International Airport,Tucson,0.69,86,2022-08-01T01:36:39.570000Z,2022-08-01T01:41:41.010000Z,32.11634,-110.94521,GLEX,T7-ELL,adsbexchange-samples,1,,,,,,,,,,no,no,
SU-BND,2022-09-01,2022-09-01,False,LFPB,Paris-Le Bourget International Airport,Paris,1.65,28,2022-09-01T09:30:28.010000Z,2022-09-01T09:37:00.230000Z,48.97111,2.45465,GLF4,SU-BND,adsbexchange-samples,1,,,,,,,,,,no,no,
SU-BTT,2022-09-01,2022-09-01,False,KICT,Wichita Dwight D. Eisenhower National Airport,Wichita,0.79,159,2022-09-01T16:33:26.990000Z,2022-09-01T16:59:21.900000Z,37.65583,-97.42283,FA7X,SU-BTT,adsbexchange-samples,1,,,,,,,,,,no,no,
T7-ELL,2022-09-01,2022-09-01,False,EGLF,Farnborough Airport,"Farnborough, Hampshire",0.49,71,2022-09-01T12:19:33.220000Z,2022-09-01T12:24:19.360000Z,51.27996,-0.77409,GLEX,T7-ELL,adsbexchange-samples,1,,,,,,,,,,no,no,
T7-ELL,2022-09-01,2022-09-01,False,KLAX,Los Angeles International Airport,Los Angeles,2.07,90,2022-09-01T02:08:02.330000Z,2022-09-01T02:16:34.620000Z,33.93576,-118.38702,GLEX,T7-ELL,adsbexchange-samples,1,,,,,,,,,,no,no,
N102DZ,2022-11-01,2022-11-01,False,KBUR,Hollywood Burbank/Bob Hope Airport,Burbank,0.6,81,2022-11-01T00:08:08.050000Z,2022-11-01T00:23:03.930000Z,34.19892,-118.36247,GLF5,N102DZ,adsbexchange-samples,1,,,,,,,,,,no,no,
N102DZ,2022-11-01,2022-11-01,False,KBUR,Hollywood Burbank/Bob Hope Airport,Burbank,0.32,103,2022-11-01T22:59:54.780000Z,2022-11-01T23:09:22.560000Z,34.20023,-118.35945,GLF5,N102DZ,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-11-01,2022-11-01,False,KMRY,Monterey Regional Airport,Monterey,0.81,145,2022-11-01T22:02:54.900000Z,2022-11-01T22:34:53.780000Z,36.58908,-121.85278,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-11-01,2022-11-01,False,KSDL,Scottsdale Airport,Scottsdale,0.93,65,2022-11-01T20:18:38.900000Z,2022-11-01T20:24:29.210000Z,33.61649,-111.91742,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N872RA,2022-12-01,2022-12-01,False,KLAS,Harry Reid International Airport,Las Vegas,1.54,92,2022-12-01T22:23:31.930000Z,2022-12-01T23:27:31.630000Z,36.09494,-115.16124,BE40,N872RA,adsbexchange-samples,1,Albuquerque,NM,2022-11-30,Charlie,Live Free / campus speech — University of New Mexico,yes,not_documented,-1,483.05,no,no,site/docs/Planes/following/speaking/20221130_albuquerque.mdx
N872RA,2022-12-01,2022-12-01,False,KSDL,Scottsdale Airport,Scottsdale,1.13,71,2022-12-01T19:50:30.140000Z,2022-12-01T19:59:06.790000Z,33.61558,-111.91955,BE40,N872RA,adsbexchange-samples,1,Albuquerque,NM,2022-11-30,Charlie,Live Free / campus speech — University of New Mexico,yes,not_documented,-1,317.8,no,no,site/docs/Planes/following/speaking/20221130_albuquerque.mdx
