hex,reg,type,operator,flags,event_days,distinct_cities,states,states_list,top_city,top_city_hits,top_city_share,off_m1,off_0,off_p1,day0_share,control_cities,control_contaminated
a03d04,N114WA,BE9L,KIERNAN COMPANIES LLC,NONE,4,2,2,AZ|CO,"Phoenix,AZ",3,0.6,1,2,2,0.4,,no
a9225e,N688QS,C68A,"NETJETS SALES INC, EVERQUINN LAND LLC, BAZZI ISSAM, MACFIN LLC, ",NONE,4,2,2,CO|TX,"Dallas,TX",5,0.833,1,3,2,0.5,Spokane,yes
a7c442,N6TM,C56X,WILMINGTON TRUST CO TRUSTEE,NONE,4,2,2,AZ|CA,"Rancho Palos Verdes,CA",5,0.833,3,2,1,0.333,Des Moines,yes
a2a7d1,N270PR,C56X,"QUEENSTOWN EXPRESS LLC, MR AIRCRAFT LLC",dbflag:LADD,4,2,2,AZ|CO,"Phoenix,AZ",3,0.75,1,1,2,0.25,,no
a7d6db,N604HS,CL60,HSL II LLC,NONE,4,2,2,CO|FL,"Tampa,FL",3,0.75,1,1,2,0.25,,no
aaf996,N806QS,C700,"NETJETS SALES INC, RXR AIR LLC, NICEJET LLC, OVERDUE LOGISTICS L",NONE,4,2,2,CO|FL,"Tampa,FL",3,0.75,1,1,2,0.25,,no
a03510,N112QS,GL5T,"NETJETS SALES INC, EXPO CENTER LLC, JENSEN GREGORY S TRUSTEE, CA",NONE,4,2,2,AZ|TX,"Phoenix,AZ",4,0.667,1,2,3,0.333,,no
a97ae6,N71NF,E550,NFI CORPORATE SERVICES GROUP LLC,dbflag:LADD,4,2,2,PA|TX,"Grapevine,TX",5,0.833,2,2,2,0.333,,no
a8d39a,N668T,G150,TERRIBLE HERBST INC,dbflag:LADD,4,2,2,NV|TX,"Dallas,TX",3,0.75,2,1,1,0.25,Albuquerque,yes
a5bff4,N47NG,PC12,STANDARD EQUIPMENT CO,NONE,4,2,2,CA|OR,"Rancho Palos Verdes,CA",3,0.75,1,2,1,0.5,Spokane,yes
ad8f9a,N973JH,BE20,JDH-IM KING AIR LLC,NONE,4,2,2,OR|TX,"Grapevine,TX",5,0.833,1,3,2,0.5,,no
acf1ec,N933ML,GL5T,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,dbflag:LADD,4,2,2,CA|OR,"Rancho Palos Verdes,CA",3,0.75,1,1,2,0.25,Spokane,yes
a3795a,N3229J,BCS3,JETBLUE AIRWAYS CORP,NONE,4,2,2,FL|NC,"Tampa,FL",3,0.75,1,1,2,0.25,Syracuse,yes
a2e179,N285KK,F2TH,HAYSTACK 204 LLC,NONE,4,2,2,AZ|TX,"Grapevine,TX",4,0.8,3,1,1,0.2,,no
ab2bea,N819MM,BE95,INTERNATIONAL AIR SERVICES INC TRUSTEE,NONE,4,2,2,AZ|CA,"Rancho Palos Verdes,CA",5,0.833,2,3,1,0.5,,no
a8ac1e,N658TC,E550,TRAVEL YONDER CO LLC,dbflag:LADD,4,2,2,AZ|TX,"Dallas,TX",3,0.6,2,1,2,0.2,Des Moines,yes
a89104,N651FX,GLF6,FLEXJET LLC,NONE,4,2,2,GA|TX,"Dallas,TX",5,0.833,2,2,2,0.333,,no
a22669,N238BZ,BCS3,BANK OF UTAH TRUSTEE,NONE,4,2,2,AZ|NC,"Phoenix,AZ",3,0.75,2,1,1,0.25,,no
a0b2db,N144PK,GLF4,AVIRE LLC,dbflag:LADD,4,2,2,NC|TX,"Dallas,TX",3,0.6,1,2,2,0.4,,no
a6588d,N508KD,C560,AERO AIR CHARTER HOLDING LLC,NONE,4,2,2,FL|GA,"Tampa,FL",3,0.75,1,2,1,0.5,,no
acf1f1,N933MR,C56X,GLEN AVALON LLC,NONE,4,2,2,AZ|GA,"Phoenix,AZ",5,0.833,1,3,2,0.5,,no
a9f36b,N740K,LJ45,CORPORATE JET LEASING COMPANY LLC,dbflag:LADD,4,2,2,AZ|GA,"Phoenix,AZ",3,0.75,1,1,2,0.25,,no
a40df9,N360TD,C25B,KANA HOTELS INC,NONE,4,2,2,GA|TX,"Dallas,TX",3,0.75,1,1,2,0.25,,no
ac29f8,N883LD,GLF4,LARK AVIATION LLC,NONE,4,2,2,GA|TX,"Grapevine,TX",3,0.75,1,1,2,0.25,,no
a3b13f,N337QS,E55P,"NETJETS SALES INC, MCCANNE STEVEN, GM AIR LLC",NONE,4,2,2,GA|TX,"Dallas,TX",3,0.75,1,1,2,0.25,Albuquerque|Spokane,yes
a12747,N1734S,C172,CAREER PILOT TRAINING LLC,dbflag:LADD,4,2,2,AZ|TX,"Dallas,TX",6,0.857,3,2,2,0.286,,no
a33e79,N308QS,C680,NETJETS SALES INC,NONE,4,2,2,AZ|FL,"Tampa,FL",5,0.833,2,2,2,0.333,,no
a7b049,N595DD,S22T,SW INVESTMENT 1157,NONE,4,2,2,AZ|TX,"Dallas,TX",3,0.75,2,1,1,0.25,,no
aaf10f,N804DL,S22T,FARHAD SIGARI M D F A C S P C,NONE,4,2,2,AZ|CA,"Rancho Palos Verdes,CA",4,0.8,2,1,2,0.2,,no
ad3006,N949QS,C68A,"BRIAR VIEW AVIATION LLC, MCCORMICK BRONWYN, KUNKLE GERALD K JR, ",NONE,4,2,2,AZ|CA,"Phoenix,AZ",2,0.5,2,0,2,0.0,,no
a7337e,N563QS,C68A,"NETJETS SALES INC, 1120 AIR LLC, IDEX CORP, REGAN JAMES S, PATIE",NONE,4,2,2,AZ|DC,"Phoenix,AZ",2,0.5,2,2,0,0.5,Des Moines|Spokane,yes
a3a44a,N3337J,CL30,BIG HORNS LEASING LLC,dbflag:LADD,4,2,2,AZ|GA,"Phoenix,AZ",2,0.5,2,1,1,0.25,,no
a314f1,N298TX,E55P,TRANSMEDICS INC,dbflag:LADD,4,2,2,AZ|TX,"Grapevine,TX",3,0.6,3,2,0,0.4,Albuquerque,yes
c03c3c,C-FWVB,PRM1,Eleva Aviation Ltd.,dbflag:LADD|non_us_registration,4,2,2,AZ|CO,"Phoenix,AZ",3,0.75,2,1,1,0.25,,no
a38cdb,N328JL,F900,LAMON AVIATION LLC,NONE,4,2,2,AZ|CA,"Phoenix,AZ",3,0.75,2,1,1,0.25,Chattanooga,yes
a569c4,N448QS,GLF4,NJI SALES INC,NONE,4,2,2,AZ|FL,"Phoenix,AZ",3,0.75,1,1,2,0.25,,no
a59e68,N461MC,LJ60,BLUE SKY HIGHWAY LLC,NONE,4,2,2,AZ|CA,"Phoenix,AZ",3,0.75,2,1,1,0.25,,no
a5fbbf,N485FX,GLF4,FLEXJET LLC,NONE,4,2,2,AZ|CA,"Phoenix,AZ",3,0.75,1,2,1,0.5,,no
a6a33b,N527DA,F2TH,JORY AVIATION LLC,dbflag:LADD,4,2,2,AZ|CO,"Phoenix,AZ",3,0.75,1,1,2,0.25,,no
ad074d,N939CC,CL60,601 ASSETS LLC,dbflag:LADD,4,2,2,AZ|TX,"Phoenix,AZ",3,0.75,2,1,1,0.25,,no
a0310f,N111MT,GLF5,SOARING EAGLE RANCH LLC,NONE,4,2,2,AZ|CA,"Phoenix,AZ",6,0.75,2,3,3,0.375,,no
a368ab,N319EG,P28A,TRUE LOVE AVIATION LLC,NONE,4,2,2,AZ|CA,"Phoenix,AZ",3,0.6,1,2,2,0.4,,no
ab243f,N817KA,GL5T,KAK TRANSPORTATION 5500 LLC,NONE,4,2,2,AZ|CA,"Phoenix,AZ",5,0.833,2,2,2,0.333,,no
abc5e9,N858JS,,CANCELLED/NOT ASSIGNED,NONE,4,2,2,AZ|DC,"Phoenix,AZ",3,0.75,1,1,2,0.25,,no
a05b43,N122BK,BE20,"FLYING MIXERS LLC, HAY TIME FLIES LLC, MORRISON AIR LLC",NONE,4,2,2,AZ|TX,"Phoenix,AZ",3,0.6,1,2,2,0.4,,no
a3e4a8,N35YP,FA50,FP AVIATION LLC,NONE,4,2,2,AZ|CA,"Phoenix,AZ",2,0.5,1,2,1,0.5,,no
a4b4cc,N402HP,C680,E2 BRAVO HOLDCO LLC,NONE,4,2,2,AZ|TX,"Phoenix,AZ",2,0.5,0,2,2,0.5,Des Moines|Spokane,yes
a6d34b,N539QS,C68A,"NETJETS SALES INC, ARISE CAPITAL PARTNERS LLC, SHAW DAVID E, RAC",NONE,4,2,2,AZ|TN,"Phoenix,AZ",2,0.5,0,2,2,0.5,Des Moines|Syracuse,yes
abbb5a,N855QS,C700,"CENTURY AVIATION LLC, SOKOLOWSKI BERND, HAGGERTY HOLLY, BLOOM BR",NONE,4,2,2,AZ|CA,"Phoenix,AZ",3,0.75,1,1,2,0.25,,no
ac7086,N900PW,AC90,ABF AVIATION LLC,NONE,4,2,2,AZ|TX,"Phoenix,AZ",2,0.5,1,2,1,0.5,,no
aca895,N9145G,C182,YOST JAMES J,NONE,4,2,2,AZ|CA,"Phoenix,AZ",2,0.5,1,2,1,0.5,,no
a5f451,N483FX,GLF4,"FLEXJET LLC, JUSTSTEVEN LLC, BRIGHTON PARK AVIATION LLC, ALTITUD",NONE,4,2,2,AZ|CA,"Rancho Palos Verdes,CA",3,0.75,1,1,2,0.25,,no
a184d2,N1972H,LJ60,HL AIRCRAFT LLC,dbflag:LADD,4,2,2,DC|TX,"Washington,DC",3,0.6,1,2,2,0.4,,no
ac979e,N910KT,PA44,ATP AIRCRAFT 6 LLC,dbflag:LADD,4,2,2,DC|GA,"Gainesville,GA",3,0.6,1,2,2,0.4,,no
06a1d3,A7-CGO,GLF6,,non_us_registration,4,2,2,CA|DC,"Washington,DC",2,0.5,1,2,1,0.5,,no
a97aca,N71MC,B350,MLR AVIATION LLC,dbflag:LADD,4,2,2,DC|GA,"Washington,DC",2,0.5,0,2,2,0.5,,no
a2de96,N284TX,E55P,TRANSMEDICS INC,dbflag:LADD,4,2,2,AZ|TX,"Dallas,TX",6,0.857,1,2,4,0.286,Albuquerque,yes
a1d13b,N216QS,CL60,"NETJETS SALES INC, BANK OF UTAH TRUSTEE, EN POINTE LLC, PAULUS M",NONE,4,2,2,DC|TX,"Dallas,TX",3,0.75,1,1,2,0.25,,no
a6d36d,N539SA,C208,TEXTRON AVIATION INC,NONE,4,2,2,DC|TX,"Dallas,TX",8,0.889,2,3,4,0.333,,no
a7745c,N58JE,GLF4,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NONE,4,2,2,CA|DC,"Rancho Palos Verdes,CA",3,0.75,1,1,2,0.25,,no
a8cecd,N667FX,GLF6,"TEXAS ALL SEASONS HEAVY EQUIPMENT LLC, MUGLIA ROBERT, MUGLIA LAU",NONE,4,2,2,DC|TX,"Grapevine,TX",5,0.833,2,2,2,0.333,,no
adee45,N997SS,C56X,B29 UPS & DOWNS LLC,NONE,4,2,2,DC|TX,"Dallas,TX",7,0.875,2,3,3,0.375,,no
a332f5,N305LX,CL60,APLUX LLC,dbflag:LADD,4,2,2,AZ|TX,"Dallas,TX",4,0.8,2,2,1,0.4,,no
