tail,date_utc,callsign,from_icao,from_place,from_state,to_icao,to_place,to_state,off_utc,on_utc,status,us_leg,us_end,path_positions,path_max_altitude_ft,path_first_utc,path_last_utc
SU-BTT,2024-04-30,SU-BTT,KILG,Wilmington,DE,L 29.98877 31.35811,Cairo,,2024-04-30T12:01:55Z,2024-04-30T12:01:55Z,result unknown,yes,departure,989,43000,2024-04-30T12:01:55Z,2024-04-30T22:57:57Z
SU-BGM,2024-07-08,SU-BGM,CYYR,Goose Bay,NL,KMOT,Minot,ND,2024-07-08T14:28:27Z,2024-07-08T18:21:28Z,Arrived,yes,arrival,405,43000,2024-07-08T14:28:27Z,2024-07-08T18:20:34Z
SU-BGM,2024-07-08,SU-BGM,KMOT,Minot,ND,KPVU,Provo,UT,2024-07-08T19:02:20Z,2024-07-08T20:41:04Z,Arrived,yes,both,209,43000,2024-07-08T19:02:20Z,2024-07-08T20:40:11Z
SU-BND,2024-07-12,SU-BND,KPVU,Provo,UT,KPVU,Provo,UT,2024-07-12T23:32:02Z,2024-07-13T00:35:35Z,Arrived,yes,both,148,44700,2024-07-12T23:32:02Z,2024-07-13T00:34:41Z
SU-BND,2024-07-17,SU-BND,KPVU,Provo,UT,CYYR,Goose Bay,NL,2024-07-17T15:55:11Z,2024-07-17T20:50:11Z,Arrived,yes,departure,541,41000,2024-07-17T15:55:11Z,2024-07-17T20:49:38Z
SU-BTU,2024-08-14,SU-BTU,LFPB,Paris,IDF,KICT,Wichita,KS,2024-08-14T07:58:43Z,2024-08-14T17:05:21Z,Arrived,yes,arrival,693,43000,2024-08-14T07:58:43Z,2024-08-14T17:04:27Z
SU-BTU,2024-08-18,SU-BTU,KICT,Wichita,KS,KILG,Wilmington,DE,2024-08-18T13:04:15Z,2024-08-18T15:26:52Z,Arrived,yes,both,302,41000,2024-08-18T13:04:15Z,2024-08-18T15:25:58Z
SU-BTU,2024-08-21,SU-BTU,KILG,Wilmington,DE,HEAZ,El Nozha,C,2024-08-21T12:01:59Z,2024-08-21T12:01:59Z,result unknown,yes,departure,903,43000,2024-08-21T12:01:59Z,2024-08-21T22:07:06Z
SU-BTV,2024-09-23,SU-BTV,LFPB,Paris,IDF,KICT,Wichita,KS,2024-09-23T09:04:40Z,2024-09-23T18:32:24Z,Arrived,yes,arrival,634,43000,2024-09-23T09:04:40Z,2024-09-23T18:31:46Z
SU-BTV,2024-09-28,SU-BTV,KICT,Wichita,KS,KILG,Wilmington,DE,2024-09-28T13:50:58Z,2024-09-28T16:20:14Z,Arrived,yes,both,316,43000,2024-09-28T13:50:58Z,2024-09-28T16:19:36Z
SU-BTV,2024-09-30,SU-BTV,KILG,Wilmington,DE,L 30.78319 31.14473,Cairo,,2024-09-30T11:59:34Z,2024-09-30T11:59:34Z,result unknown,yes,departure,931,45000,2024-09-30T11:59:34Z,2024-09-30T22:15:51Z
SU-BTU,2024-11-10,SU-BTU,LFPB,Paris,IDF,KOMA,Omaha,NE,2024-11-10T07:09:23Z,2024-11-10T16:44:06Z,Arrived,yes,arrival,756,43100,2024-11-10T07:09:23Z,2024-11-10T16:43:12Z
SU-BTU,2024-11-10,SU-BTU,KOMA,Omaha,NE,KLNK,Lincoln,NE,2024-11-10T17:49:25Z,2024-11-10T18:11:29Z,Arrived,yes,both,55,6000,2024-11-10T17:49:25Z,2024-11-10T18:10:52Z
SU-BTU,2024-11-14,SU-BTU,KLNK,Lincoln,NE,KILG,Wilmington,DE,2024-11-14T13:40:59Z,2024-11-14T15:59:19Z,Arrived,yes,both,296,43000,2024-11-14T13:40:59Z,2024-11-14T15:58:35Z
SU-BTU,2024-11-17,SU-BTU,KILG,Wilmington,DE,L 31.08777 31.12537,Cairo,,2024-11-17T12:54:05Z,2024-11-17T12:54:05Z,result unknown,yes,departure,916,45100,2024-11-17T12:54:05Z,2024-11-17T22:57:09Z
SU-BTU,2024-11-26,SU-BTU,LFPB,Paris,IDF,KOMA,Omaha,NE,2024-11-26T08:09:00Z,2024-11-26T17:30:32Z,Arrived,yes,arrival,814,43000,2024-11-26T08:09:00Z,2024-11-26T17:29:38Z
SU-BTU,2024-11-26,SU-BTU,KOMA,Omaha,NE,KLNK,Lincoln,NE,2024-11-26T18:42:11Z,2024-11-26T19:00:05Z,Arrived,yes,both,49,5800,2024-11-26T18:42:11Z,2024-11-26T18:59:24Z
SU-BTU,2024-12-01,SU-BTU,KLNK,Lincoln,NE,KILG,Wilmington,DE,2024-12-01T14:18:18Z,2024-12-01T16:21:48Z,Arrived,yes,both,261,41000,2024-12-01T14:18:18Z,2024-12-01T16:20:43Z
SU-BTU,2024-12-03,SU-BTU,KILG,Wilmington,DE,L 30.87767 31.24404,Cairo,,2024-12-03T13:17:28Z,2024-12-03T13:17:28Z,result unknown,yes,departure,916,43000,2024-12-03T13:17:28Z,2024-12-03T23:16:54Z
SU-BTV,2024-12-08,SU-BTV,LFPB,Paris,IDF,KICT,Wichita,KS,2024-12-08T08:58:37Z,2024-12-08T18:55:34Z,Arrived,yes,arrival,749,43000,2024-12-08T08:58:37Z,2024-12-08T18:54:17Z
SU-BTV,2024-12-10,SU-BTV,KICT,Wichita,KS,KILG,Wilmington,DE,2024-12-10T15:00:02Z,2024-12-10T17:08:42Z,Arrived,yes,both,270,41000,2024-12-10T15:00:02Z,2024-12-10T17:07:44Z
SU-BTV,2024-12-15,SU-BTV,KILG,Wilmington,DE,L 30.95249 31.16552,Cairo,,2024-12-15T13:12:12Z,2024-12-15T13:12:12Z,result unknown,yes,departure,917,45000,2024-12-15T13:12:12Z,2024-12-15T23:33:24Z
SU-BTU,2025-01-17,SU-BTU,LFPB,Paris,IDF,KOMA,Omaha,NE,2025-01-17T10:33:23Z,2025-01-17T19:48:42Z,Arrived,yes,arrival,750,40000,2025-01-17T10:33:23Z,2025-01-17T19:44:34Z
SU-BTU,2025-01-17,SU-BTU,KOMA,Omaha,NE,KLNK,Lincoln,NE,2025-01-17T21:09:57Z,2025-01-17T21:28:34Z,Arrived,yes,both,53,5400,2025-01-17T21:09:57Z,2025-01-17T21:27:41Z
SU-BTU,2025-01-23,SU-BTU,KLNK,Lincoln,NE,KILG,Wilmington,DE,2025-01-23T14:31:49Z,2025-01-23T16:33:29Z,Arrived,yes,both,257,41000,2025-01-23T14:31:49Z,2025-01-23T16:33:13Z
SU-BTU,2025-01-24,SU-BTU,KILG,Wilmington,DE,HEAZ,El Nozha,C,2025-01-24T13:03:44Z,2025-01-24T13:03:44Z,result unknown,yes,departure,822,43100,2025-01-24T13:03:44Z,2025-01-24T22:21:24Z
SU-BTV,2025-02-03,SU-BTV,LFPB,Paris,IDF,KDTW,Detroit,MI,2025-02-03T08:13:01Z,2025-02-03T16:41:31Z,Arrived,yes,arrival,644,43000,2025-02-03T08:13:01Z,2025-02-03T16:40:51Z
SU-BTV,2025-02-03,SU-BTV,KDTW,Detroit,MI,KLNK,Lincoln,NE,2025-02-03T18:01:21Z,2025-02-03T19:46:33Z,Arrived,yes,both,224,28000,2025-02-03T18:01:21Z,2025-02-03T19:46:01Z
SU-BTV,2025-02-09,SU-BTV,KLNK,Lincoln,NE,KILG,Wilmington,DE,2025-02-09T13:20:44Z,2025-02-09T15:12:14Z,Arrived,yes,both,237,41000,2025-02-09T13:20:44Z,2025-02-09T15:11:12Z
SU-BTV,2025-02-10,SU-BTV,KILG,Wilmington,DE,L 30.74529 31.26682,Cairo,,2025-02-10T13:02:11Z,2025-02-10T13:02:11Z,result unknown,yes,departure,817,45000,2025-02-10T13:02:11Z,2025-02-10T23:00:05Z
SU-BTU,2025-02-16,SU-BTU,LFPB,Paris,IDF,KSTL,St Louis,MO,2025-02-16T09:57:37Z,2025-02-16T19:07:57Z,Arrived,yes,arrival,593,43000,2025-02-16T09:57:37Z,2025-02-16T19:06:27Z
SU-BTU,2025-02-16,SU-BTU,KSTL,St Louis,MO,KCPS,Cahokia/St Louis,IL,2025-02-16T20:12:09Z,2025-02-16T20:27:43Z,Arrived,yes,both,45,3900,2025-02-16T20:12:09Z,2025-02-16T20:27:04Z
SU-BTU,2025-02-22,SU-BTU,KCPS,Cahokia/St Louis,IL,KILG,Wilmington,DE,2025-02-22T15:44:36Z,2025-02-22T17:22:03Z,Arrived,yes,both,214,39000,2025-02-22T15:44:36Z,2025-02-22T17:21:29Z
SU-BTU,2025-02-23,SU-BTU,KILG,Wilmington,DE,L 30.90811 30.86593,Cairo,,2025-02-23T13:05:30Z,2025-02-23T13:05:30Z,result unknown,yes,departure,800,45100,2025-02-23T13:05:30Z,2025-02-23T22:34:50Z
SU-BTV,2025-03-17,SU-BTV,LFPB,Paris,IDF,KOMA,Omaha,NE,2025-03-17T07:54:04Z,2025-03-17T16:32:47Z,Arrived,yes,arrival,525,43000,2025-03-17T07:54:04Z,2025-03-17T16:31:54Z
SU-BTV,2025-03-17,SU-BTV,KOMA,Omaha,NE,KLNK,Lincoln,NE,2025-03-17T17:57:26Z,2025-03-17T18:15:02Z,Arrived,yes,both,47,6200,2025-03-17T17:57:26Z,2025-03-17T18:14:09Z
SU-BTV,2025-03-23,SU-BTV,KLNK,Lincoln,NE,KILG,Wilmington,DE,2025-03-23T12:57:29Z,2025-03-23T14:58:41Z,Arrived,yes,both,255,41000,2025-03-23T12:57:29Z,2025-03-23T14:57:58Z
SU-BTV,2025-03-24,SU-BTV,KILG,Wilmington,DE,HEAZ,El Nozha,C,2025-03-24T11:48:47Z,2025-03-24T22:17:32Z,Arrived,yes,departure,898,45000,2025-03-24T11:48:47Z,2025-03-24T22:16:59Z
SU-BTV,2025-03-30,SU-BTV,LFPB,Paris,IDF,KDTW,Detroit,MI,2025-03-30T06:59:49Z,2025-03-30T15:02:30Z,Arrived,yes,arrival,608,40000,2025-03-30T06:59:49Z,2025-03-30T15:01:53Z
SU-BTV,2025-03-30,SU-BTV,KDTW,Detroit,MI,KICT,Wichita,KS,2025-03-30T16:13:42Z,2025-03-30T18:08:29Z,Arrived,yes,both,247,43000,2025-03-30T16:13:42Z,2025-03-30T18:07:56Z
SU-BTV,2025-04-03,SU-BTV,KICT,Wichita,KS,KILG,Wilmington,DE,2025-04-03T13:46:56Z,2025-04-03T15:57:58Z,Arrived,yes,both,272,39000,2025-04-03T13:46:56Z,2025-04-03T15:56:45Z
SU-BTV,2025-04-06,SU-BTV,KILG,Wilmington,DE,HEAZ,El Nozha,C,2025-04-06T11:55:55Z,2025-04-06T11:55:55Z,result unknown,yes,departure,883,43000,2025-04-06T11:55:55Z,2025-04-06T23:03:34Z
SU-BTU,2025-04-08,SU-BTU,LFPB,Paris,IDF,KMOT,Minot,ND,2025-04-08T07:04:16Z,2025-04-08T15:15:08Z,Arrived,yes,arrival,512,40000,2025-04-08T07:04:16Z,2025-04-08T15:13:52Z
SU-BTU,2025-04-08,SU-BTU,KMOT,Minot,ND,KPVU,Provo,UT,2025-04-08T16:50:16Z,2025-04-08T18:33:10Z,Arrived,yes,both,214,34000,2025-04-08T16:50:16Z,2025-04-08T18:32:00Z
SU-BGM,2025-04-10,SU-BGM,KPVU,Provo,UT,KPVU,Provo,UT,2025-04-10T21:17:46Z,2025-04-10T22:11:33Z,Arrived,yes,both,128,41000,2025-04-10T21:17:46Z,2025-04-10T22:10:56Z
SU-BTU,2025-04-14,SU-BTU,KPVU,Provo,UT,KILG,Wilmington,DE,2025-04-14T12:03:37Z,2025-04-14T15:23:10Z,Arrived,yes,both,417,41000,2025-04-14T12:03:37Z,2025-04-14T15:22:12Z
SU-BTU,2025-04-15,SU-BTU,KILG,Wilmington,DE,L 29.94398 31.28423,Cairo,,2025-04-15T12:31:09Z,2025-04-15T12:31:09Z,result unknown,yes,departure,897,45000,2025-04-15T12:31:09Z,2025-04-15T22:31:53Z
SU-BGM,2025-04-16,SU-BGM,KPVU,Provo,UT,CYYR,Goose Bay,NL,2025-04-16T18:15:24Z,2025-04-16T23:10:15Z,Arrived,yes,departure,565,43000,2025-04-16T18:15:24Z,2025-04-16T23:09:38Z
SU-BTU,2025-04-24,SU-BTU,LFPB,Paris,IDF,KOMA,Omaha,NE,2025-04-24T06:58:04Z,2025-04-24T15:49:53Z,Arrived,yes,arrival,716,43000,2025-04-24T06:58:04Z,2025-04-24T15:48:59Z
SU-BTU,2025-04-24,SU-BTU,KOMA,Omaha,NE,KLNK,Lincoln,NE,2025-04-24T16:54:55Z,2025-04-24T17:10:42Z,Arrived,yes,both,42,7900,2025-04-24T16:54:55Z,2025-04-24T17:10:01Z
SU-BTU,2025-04-30,SU-BTU,KLNK,Lincoln,NE,KILG,Wilmington,DE,2025-04-30T12:35:37Z,2025-04-30T14:42:08Z,Arrived,yes,both,264,43100,2025-04-30T12:35:37Z,2025-04-30T14:41:17Z
SU-BTU,2025-05-01,SU-BTU,KILG,Wilmington,DE,L 30.28761 31.26267,Cairo,,2025-05-01T11:53:17Z,2025-05-01T11:53:17Z,result unknown,yes,departure,885,45000,2025-05-01T11:53:17Z,2025-05-01T22:36:29Z
SU-BND,2025-05-23,SU-BND,CYYR,Goose Bay,NL,KMOT,Minot,ND,2025-05-23T14:06:15Z,2025-05-23T17:50:46Z,Arrived,yes,arrival,404,40000,2025-05-23T14:06:15Z,2025-05-23T17:49:52Z
SU-BND,2025-05-23,SU-BND,KMOT,Minot,ND,KPVU,Provo,UT,2025-05-23T18:46:40Z,2025-05-23T20:38:36Z,Arrived,yes,both,235,43000,2025-05-23T18:46:40Z,2025-05-23T20:37:43Z
SU-BTV,2025-05-27,SU-BTV,LFPB,Paris,IDF,KMOT,Minot,ND,2025-05-27T07:13:15Z,2025-05-27T15:34:35Z,Arrived,yes,arrival,592,43000,2025-05-27T07:13:15Z,2025-05-27T15:33:38Z
SU-BTV,2025-05-27,SU-BTV,KMOT,Minot,ND,KPVU,Provo,UT,2025-05-27T16:27:13Z,2025-05-27T18:02:08Z,Arrived,yes,both,194,40000,2025-05-27T16:27:13Z,2025-05-27T18:01:31Z
SU-BTV,2025-06-02,SU-BTV,KPVU,Provo,UT,KILG,Wilmington,DE,2025-06-02T13:14:55Z,2025-06-02T16:51:35Z,Arrived,yes,both,451,43000,2025-06-02T13:14:55Z,2025-06-02T16:50:54Z
SU-BTV,2025-06-03,SU-BTV,KILG,Wilmington,DE,HEAZ,El Nozha,C,2025-06-03T11:58:26Z,2025-06-03T11:58:26Z,result unknown,yes,departure,922,43000,2025-06-03T11:58:26Z,2025-06-03T22:19:31Z
SU-BTT,2025-07-20,SU-BTT,LFPB,Paris,IDF,KOMA,Omaha,NE,2025-07-20T07:28:01Z,2025-07-20T16:37:30Z,Arrived,yes,arrival,727,43000,2025-07-20T07:28:01Z,2025-07-20T16:36:19Z
SU-BTT,2025-07-20,SU-BTT,KOMA,Omaha,NE,KLNK,Lincoln,NE,2025-07-20T22:06:02Z,2025-07-20T22:20:46Z,Arrived,yes,both,41,6100,2025-07-20T22:06:02Z,2025-07-20T22:20:09Z
SU-BTT,2025-07-26,SU-BTT,KLNK,Lincoln,NE,KILG,Wilmington,DE,2025-07-26T12:29:48Z,2025-07-26T14:37:12Z,Arrived,yes,both,276,41000,2025-07-26T12:29:48Z,2025-07-26T14:36:16Z
SU-BTT,2025-07-27,SU-BTT,KILG,Wilmington,DE,HEAZ,El Nozha,C,2025-07-27T12:02:31Z,2025-07-27T22:20:58Z,Arrived,yes,departure,880,45000,2025-07-27T12:02:31Z,2025-07-27T22:20:19Z
SU-BTV,2025-07-30,SU-BTV,LFPB,Paris,IDF,KICT,Wichita,KS,2025-07-30T09:00:12Z,2025-07-30T18:58:13Z,Arrived,yes,arrival,767,47000,2025-07-30T09:00:12Z,2025-07-30T18:57:35Z
SU-BTV,2025-08-03,SU-BTV,KICT,Wichita,KS,KILG,Wilmington,DE,2025-08-03T13:39:16Z,2025-08-03T16:01:25Z,Arrived,yes,both,298,43000,2025-08-03T13:39:16Z,2025-08-03T16:00:30Z
SU-BTV,2025-08-06,SU-BTV,KILG,Wilmington,DE,HEAZ,El Nozha,C,2025-08-06T11:55:40Z,2025-08-06T11:55:40Z,result unknown,yes,departure,803,45000,2025-08-06T11:55:40Z,2025-08-06T21:54:11Z
SU-BTT,2025-08-17,SU-BTT,L 50.20679 1.94393,Buigny,,KOMA,Omaha,NE,2025-08-17T07:22:07Z,2025-08-17T15:50:21Z,Arrived,yes,arrival,647,43000,2025-08-17T07:24:07Z,2025-08-17T15:49:12Z
SU-BTT,2025-08-17,SU-BTT,KOMA,Omaha,NE,KLNK,Lincoln,NE,2025-08-17T16:45:16Z,2025-08-17T17:00:23Z,Arrived,yes,both,44,5000,2025-08-17T16:45:16Z,2025-08-17T16:59:51Z
SU-BTT,2025-08-23,SU-BTT,KLNK,Lincoln,NE,KILG,Wilmington,DE,2025-08-23T12:39:09Z,2025-08-23T14:44:54Z,Arrived,yes,both,258,41000,2025-08-23T12:39:09Z,2025-08-23T14:43:09Z
SU-BTT,2025-08-24,SU-BTT,KILG,Wilmington,DE,HEAZ,El Nozha,C,2025-08-24T11:47:48Z,2025-08-24T21:55:29Z,Arrived,yes,departure,860,43000,2025-08-24T11:47:48Z,2025-08-24T21:53:24Z
SU-BTT,2025-09-04,SU-BTT,LFPB,Paris,IDF,KMOT,Minot,ND,2025-09-04T07:11:54Z,2025-09-04T16:04:07Z,Arrived,yes,arrival,528,43000,2025-09-04T07:11:54Z,2025-09-04T16:02:29Z
SU-BTT,2025-09-04,SU-BTT,KMOT,Minot,ND,KPVU,Provo,UT,2025-09-04T17:07:37Z,2025-09-04T18:46:19Z,Arrived,yes,both,204,40000,2025-09-04T17:07:37Z,2025-09-04T18:45:42Z
SU-BND,2025-09-05,SU-BND,KPVU,Provo,UT,KPVU,Provo,UT,2025-09-05T18:06:31Z,2025-09-05T19:14:29Z,Arrived,yes,both,149,45000,2025-09-05T18:06:31Z,2025-09-05T19:13:52Z
SU-BTT,2025-09-10,SU-BTT,KPVU,Provo,UT,KILG,Wilmington,DE,2025-09-10T13:14:14Z,2025-09-10T16:51:36Z,Arrived,yes,both,456,41100,2025-09-10T13:14:14Z,2025-09-10T16:50:46Z
SU-BTT,2025-09-11,SU-BTT,KILG,Wilmington,DE,HEAZ,El Nozha,C,2025-09-11T11:56:26Z,2025-09-11T21:36:19Z,Arrived,yes,departure,833,43000,2025-09-11T11:56:26Z,2025-09-11T21:35:29Z
SU-BND,2025-09-13,SU-BND,KPVU,Provo,UT,CYYR,Goose Bay,NL,2025-09-13T18:57:48Z,2025-09-14T00:07:51Z,Arrived,yes,departure,583,41000,2025-09-13T18:57:48Z,2025-09-14T00:07:03Z
SU-BTV,2025-10-05,SU-BTV,LFPB,Paris,IDF,KOMA,Omaha,NE,2025-10-05T06:54:50Z,2025-10-05T16:15:41Z,Arrived,yes,arrival,780,43000,2025-10-05T06:54:50Z,2025-10-05T16:14:31Z
SU-BTV,2025-10-05,SU-BTV,KOMA,Omaha,NE,KLNK,Lincoln,NE,2025-10-05T17:07:46Z,2025-10-05T17:25:53Z,Arrived,yes,both,50,5100,2025-10-05T17:07:46Z,2025-10-05T17:25:21Z
SU-BTV,2025-10-11,SU-BTV,KLNK,Lincoln,NE,KILG,Wilmington,DE,2025-10-11T12:51:53Z,2025-10-11T15:06:36Z,Arrived,yes,both,287,43000,2025-10-11T12:51:53Z,2025-10-11T15:05:42Z
SU-BTV,2025-10-12,SU-BTV,KILG,Wilmington,DE,L 30.76312 30.94733,Cairo,,2025-10-12T11:58:13Z,2025-10-12T11:58:13Z,result unknown,yes,departure,878,45000,2025-10-12T11:58:13Z,2025-10-12T22:28:38Z
SU-BTV,2025-11-12,SU-BTV,LFPB,Paris,IDF,KOMA,Omaha,NE,2025-11-12T07:58:30Z,2025-11-12T16:51:22Z,Arrived,yes,arrival,527,43000,2025-11-12T07:58:30Z,2025-11-12T16:50:29Z
SU-BTV,2025-11-12,SU-BTV,KOMA,Omaha,NE,KLNK,Lincoln,NE,2025-11-12T17:52:30Z,2025-11-12T18:10:25Z,Arrived,yes,both,51,7800,2025-11-12T17:52:30Z,2025-11-12T18:09:47Z
SU-BTV,2025-11-18,SU-BTV,KLNK,Lincoln,NE,KILG,Wilmington,DE,2025-11-18T18:45:43Z,2025-11-18T20:49:51Z,Arrived,yes,both,260,41000,2025-11-18T18:45:43Z,2025-11-18T20:49:02Z
SU-BTV,2025-11-19,SU-BTV,KILG,Wilmington,DE,HEAZ,El Nozha,C,2025-11-19T13:07:37Z,2025-11-19T23:28:33Z,Arrived,yes,departure,863,45000,2025-11-19T13:07:37Z,2025-11-19T23:28:06Z
